"Bowler","Season","Batting_Team","Bowling_Team","Runs","Wickets","Balls","Striker","Stadium","Average","Economy"
"Aaron Finch",2010,"Kolkata Knight Riders","Rajasthan Royals",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Mumbai Indians","Delhi Capitals",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Chennai Super Kings","Pune Warriors",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Mumbai Indians","Pune Warriors",11,1,12,"All","All",11,5.5
"Aaron Finch",2013,"Royal Challengers Bangalore","Pune Warriors",29,0,6,"All","All",Inf,29
"Aavishkar Salvi",2009,"Chennai Super Kings","Delhi Capitals",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Mumbai Indians","Delhi Capitals",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2009,"Punjab Kings","Delhi Capitals",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Rajasthan Royals","Delhi Capitals",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Royal Challengers Bangalore","Delhi Capitals",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2011,"Deccan Chargers","Delhi Capitals",26,1,24,"All","All",26,6.5
"Aavishkar Salvi",2011,"Punjab Kings","Delhi Capitals",40,2,24,"All","All",20,10
"Abdul Samad",2020,"Chennai Super Kings","Sunrisers Hyderabad",41,1,24,"All","All",41,10.25
"Abdul Samad",2020,"Mumbai Indians","Sunrisers Hyderabad",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2020,"Punjab Kings","Sunrisers Hyderabad",28,0,6,"All","All",Inf,28
"Abdul Samad",2021,"Punjab Kings","Sunrisers Hyderabad",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Lucknow Super Giants","Sunrisers Hyderabad",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Rajasthan Royals","Royal Challengers Bangalore",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Mumbai Indians","Royal Challengers Bangalore",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Delhi Capitals","Royal Challengers Bangalore",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Chennai Super Kings","Royal Challengers Bangalore",89,2,54,"All","All",44.5,9.88888888888889
"Abhimanyu Mithun",2011,"Delhi Capitals","Royal Challengers Bangalore",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","Royal Challengers Bangalore",40,1,24,"All","All",40,10
"Abhimanyu Mithun",2011,"Kolkata Knight Riders","Royal Challengers Bangalore",14,0,12,"All","All",Inf,7
"Abhimanyu Mithun",2011,"Mumbai Indians","Royal Challengers Bangalore",57,0,30,"All","All",Inf,11.4
"Abhimanyu Mithun",2011,"Pune Warriors","Royal Challengers Bangalore",26,0,24,"All","All",Inf,6.5
"Abhimanyu Mithun",2011,"Punjab Kings","Royal Challengers Bangalore",58,0,36,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2012,"Deccan Chargers","Royal Challengers Bangalore",33,0,18,"All","All",Inf,11
"Abhimanyu Mithun",2013,"Kolkata Knight Riders","Royal Challengers Bangalore",37,1,24,"All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Chennai Super Kings","Rajasthan Royals",18,0,12,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"Deccan Chargers","Rajasthan Royals",16,0,6,"All","All",Inf,16
"Abhishek Jhunjhunwala",2010,"Delhi Capitals","Rajasthan Royals",2,0,1,"All","All",Inf,12
"Abhishek Jhunjhunwala",2010,"Mumbai Indians","Rajasthan Royals",33,0,18,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Delhi Capitals","Pune Warriors",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Punjab Kings","Pune Warriors",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Chennai Super Kings","Deccan Chargers",13,1,18,"All","All",13,4.33333333333333
"Abhishek Jhunjhunwala",2012,"Punjab Kings","Deccan Chargers",25,0,18,"All","All",Inf,8.33333333333333
"Abhishek Nayar",2008,"Chennai Super Kings","Mumbai Indians",14,0,6,"All","All",Inf,14
"Abhishek Nayar",2008,"Deccan Chargers","Mumbai Indians",40,1,24,"All","All",40,10
"Abhishek Nayar",2008,"Rajasthan Royals","Mumbai Indians",4,0,6,"All","All",Inf,4
"Abhishek Nayar",2008,"Royal Challengers Bangalore","Mumbai Indians",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2009,"Delhi Capitals","Mumbai Indians",25,0,12,"All","All",Inf,12.5
"Abhishek Nayar",2009,"Kolkata Knight Riders","Mumbai Indians",33,4,36,"All","All",8.25,5.5
"Abhishek Nayar",2009,"Royal Challengers Bangalore","Mumbai Indians",26,0,24,"All","All",Inf,6.5
"Abhishek Nayar",2011,"Chennai Super Kings","Punjab Kings",24,0,12,"All","All",Inf,12
"Abhishek Nayar",2011,"Deccan Chargers","Punjab Kings",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2011,"Delhi Capitals","Punjab Kings",22,1,12,"All","All",22,11
"Abhishek Nayar",2011,"Pune Warriors","Punjab Kings",27,1,19,"All","All",27,8.52631578947368
"Abhishek Nayar",2011,"Rajasthan Royals","Punjab Kings",3,0,6,"All","All",Inf,3
"Abhishek Nayar",2011,"Royal Challengers Bangalore","Punjab Kings",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2012,"Royal Challengers Bangalore","Punjab Kings",16,0,6,"All","All",Inf,16
"Abhishek Nayar",2013,"Chennai Super Kings","Pune Warriors",44,1,36,"All","All",44,7.33333333333333
"Abhishek Nayar",2013,"Delhi Capitals","Pune Warriors",15,1,12,"All","All",15,7.5
"Abhishek Raut",2009,"Deccan Chargers","Rajasthan Royals",20,0,12,"All","All",Inf,10
"Abhishek Raut",2009,"Delhi Capitals","Rajasthan Royals",10,0,6,"All","All",Inf,10
"Abhishek Raut",2009,"Royal Challengers Bangalore","Rajasthan Royals",6,0,6,"All","All",Inf,6
"Abhishek Raut",2011,"Punjab Kings","Rajasthan Royals",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2019,"Delhi Capitals","Sunrisers Hyderabad",10,1,6,"All","All",10,10
"Abhishek Sharma",2019,"Punjab Kings","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Chennai Super Kings","Sunrisers Hyderabad",4,0,6,"All","All",Inf,4
"Abhishek Sharma",2020,"Delhi Capitals","Sunrisers Hyderabad",34,0,24,"All","All",Inf,8.5
"Abhishek Sharma",2020,"Kolkata Knight Riders","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Punjab Kings","Sunrisers Hyderabad",15,1,6,"All","All",15,15
"Abhishek Sharma",2020,"Rajasthan Royals","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Royal Challengers Bangalore","Sunrisers Hyderabad",16,1,12,"All","All",16,8
"Abhishek Sharma",2021,"Chennai Super Kings","Sunrisers Hyderabad",9,0,12,"All","All",Inf,4.5
"Abhishek Sharma",2021,"Delhi Capitals","Sunrisers Hyderabad",14,0,6,"All","All",Inf,14
"Abhishek Sharma",2021,"Mumbai Indians","Sunrisers Hyderabad",9,2,12,"All","All",4.5,4.5
"Abhishek Sharma",2021,"Punjab Kings","Sunrisers Hyderabad",24,2,24,"All","All",12,6
"Abhishek Sharma",2021,"Rajasthan Royals","Sunrisers Hyderabad",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2022,"Mumbai Indians","Sunrisers Hyderabad",10,0,6,"All","All",Inf,10
"Abhishek Sharma",2022,"Rajasthan Royals","Sunrisers Hyderabad",15,0,6,"All","All",Inf,15
"Abhishek Sharma",2022,"Royal Challengers Bangalore","Sunrisers Hyderabad",13,0,12,"All","All",Inf,6.5
"Abrar Kazi",2011,"Rajasthan Royals","Royal Challengers Bangalore",21,0,12,"All","All",Inf,10.5
"Abu Nechim",2010,"Chennai Super Kings","Mumbai Indians",26,0,12,"All","All",Inf,13
"Abu Nechim",2011,"Chennai Super Kings","Mumbai Indians",19,0,12,"All","All",Inf,9.5
"Abu Nechim",2011,"Deccan Chargers","Mumbai Indians",27,0,24,"All","All",Inf,6.75
"Abu Nechim",2011,"Kolkata Knight Riders","Mumbai Indians",32,2,24,"All","All",16,8
"Abu Nechim",2011,"Pune Warriors","Mumbai Indians",13,2,18,"All","All",6.5,4.33333333333333
"Abu Nechim",2011,"Punjab Kings","Mumbai Indians",22,0,18,"All","All",Inf,7.33333333333333
"Abu Nechim",2011,"Royal Challengers Bangalore","Mumbai Indians",56,1,24,"All","All",56,14
"Abu Nechim",2012,"Chennai Super Kings","Mumbai Indians",17,0,12,"All","All",Inf,8.5
"Abu Nechim",2013,"Kolkata Knight Riders","Mumbai Indians",18,1,18,"All","All",18,6
"Abu Nechim",2013,"Pune Warriors","Mumbai Indians",27,2,24,"All","All",13.5,6.75
"Abu Nechim",2014,"Chennai Super Kings","Royal Challengers Bangalore",18,1,24,"All","All",18,4.5
"Abu Nechim",2014,"Delhi Capitals","Royal Challengers Bangalore",40,1,24,"All","All",40,10
"Abu Nechim",2014,"Kolkata Knight Riders","Royal Challengers Bangalore",33,1,24,"All","All",33,8.25
"Abu Nechim",2014,"Sunrisers Hyderabad","Royal Challengers Bangalore",22,0,14,"All","All",Inf,9.42857142857143
"Abu Nechim",2015,"Kolkata Knight Riders","Royal Challengers Bangalore",28,1,24,"All","All",28,7
"Abu Nechim",2015,"Mumbai Indians","Royal Challengers Bangalore",59,0,24,"All","All",Inf,14.75
"Abu Nechim",2015,"Sunrisers Hyderabad","Royal Challengers Bangalore",41,0,24,"All","All",Inf,10.25
"Adam Gilchrist",2013,"Mumbai Indians","Punjab Kings",0,1,1,"All","All",0,0
"Adam Milne",2016,"Sunrisers Hyderabad","Royal Challengers Bangalore",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Gujarat Lions","Royal Challengers Bangalore",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Mumbai Indians","Royal Challengers Bangalore",29,0,12,"All","All",Inf,14.5
"Adam Milne",2017,"Rising Pune Supergiants","Royal Challengers Bangalore",62,2,48,"All","All",31,7.75
"Adam Milne",2021,"Chennai Super Kings","Mumbai Indians",21,3,24,"All","All",7,5.25
"Adam Milne",2021,"Kolkata Knight Riders","Mumbai Indians",29,0,18,"All","All",Inf,9.66666666666667
"Adam Milne",2021,"Royal Challengers Bangalore","Mumbai Indians",48,1,24,"All","All",48,12
"Adam Milne",2021,"Sunrisers Hyderabad","Mumbai Indians",33,0,18,"All","All",Inf,11
"Adam Milne",2022,"Kolkata Knight Riders","Chennai Super Kings",19,0,15,"All","All",Inf,7.6
"Adam Voges",2010,"Chennai Super Kings","Rajasthan Royals",8,0,6,"All","All",Inf,8
"Adam Voges",2010,"Deccan Chargers","Rajasthan Royals",9,0,12,"All","All",Inf,4.5
"Adam Voges",2010,"Delhi Capitals","Rajasthan Royals",9,0,6,"All","All",Inf,9
"Adam Voges",2010,"Kolkata Knight Riders","Rajasthan Royals",21,0,12,"All","All",Inf,10.5
"Adam Voges",2010,"Punjab Kings","Rajasthan Royals",12,0,12,"All","All",Inf,6
"Adam Voges",2010,"Royal Challengers Bangalore","Rajasthan Royals",17,0,6,"All","All",Inf,17
"Adam Zampa",2016,"Delhi Capitals","Rising Pune Supergiants",21,3,24,"All","All",7,5.25
"Adam Zampa",2016,"Kolkata Knight Riders","Rising Pune Supergiants",8,0,6,"All","All",Inf,8
"Adam Zampa",2016,"Punjab Kings","Rising Pune Supergiants",32,1,24,"All","All",32,8
"Adam Zampa",2016,"Royal Challengers Bangalore","Rising Pune Supergiants",35,2,24,"All","All",17.5,8.75
"Adam Zampa",2016,"Sunrisers Hyderabad","Rising Pune Supergiants",19,6,24,"All","All",3.16666666666667,4.75
"Adam Zampa",2017,"Delhi Capitals","Rising Pune Supergiants",74,2,48,"All","All",37,9.25
"Adam Zampa",2017,"Mumbai Indians","Rising Pune Supergiants",67,3,48,"All","All",22.3333333333333,8.375
"Adam Zampa",2017,"Punjab Kings","Rising Pune Supergiants",22,2,23,"All","All",11,5.73913043478261
"Adam Zampa",2020,"Mumbai Indians","Royal Challengers Bangalore",53,1,24,"All","All",53,13.25
"Adam Zampa",2020,"Rajasthan Royals","Royal Challengers Bangalore",27,0,18,"All","All",Inf,9
"Adam Zampa",2020,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,1,24,"All","All",12,3
"Adil Rashid",2021,"Rajasthan Royals","Punjab Kings",35,0,18,"All","All",Inf,11.6666666666667
"Aditya Dole",2010,"Deccan Chargers","Rajasthan Royals",42,2,24,"All","All",21,10.5
"Aditya Dole",2010,"Mumbai Indians","Rajasthan Royals",34,1,18,"All","All",34,11.3333333333333
"Aditya Dole",2010,"Punjab Kings","Rajasthan Royals",36,2,24,"All","All",18,9
"Aiden Markram",2021,"Mumbai Indians","Punjab Kings",18,0,18,"All","All",Inf,6
"Aiden Markram",2021,"Royal Challengers Bangalore","Punjab Kings",5,0,6,"All","All",Inf,5
"Aiden Markram",2022,"Chennai Super Kings","Sunrisers Hyderabad",44,1,24,"All","All",44,11
"Aiden Markram",2022,"Delhi Capitals","Sunrisers Hyderabad",11,0,6,"All","All",Inf,11
"Aiden Markram",2022,"Gujarat Titans","Sunrisers Hyderabad",9,0,6,"All","All",Inf,9
"Ajantha Mendis",2008,"Punjab Kings","Kolkata Knight Riders",24,1,24,"All","All",24,6
"Ajantha Mendis",2009,"Chennai Super Kings","Kolkata Knight Riders",38,0,24,"All","All",Inf,9.5
"Ajantha Mendis",2009,"Mumbai Indians","Kolkata Knight Riders",39,0,24,"All","All",Inf,9.75
"Ajantha Mendis",2009,"Rajasthan Royals","Kolkata Knight Riders",19,2,24,"All","All",9.5,4.75
"Ajantha Mendis",2009,"Royal Challengers Bangalore","Kolkata Knight Riders",21,1,24,"All","All",21,5.25
"Ajantha Mendis",2010,"Delhi Capitals","Kolkata Knight Riders",22,2,24,"All","All",11,5.5
"Ajantha Mendis",2010,"Royal Challengers Bangalore","Kolkata Knight Riders",44,0,24,"All","All",Inf,11
"Ajantha Mendis",2013,"Mumbai Indians","Pune Warriors",15,1,24,"All","All",15,3.75
"Ajantha Mendis",2013,"Punjab Kings","Pune Warriors",38,1,24,"All","All",38,9.5
"Ajantha Mendis",2013,"Royal Challengers Bangalore","Pune Warriors",25,0,24,"All","All",Inf,6.25
"Ajinkya Rahane",2009,"Punjab Kings","Mumbai Indians",5,1,6,"All","All",5,5
"Ajit Agarkar",2008,"Chennai Super Kings","Kolkata Knight Riders",33,1,30,"All","All",33,6.6
"Ajit Agarkar",2008,"Deccan Chargers","Kolkata Knight Riders",19,2,12,"All","All",9.5,9.5
"Ajit Agarkar",2008,"Mumbai Indians","Kolkata Knight Riders",28,1,30,"All","All",28,5.6
"Ajit Agarkar",2008,"Punjab Kings","Kolkata Knight Riders",26,0,18,"All","All",Inf,8.66666666666667
"Ajit Agarkar",2008,"Rajasthan Royals","Kolkata Knight Riders",76,1,42,"All","All",76,10.8571428571429
"Ajit Agarkar",2008,"Royal Challengers Bangalore","Kolkata Knight Riders",25,3,24,"All","All",8.33333333333333,6.25
"Ajit Agarkar",2009,"Chennai Super Kings","Kolkata Knight Riders",45,0,24,"All","All",Inf,11.25
"Ajit Agarkar",2009,"Deccan Chargers","Kolkata Knight Riders",58,0,30,"All","All",Inf,11.6
"Ajit Agarkar",2009,"Delhi Capitals","Kolkata Knight Riders",43,1,36,"All","All",43,7.16666666666667
"Ajit Agarkar",2009,"Mumbai Indians","Kolkata Knight Riders",12,1,6,"All","All",12,12
"Ajit Agarkar",2009,"Punjab Kings","Kolkata Knight Riders",29,1,24,"All","All",29,7.25
"Ajit Agarkar",2009,"Rajasthan Royals","Kolkata Knight Riders",29,2,30,"All","All",14.5,5.8
"Ajit Agarkar",2009,"Royal Challengers Bangalore","Kolkata Knight Riders",68,1,36,"All","All",68,11.3333333333333
"Ajit Agarkar",2010,"Chennai Super Kings","Kolkata Knight Riders",14,0,12,"All","All",Inf,7
"Ajit Agarkar",2010,"Deccan Chargers","Kolkata Knight Riders",31,1,24,"All","All",31,7.75
"Ajit Agarkar",2010,"Delhi Capitals","Kolkata Knight Riders",62,1,36,"All","All",62,10.3333333333333
"Ajit Agarkar",2010,"Punjab Kings","Kolkata Knight Riders",67,2,42,"All","All",33.5,9.57142857142857
"Ajit Agarkar",2010,"Royal Challengers Bangalore","Kolkata Knight Riders",29,0,18,"All","All",Inf,9.66666666666667
"Ajit Agarkar",2011,"Chennai Super Kings","Delhi Capitals",49,1,24,"All","All",49,12.25
"Ajit Agarkar",2011,"Deccan Chargers","Delhi Capitals",29,2,24,"All","All",14.5,7.25
"Ajit Agarkar",2011,"Kochi Tuskers Kerala","Delhi Capitals",41,2,42,"All","All",20.5,5.85714285714286
"Ajit Agarkar",2011,"Kolkata Knight Riders","Delhi Capitals",34,1,24,"All","All",34,8.5
"Ajit Agarkar",2011,"Mumbai Indians","Delhi Capitals",31,0,24,"All","All",Inf,7.75
"Ajit Agarkar",2011,"Punjab Kings","Delhi Capitals",47,2,24,"All","All",23.5,11.75
"Ajit Agarkar",2012,"Deccan Chargers","Delhi Capitals",42,0,18,"All","All",Inf,14
"Ajit Agarkar",2012,"Mumbai Indians","Delhi Capitals",59,3,44,"All","All",19.6666666666667,8.04545454545454
"Ajit Agarkar",2012,"Rajasthan Royals","Delhi Capitals",33,0,24,"All","All",Inf,8.25
"Ajit Agarkar",2013,"Chennai Super Kings","Delhi Capitals",29,0,24,"All","All",Inf,7.25
"Ajit Agarkar",2013,"Mumbai Indians","Delhi Capitals",37,0,18,"All","All",Inf,12.3333333333333
"Ajit Agarkar",2013,"Punjab Kings","Delhi Capitals",4,0,6,"All","All",Inf,4
"Ajit Agarkar",2013,"Rajasthan Royals","Delhi Capitals",22,0,12,"All","All",Inf,11
"Ajit Chandila",2012,"Deccan Chargers","Rajasthan Royals",20,1,24,"All","All",20,5
"Ajit Chandila",2012,"Mumbai Indians","Rajasthan Royals",24,0,12,"All","All",Inf,12
"Ajit Chandila",2012,"Pune Warriors","Rajasthan Royals",13,4,24,"All","All",3.25,3.25
"Ajit Chandila",2012,"Royal Challengers Bangalore","Rajasthan Royals",29,0,24,"All","All",Inf,7.25
"Ajit Chandila",2013,"Chennai Super Kings","Rajasthan Royals",16,1,18,"All","All",16,5.33333333333333
"Ajit Chandila",2013,"Mumbai Indians","Rajasthan Royals",6,2,12,"All","All",3,3
"Ajit Chandila",2013,"Pune Warriors","Rajasthan Royals",23,0,12,"All","All",Inf,11.5
"Ajit Chandila",2013,"Punjab Kings","Rajasthan Royals",38,1,42,"All","All",38,5.42857142857143
"Ajit Chandila",2013,"Royal Challengers Bangalore","Rajasthan Royals",60,0,48,"All","All",Inf,7.5
"Ajit Chandila",2013,"Sunrisers Hyderabad","Rajasthan Royals",13,2,18,"All","All",6.5,4.33333333333333
"Akash Deep",2022,"Chennai Super Kings","Royal Challengers Bangalore",58,0,24,"All","All",Inf,14.5
"Akash Deep",2022,"Kolkata Knight Riders","Royal Challengers Bangalore",45,3,23,"All","All",15,11.7391304347826
"Akash Deep",2022,"Mumbai Indians","Royal Challengers Bangalore",20,1,24,"All","All",20,5
"Akash Deep",2022,"Punjab Kings","Royal Challengers Bangalore",38,1,18,"All","All",38,12.6666666666667
"Akash Deep",2022,"Rajasthan Royals","Royal Challengers Bangalore",44,0,24,"All","All",Inf,11
"Akash Singh",2021,"Chennai Super Kings","Rajasthan Royals",39,0,24,"All","All",Inf,9.75
"Akila Dananjaya",2018,"Delhi Capitals","Mumbai Indians",47,0,24,"All","All",Inf,11.75
"Albie Morkel",2008,"Deccan Chargers","Chennai Super Kings",63,3,48,"All","All",21,7.875
"Albie Morkel",2008,"Delhi Capitals","Chennai Super Kings",75,2,48,"All","All",37.5,9.375
"Albie Morkel",2008,"Kolkata Knight Riders","Chennai Super Kings",25,0,24,"All","All",Inf,6.25
"Albie Morkel",2008,"Mumbai Indians","Chennai Super Kings",44,0,18,"All","All",Inf,14.6666666666667
"Albie Morkel",2008,"Punjab Kings","Chennai Super Kings",52,3,48,"All","All",17.3333333333333,6.5
"Albie Morkel",2008,"Rajasthan Royals","Chennai Super Kings",70,4,54,"All","All",17.5,7.77777777777778
"Albie Morkel",2008,"Royal Challengers Bangalore","Chennai Super Kings",70,5,48,"All","All",14,8.75
"Albie Morkel",2009,"Deccan Chargers","Chennai Super Kings",49,2,36,"All","All",24.5,8.16666666666667
"Albie Morkel",2009,"Delhi Capitals","Chennai Super Kings",73,2,48,"All","All",36.5,9.125
"Albie Morkel",2009,"Kolkata Knight Riders","Chennai Super Kings",39,0,18,"All","All",Inf,13
"Albie Morkel",2009,"Mumbai Indians","Chennai Super Kings",31,1,24,"All","All",31,7.75
"Albie Morkel",2009,"Punjab Kings","Chennai Super Kings",36,1,18,"All","All",36,12
"Albie Morkel",2009,"Rajasthan Royals","Chennai Super Kings",45,3,42,"All","All",15,6.42857142857143
"Albie Morkel",2009,"Royal Challengers Bangalore","Chennai Super Kings",51,4,54,"All","All",12.75,5.66666666666667
"Albie Morkel",2010,"Deccan Chargers","Chennai Super Kings",56,1,42,"All","All",56,8
"Albie Morkel",2010,"Delhi Capitals","Chennai Super Kings",42,0,34,"All","All",Inf,7.41176470588235
"Albie Morkel",2010,"Kolkata Knight Riders","Chennai Super Kings",20,1,24,"All","All",20,5
"Albie Morkel",2010,"Mumbai Indians","Chennai Super Kings",46,1,42,"All","All",46,6.57142857142857
"Albie Morkel",2010,"Punjab Kings","Chennai Super Kings",71,3,48,"All","All",23.6666666666667,8.875
"Albie Morkel",2010,"Rajasthan Royals","Chennai Super Kings",102,4,48,"All","All",25.5,12.75
"Albie Morkel",2010,"Royal Challengers Bangalore","Chennai Super Kings",68,1,48,"All","All",68,8.5
"Albie Morkel",2011,"Deccan Chargers","Chennai Super Kings",38,3,24,"All","All",12.6666666666667,9.5
"Albie Morkel",2011,"Delhi Capitals","Chennai Super Kings",36,1,18,"All","All",36,12
"Albie Morkel",2011,"Kochi Tuskers Kerala","Chennai Super Kings",17,0,12,"All","All",Inf,8.5
"Albie Morkel",2011,"Kolkata Knight Riders","Chennai Super Kings",46,0,30,"All","All",Inf,9.2
"Albie Morkel",2011,"Mumbai Indians","Chennai Super Kings",19,1,24,"All","All",19,4.75
"Albie Morkel",2011,"Pune Warriors","Chennai Super Kings",28,3,24,"All","All",9.33333333333333,7
"Albie Morkel",2011,"Punjab Kings","Chennai Super Kings",38,1,18,"All","All",38,12.6666666666667
"Albie Morkel",2011,"Rajasthan Royals","Chennai Super Kings",45,3,42,"All","All",15,6.42857142857143
"Albie Morkel",2011,"Royal Challengers Bangalore","Chennai Super Kings",114,3,78,"All","All",38,8.76923076923077
"Albie Morkel",2012,"Deccan Chargers","Chennai Super Kings",36,1,30,"All","All",36,7.2
"Albie Morkel",2012,"Delhi Capitals","Chennai Super Kings",67,2,54,"All","All",33.5,7.44444444444444
"Albie Morkel",2012,"Kolkata Knight Riders","Chennai Super Kings",62,2,48,"All","All",31,7.75
"Albie Morkel",2012,"Mumbai Indians","Chennai Super Kings",85,2,66,"All","All",42.5,7.72727272727273
"Albie Morkel",2012,"Pune Warriors","Chennai Super Kings",22,0,12,"All","All",Inf,11
"Albie Morkel",2012,"Punjab Kings","Chennai Super Kings",57,4,45,"All","All",14.25,7.6
"Albie Morkel",2012,"Rajasthan Royals","Chennai Super Kings",19,0,18,"All","All",Inf,6.33333333333333
"Albie Morkel",2012,"Royal Challengers Bangalore","Chennai Super Kings",37,2,24,"All","All",18.5,9.25
"Albie Morkel",2013,"Delhi Capitals","Chennai Super Kings",45,4,42,"All","All",11.25,6.42857142857143
"Albie Morkel",2013,"Kolkata Knight Riders","Chennai Super Kings",36,0,24,"All","All",Inf,9
"Albie Morkel",2013,"Mumbai Indians","Chennai Super Kings",38,3,36,"All","All",12.6666666666667,6.33333333333333
"Albie Morkel",2013,"Pune Warriors","Chennai Super Kings",20,0,18,"All","All",Inf,6.66666666666667
"Albie Morkel",2013,"Punjab Kings","Chennai Super Kings",20,0,24,"All","All",Inf,5
"Albie Morkel",2014,"Delhi Capitals","Royal Challengers Bangalore",18,1,18,"All","All",18,6
"Albie Morkel",2014,"Kolkata Knight Riders","Royal Challengers Bangalore",21,1,12,"All","All",21,10.5
"Albie Morkel",2014,"Mumbai Indians","Royal Challengers Bangalore",23,1,18,"All","All",23,7.66666666666667
"Albie Morkel",2014,"Punjab Kings","Royal Challengers Bangalore",44,1,36,"All","All",44,7.33333333333333
"Albie Morkel",2014,"Rajasthan Royals","Royal Challengers Bangalore",20,0,12,"All","All",Inf,10
"Albie Morkel",2015,"Chennai Super Kings","Delhi Capitals",49,2,36,"All","All",24.5,8.16666666666667
"Albie Morkel",2015,"Kolkata Knight Riders","Delhi Capitals",25,1,18,"All","All",25,8.33333333333333
"Albie Morkel",2015,"Sunrisers Hyderabad","Delhi Capitals",35,0,18,"All","All",Inf,11.6666666666667
"Albie Morkel",2016,"Gujarat Lions","Rising Pune Supergiants",30,0,12,"All","All",Inf,15
"Albie Morkel",2016,"Kolkata Knight Riders","Rising Pune Supergiants",36,2,18,"All","All",18,12
"Alfonso Thomas",2011,"Chennai Super Kings","Pune Warriors",53,2,45,"All","All",26.5,7.06666666666667
"Alfonso Thomas",2011,"Delhi Capitals","Pune Warriors",37,0,30,"All","All",Inf,7.4
"Alfonso Thomas",2011,"Kochi Tuskers Kerala","Pune Warriors",31,1,18,"All","All",31,10.3333333333333
"Alfonso Thomas",2011,"Kolkata Knight Riders","Pune Warriors",29,1,18,"All","All",29,9.66666666666667
"Alfonso Thomas",2011,"Mumbai Indians","Pune Warriors",69,2,48,"All","All",34.5,8.625
"Alfonso Thomas",2011,"Punjab Kings","Pune Warriors",27,2,24,"All","All",13.5,6.75
"Alfonso Thomas",2011,"Rajasthan Royals","Pune Warriors",28,1,24,"All","All",28,7
"Alfonso Thomas",2011,"Royal Challengers Bangalore","Pune Warriors",23,2,24,"All","All",11.5,5.75
"Alfonso Thomas",2012,"Deccan Chargers","Pune Warriors",27,0,24,"All","All",Inf,6.75
"Alfonso Thomas",2012,"Delhi Capitals","Pune Warriors",36,3,36,"All","All",12,6
"Alfonso Thomas",2012,"Royal Challengers Bangalore","Pune Warriors",46,0,24,"All","All",Inf,11.5
"Ali Murtaza",2010,"Delhi Capitals","Mumbai Indians",18,2,24,"All","All",9,4.5
"Ali Murtaza",2010,"Kolkata Knight Riders","Mumbai Indians",27,0,24,"All","All",Inf,6.75
"Ali Murtaza",2010,"Rajasthan Royals","Mumbai Indians",46,1,24,"All","All",46,11.5
"Ali Murtaza",2011,"Delhi Capitals","Mumbai Indians",21,1,24,"All","All",21,5.25
"Ali Murtaza",2011,"Kochi Tuskers Kerala","Mumbai Indians",37,0,24,"All","All",Inf,9.25
"Ali Murtaza",2011,"Pune Warriors","Mumbai Indians",18,2,24,"All","All",9,4.5
"Ali Murtaza",2011,"Rajasthan Royals","Mumbai Indians",15,0,24,"All","All",Inf,3.75
"Ali Murtaza",2011,"Royal Challengers Bangalore","Mumbai Indians",26,0,24,"All","All",Inf,6.5
"Ali Murtaza",2012,"Kolkata Knight Riders","Pune Warriors",11,0,12,"All","All",Inf,5.5
"Ali Murtaza",2013,"Delhi Capitals","Pune Warriors",15,3,24,"All","All",5,3.75
"Ali Murtaza",2013,"Kolkata Knight Riders","Pune Warriors",34,0,24,"All","All",Inf,8.5
"Ali Murtaza",2013,"Royal Challengers Bangalore","Pune Warriors",45,0,12,"All","All",Inf,22.5
