"Bowling_Team","Bowler","Season","Batting_Team","Runs","Wickets","Balls","Stadium","Average","Economy"
"Chennai Super Kings","Adam Milne",2022,"Kolkata Knight Riders",19,0,15,"All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2008,"Deccan Chargers",63,3,48,"All",21,7.875
"Chennai Super Kings","Albie Morkel",2008,"Delhi Capitals",75,2,48,"All",37.5,9.375
"Chennai Super Kings","Albie Morkel",2008,"Kolkata Knight Riders",25,0,24,"All",Inf,6.25
"Chennai Super Kings","Albie Morkel",2008,"Mumbai Indians",44,0,18,"All",Inf,14.6666666666667
"Chennai Super Kings","Albie Morkel",2008,"Punjab Kings",52,3,48,"All",17.3333333333333,6.5
"Chennai Super Kings","Albie Morkel",2008,"Rajasthan Royals",70,4,54,"All",17.5,7.77777777777778
"Chennai Super Kings","Albie Morkel",2008,"Royal Challengers Bangalore",70,5,48,"All",14,8.75
"Chennai Super Kings","Albie Morkel",2009,"Deccan Chargers",49,2,36,"All",24.5,8.16666666666667
"Chennai Super Kings","Albie Morkel",2009,"Delhi Capitals",73,2,48,"All",36.5,9.125
"Chennai Super Kings","Albie Morkel",2009,"Kolkata Knight Riders",39,0,18,"All",Inf,13
"Chennai Super Kings","Albie Morkel",2009,"Mumbai Indians",31,1,24,"All",31,7.75
"Chennai Super Kings","Albie Morkel",2009,"Punjab Kings",36,1,18,"All",36,12
"Chennai Super Kings","Albie Morkel",2009,"Rajasthan Royals",45,3,42,"All",15,6.42857142857143
"Chennai Super Kings","Albie Morkel",2009,"Royal Challengers Bangalore",51,4,54,"All",12.75,5.66666666666667
"Chennai Super Kings","Albie Morkel",2010,"Deccan Chargers",56,1,42,"All",56,8
"Chennai Super Kings","Albie Morkel",2010,"Delhi Capitals",42,0,34,"All",Inf,7.41176470588235
"Chennai Super Kings","Albie Morkel",2010,"Kolkata Knight Riders",20,1,24,"All",20,5
"Chennai Super Kings","Albie Morkel",2010,"Mumbai Indians",46,1,42,"All",46,6.57142857142857
"Chennai Super Kings","Albie Morkel",2010,"Punjab Kings",71,3,48,"All",23.6666666666667,8.875
"Chennai Super Kings","Albie Morkel",2010,"Rajasthan Royals",102,4,48,"All",25.5,12.75
"Chennai Super Kings","Albie Morkel",2010,"Royal Challengers Bangalore",68,1,48,"All",68,8.5
"Chennai Super Kings","Albie Morkel",2011,"Deccan Chargers",38,3,24,"All",12.6666666666667,9.5
"Chennai Super Kings","Albie Morkel",2011,"Delhi Capitals",36,1,18,"All",36,12
"Chennai Super Kings","Albie Morkel",2011,"Kochi Tuskers Kerala",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Albie Morkel",2011,"Kolkata Knight Riders",46,0,30,"All",Inf,9.2
"Chennai Super Kings","Albie Morkel",2011,"Mumbai Indians",19,1,24,"All",19,4.75
"Chennai Super Kings","Albie Morkel",2011,"Pune Warriors",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Albie Morkel",2011,"Punjab Kings",38,1,18,"All",38,12.6666666666667
"Chennai Super Kings","Albie Morkel",2011,"Rajasthan Royals",45,3,42,"All",15,6.42857142857143
"Chennai Super Kings","Albie Morkel",2011,"Royal Challengers Bangalore",114,3,78,"All",38,8.76923076923077
"Chennai Super Kings","Albie Morkel",2012,"Deccan Chargers",36,1,30,"All",36,7.2
"Chennai Super Kings","Albie Morkel",2012,"Delhi Capitals",67,2,54,"All",33.5,7.44444444444444
"Chennai Super Kings","Albie Morkel",2012,"Kolkata Knight Riders",62,2,48,"All",31,7.75
"Chennai Super Kings","Albie Morkel",2012,"Mumbai Indians",85,2,66,"All",42.5,7.72727272727273
"Chennai Super Kings","Albie Morkel",2012,"Pune Warriors",22,0,12,"All",Inf,11
"Chennai Super Kings","Albie Morkel",2012,"Punjab Kings",57,4,45,"All",14.25,7.6
"Chennai Super Kings","Albie Morkel",2012,"Rajasthan Royals",19,0,18,"All",Inf,6.33333333333333
"Chennai Super Kings","Albie Morkel",2012,"Royal Challengers Bangalore",37,2,24,"All",18.5,9.25
"Chennai Super Kings","Albie Morkel",2013,"Delhi Capitals",45,4,42,"All",11.25,6.42857142857143
"Chennai Super Kings","Albie Morkel",2013,"Kolkata Knight Riders",36,0,24,"All",Inf,9
"Chennai Super Kings","Albie Morkel",2013,"Mumbai Indians",38,3,36,"All",12.6666666666667,6.33333333333333
"Chennai Super Kings","Albie Morkel",2013,"Pune Warriors",20,0,18,"All",Inf,6.66666666666667
"Chennai Super Kings","Albie Morkel",2013,"Punjab Kings",20,0,24,"All",Inf,5
"Chennai Super Kings","Andrew Flintoff",2009,"Delhi Capitals",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Andrew Flintoff",2009,"Mumbai Indians",44,1,24,"All",44,11
"Chennai Super Kings","Andrew Flintoff",2009,"Royal Challengers Bangalore",11,1,18,"All",11,3.66666666666667
"Chennai Super Kings","Ankit Rajpoot",2013,"Mumbai Indians",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Ankit Rajpoot",2013,"Punjab Kings",10,0,6,"All",Inf,10
"Chennai Super Kings","Ashish Nehra",2014,"Mumbai Indians",34,2,24,"All",17,8.5
"Chennai Super Kings","Ashish Nehra",2014,"Punjab Kings",75,3,42,"All",25,10.7142857142857
"Chennai Super Kings","Ashish Nehra",2014,"Royal Challengers Bangalore",33,3,24,"All",11,8.25
"Chennai Super Kings","Ashish Nehra",2015,"Delhi Capitals",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Ashish Nehra",2015,"Kolkata Knight Riders",74,1,48,"All",74,9.25
"Chennai Super Kings","Ashish Nehra",2015,"Mumbai Indians",137,4,90,"All",34.25,9.13333333333333
"Chennai Super Kings","Ashish Nehra",2015,"Punjab Kings",33,3,42,"All",11,4.71428571428571
"Chennai Super Kings","Ashish Nehra",2015,"Rajasthan Royals",61,0,48,"All",Inf,7.625
"Chennai Super Kings","Ashish Nehra",2015,"Royal Challengers Bangalore",57,10,72,"All",5.7,4.75
"Chennai Super Kings","Ashish Nehra",2015,"Sunrisers Hyderabad",62,1,48,"All",62,7.75
"Chennai Super Kings","Ben Hilfenhaus",2012,"Deccan Chargers",31,1,24,"All",31,7.75
"Chennai Super Kings","Ben Hilfenhaus",2012,"Delhi Capitals",44,4,42,"All",11,6.28571428571429
"Chennai Super Kings","Ben Hilfenhaus",2012,"Kolkata Knight Riders",51,3,42,"All",17,7.28571428571428
"Chennai Super Kings","Ben Hilfenhaus",2012,"Mumbai Indians",79,3,48,"All",26.3333333333333,9.875
"Chennai Super Kings","Ben Hilfenhaus",2012,"Punjab Kings",20,1,24,"All",20,5
"Chennai Super Kings","Ben Hilfenhaus",2012,"Rajasthan Royals",8,2,24,"All",4,2
"Chennai Super Kings","Ben Hilfenhaus",2014,"Delhi Capitals",43,2,36,"All",21.5,7.16666666666667
"Chennai Super Kings","Ben Hilfenhaus",2014,"Kolkata Knight Riders",64,0,36,"All",Inf,10.6666666666667
"Chennai Super Kings","Ben Hilfenhaus",2014,"Mumbai Indians",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Ben Hilfenhaus",2014,"Punjab Kings",36,1,24,"All",36,9
"Chennai Super Kings","Ben Hilfenhaus",2014,"Rajasthan Royals",32,1,24,"All",32,8
"Chennai Super Kings","Ben Hilfenhaus",2014,"Sunrisers Hyderabad",32,2,24,"All",16,8
"Chennai Super Kings","Ben Laughlin",2013,"Mumbai Indians",71,1,42,"All",71,10.1428571428571
"Chennai Super Kings","Chamara Kapugedera",2008,"Delhi Capitals",15,0,6,"All",Inf,15
"Chennai Super Kings","Chamara Kapugedera",2008,"Mumbai Indians",26,0,5,"All",Inf,31.2
"Chennai Super Kings","Chamara Kapugedera",2008,"Punjab Kings",8,0,6,"All",Inf,8
"Chennai Super Kings","Chandrasekar Ganapathy",2010,"Royal Challengers Bangalore",13,0,6,"All",Inf,13
"Chennai Super Kings","Chris Jordan",2022,"Gujarat Titans",58,0,23,"All",Inf,15.1304347826087
"Chennai Super Kings","Chris Jordan",2022,"Punjab Kings",23,2,24,"All",11.5,5.75
"Chennai Super Kings","Chris Jordan",2022,"Royal Challengers Bangalore",20,0,12,"All",Inf,10
"Chennai Super Kings","Chris Jordan",2022,"Sunrisers Hyderabad",34,0,18,"All",Inf,11.3333333333333
"Chennai Super Kings","Chris Morris",2013,"Delhi Capitals",13,1,12,"All",13,6.5
"Chennai Super Kings","Chris Morris",2013,"Kolkata Knight Riders",41,2,36,"All",20.5,6.83333333333333
"Chennai Super Kings","Chris Morris",2013,"Mumbai Indians",65,2,60,"All",32.5,6.5
"Chennai Super Kings","Chris Morris",2013,"Pune Warriors",46,3,42,"All",15.3333333333333,6.57142857142857
"Chennai Super Kings","Chris Morris",2013,"Punjab Kings",58,2,42,"All",29,8.28571428571428
"Chennai Super Kings","Chris Morris",2013,"Rajasthan Royals",68,1,42,"All",68,9.71428571428572
"Chennai Super Kings","Chris Morris",2013,"Royal Challengers Bangalore",62,3,36,"All",20.6666666666667,10.3333333333333
"Chennai Super Kings","Chris Morris",2013,"Sunrisers Hyderabad",48,1,30,"All",48,9.6
"Chennai Super Kings","David Hussey",2014,"Royal Challengers Bangalore",38,2,17,"All",19,13.4117647058824
"Chennai Super Kings","David Willey",2018,"Rajasthan Royals",47,1,24,"All",47,11.75
"Chennai Super Kings","David Willey",2018,"Royal Challengers Bangalore",24,1,24,"All",24,6
"Chennai Super Kings","David Willey",2018,"Sunrisers Hyderabad",24,0,12,"All",Inf,12
"Chennai Super Kings","Deepak Chahar",2018,"Delhi Capitals",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Deepak Chahar",2018,"Kolkata Knight Riders",18,0,6,"All",Inf,18
"Chennai Super Kings","Deepak Chahar",2018,"Mumbai Indians",33,1,31,"All",33,6.38709677419355
"Chennai Super Kings","Deepak Chahar",2018,"Punjab Kings",67,1,42,"All",67,9.57142857142857
"Chennai Super Kings","Deepak Chahar",2018,"Rajasthan Royals",30,2,24,"All",15,7.5
"Chennai Super Kings","Deepak Chahar",2018,"Royal Challengers Bangalore",20,0,12,"All",Inf,10
"Chennai Super Kings","Deepak Chahar",2018,"Sunrisers Hyderabad",87,5,96,"All",17.4,5.4375
"Chennai Super Kings","Deepak Chahar",2019,"Delhi Capitals",80,4,66,"All",20,7.27272727272727
"Chennai Super Kings","Deepak Chahar",2019,"Kolkata Knight Riders",56,3,48,"All",18.6666666666667,7
"Chennai Super Kings","Deepak Chahar",2019,"Mumbai Indians",123,6,87,"All",20.5,8.48275862068965
"Chennai Super Kings","Deepak Chahar",2019,"Punjab Kings",68,1,48,"All",68,8.5
"Chennai Super Kings","Deepak Chahar",2019,"Rajasthan Royals",52,4,48,"All",13,6.5
"Chennai Super Kings","Deepak Chahar",2019,"Royal Challengers Bangalore",42,2,48,"All",21,5.25
"Chennai Super Kings","Deepak Chahar",2019,"Sunrisers Hyderabad",61,2,42,"All",30.5,8.71428571428571
"Chennai Super Kings","Deepak Chahar",2020,"Delhi Capitals",56,2,48,"All",28,7
"Chennai Super Kings","Deepak Chahar",2020,"Kolkata Knight Riders",78,0,42,"All",Inf,11.1428571428571
"Chennai Super Kings","Deepak Chahar",2020,"Mumbai Indians",66,2,48,"All",33,8.25
"Chennai Super Kings","Deepak Chahar",2020,"Punjab Kings",47,0,36,"All",Inf,7.83333333333333
"Chennai Super Kings","Deepak Chahar",2020,"Rajasthan Royals",49,3,48,"All",16.3333333333333,6.125
"Chennai Super Kings","Deepak Chahar",2020,"Royal Challengers Bangalore",41,3,42,"All",13.6666666666667,5.85714285714286
"Chennai Super Kings","Deepak Chahar",2020,"Sunrisers Hyderabad",59,2,48,"All",29.5,7.375
"Chennai Super Kings","Deepak Chahar",2021,"Delhi Capitals",96,1,60,"All",96,9.6
"Chennai Super Kings","Deepak Chahar",2021,"Kolkata Knight Riders",93,5,72,"All",18.6,7.75
"Chennai Super Kings","Deepak Chahar",2021,"Mumbai Indians",56,2,48,"All",28,7
"Chennai Super Kings","Deepak Chahar",2021,"Punjab Kings",61,5,48,"All",12.2,7.625
"Chennai Super Kings","Deepak Chahar",2021,"Rajasthan Royals",32,0,18,"All",Inf,10.6666666666667
"Chennai Super Kings","Deepak Chahar",2021,"Royal Challengers Bangalore",60,1,36,"All",60,10
"Chennai Super Kings","Deepak Chahar",2021,"Sunrisers Hyderabad",53,0,42,"All",Inf,7.57142857142857
"Chennai Super Kings","Dirk Nannes",2013,"Kolkata Knight Riders",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Dirk Nannes",2013,"Mumbai Indians",18,1,24,"All",18,4.5
"Chennai Super Kings","Dirk Nannes",2013,"Pune Warriors",42,0,24,"All",Inf,10.5
"Chennai Super Kings","Dirk Nannes",2013,"Punjab Kings",17,2,23,"All",8.5,4.43478260869565
"Chennai Super Kings","Dirk Nannes",2013,"Royal Challengers Bangalore",31,1,24,"All",31,7.75
"Chennai Super Kings","Doug Bollinger",2010,"Deccan Chargers",44,4,42,"All",11,6.28571428571429
"Chennai Super Kings","Doug Bollinger",2010,"Delhi Capitals",24,2,24,"All",12,6
"Chennai Super Kings","Doug Bollinger",2010,"Kolkata Knight Riders",15,2,24,"All",7.5,3.75
"Chennai Super Kings","Doug Bollinger",2010,"Mumbai Indians",70,2,48,"All",35,8.75
"Chennai Super Kings","Doug Bollinger",2010,"Punjab Kings",39,0,24,"All",Inf,9.75
"Chennai Super Kings","Doug Bollinger",2010,"Rajasthan Royals",15,2,24,"All",7.5,3.75
"Chennai Super Kings","Doug Bollinger",2011,"Deccan Chargers",26,2,24,"All",13,6.5
"Chennai Super Kings","Doug Bollinger",2011,"Delhi Capitals",38,1,24,"All",38,9.5
"Chennai Super Kings","Doug Bollinger",2011,"Kochi Tuskers Kerala",56,2,42,"All",28,8
"Chennai Super Kings","Doug Bollinger",2011,"Kolkata Knight Riders",6,0,6,"All",Inf,6
"Chennai Super Kings","Doug Bollinger",2011,"Mumbai Indians",30,2,24,"All",15,7.5
"Chennai Super Kings","Doug Bollinger",2011,"Pune Warriors",41,5,48,"All",8.2,5.125
"Chennai Super Kings","Doug Bollinger",2011,"Rajasthan Royals",50,3,48,"All",16.6666666666667,6.25
"Chennai Super Kings","Doug Bollinger",2011,"Royal Challengers Bangalore",82,2,66,"All",41,7.45454545454546
"Chennai Super Kings","Doug Bollinger",2012,"Deccan Chargers",20,2,13,"All",10,9.23076923076923
"Chennai Super Kings","Doug Bollinger",2012,"Delhi Capitals",18,0,12,"All",Inf,9
"Chennai Super Kings","Doug Bollinger",2012,"Mumbai Indians",34,1,23,"All",34,8.8695652173913
"Chennai Super Kings","Doug Bollinger",2012,"Pune Warriors",30,1,18,"All",30,10
"Chennai Super Kings","Doug Bollinger",2012,"Rajasthan Royals",31,1,24,"All",31,7.75
"Chennai Super Kings","Doug Bollinger",2012,"Royal Challengers Bangalore",24,3,18,"All",8,8
"Chennai Super Kings","Dwaine Pretorius",2022,"Lucknow Super Giants",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Dwaine Pretorius",2022,"Mumbai Indians",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Dwaine Pretorius",2022,"Punjab Kings",80,2,48,"All",40,10
"Chennai Super Kings","Dwaine Pretorius",2022,"Royal Challengers Bangalore",42,1,18,"All",42,14
"Chennai Super Kings","Dwaine Pretorius",2022,"Sunrisers Hyderabad",40,1,24,"All",40,10
"Chennai Super Kings","Dwayne Bravo",2011,"Delhi Capitals",21,2,18,"All",10.5,7
"Chennai Super Kings","Dwayne Bravo",2011,"Kochi Tuskers Kerala",36,1,24,"All",36,9
"Chennai Super Kings","Dwayne Bravo",2011,"Rajasthan Royals",36,1,24,"All",36,9
"Chennai Super Kings","Dwayne Bravo",2011,"Royal Challengers Bangalore",64,2,54,"All",32,7.11111111111111
"Chennai Super Kings","Dwayne Bravo",2012,"Deccan Chargers",45,0,30,"All",Inf,9
"Chennai Super Kings","Dwayne Bravo",2012,"Delhi Capitals",51,1,48,"All",51,6.375
"Chennai Super Kings","Dwayne Bravo",2012,"Kolkata Knight Riders",98,3,64,"All",32.6666666666667,9.1875
"Chennai Super Kings","Dwayne Bravo",2012,"Mumbai Indians",63,5,60,"All",12.6,6.3
"Chennai Super Kings","Dwayne Bravo",2012,"Pune Warriors",59,2,42,"All",29.5,8.42857142857143
"Chennai Super Kings","Dwayne Bravo",2012,"Punjab Kings",46,4,42,"All",11.5,6.57142857142857
"Chennai Super Kings","Dwayne Bravo",2012,"Rajasthan Royals",70,0,36,"All",Inf,11.6666666666667
"Chennai Super Kings","Dwayne Bravo",2012,"Royal Challengers Bangalore",30,0,24,"All",Inf,7.5
"Chennai Super Kings","Dwayne Bravo",2013,"Delhi Capitals",27,3,33,"All",9,4.90909090909091
"Chennai Super Kings","Dwayne Bravo",2013,"Kolkata Knight Riders",51,2,36,"All",25.5,8.5
"Chennai Super Kings","Dwayne Bravo",2013,"Mumbai Indians",114,10,84,"All",11.4,8.14285714285714
"Chennai Super Kings","Dwayne Bravo",2013,"Pune Warriors",53,3,48,"All",17.6666666666667,6.625
"Chennai Super Kings","Dwayne Bravo",2013,"Punjab Kings",61,6,48,"All",10.1666666666667,7.625
"Chennai Super Kings","Dwayne Bravo",2013,"Rajasthan Royals",71,3,42,"All",23.6666666666667,10.1428571428571
"Chennai Super Kings","Dwayne Bravo",2013,"Royal Challengers Bangalore",58,2,36,"All",29,9.66666666666667
"Chennai Super Kings","Dwayne Bravo",2013,"Sunrisers Hyderabad",62,3,48,"All",20.6666666666667,7.75
"Chennai Super Kings","Dwayne Bravo",2015,"Delhi Capitals",36,2,24,"All",18,9
"Chennai Super Kings","Dwayne Bravo",2015,"Kolkata Knight Riders",49,3,30,"All",16.3333333333333,9.8
"Chennai Super Kings","Dwayne Bravo",2015,"Mumbai Indians",122,8,86,"All",15.25,8.51162790697675
"Chennai Super Kings","Dwayne Bravo",2015,"Punjab Kings",33,1,30,"All",33,6.6
"Chennai Super Kings","Dwayne Bravo",2015,"Rajasthan Royals",73,3,38,"All",24.3333333333333,11.5263157894737
"Chennai Super Kings","Dwayne Bravo",2015,"Royal Challengers Bangalore",63,4,58,"All",15.75,6.51724137931035
"Chennai Super Kings","Dwayne Bravo",2015,"Sunrisers Hyderabad",50,5,48,"All",10,6.25
"Chennai Super Kings","Dwayne Bravo",2018,"Delhi Capitals",95,0,42,"All",Inf,13.5714285714286
"Chennai Super Kings","Dwayne Bravo",2018,"Kolkata Knight Riders",72,0,28,"All",Inf,15.4285714285714
"Chennai Super Kings","Dwayne Bravo",2018,"Mumbai Indians",46,1,42,"All",46,6.57142857142857
"Chennai Super Kings","Dwayne Bravo",2018,"Punjab Kings",76,3,48,"All",25.3333333333333,9.5
"Chennai Super Kings","Dwayne Bravo",2018,"Rajasthan Royals",47,3,35,"All",15.6666666666667,8.05714285714286
"Chennai Super Kings","Dwayne Bravo",2018,"Royal Challengers Bangalore",50,2,36,"All",25,8.33333333333333
"Chennai Super Kings","Dwayne Bravo",2018,"Sunrisers Hyderabad",147,5,90,"All",29.4,9.8
"Chennai Super Kings","Dwayne Bravo",2019,"Delhi Capitals",70,5,66,"All",14,6.36363636363636
"Chennai Super Kings","Dwayne Bravo",2019,"Mumbai Indians",133,1,84,"All",133,9.5
"Chennai Super Kings","Dwayne Bravo",2019,"Punjab Kings",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Dwayne Bravo",2019,"Rajasthan Royals",32,2,24,"All",16,8
"Chennai Super Kings","Dwayne Bravo",2019,"Royal Challengers Bangalore",34,3,25,"All",11.3333333333333,8.16
"Chennai Super Kings","Dwayne Bravo",2019,"Sunrisers Hyderabad",34,0,24,"All",Inf,8.5
"Chennai Super Kings","Dwayne Bravo",2020,"Delhi Capitals",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Dwayne Bravo",2020,"Kolkata Knight Riders",37,3,24,"All",12.3333333333333,9.25
"Chennai Super Kings","Dwayne Bravo",2020,"Punjab Kings",38,0,24,"All",Inf,9.5
"Chennai Super Kings","Dwayne Bravo",2020,"Royal Challengers Bangalore",29,0,18,"All",Inf,9.66666666666667
"Chennai Super Kings","Dwayne Bravo",2020,"Sunrisers Hyderabad",53,2,42,"All",26.5,7.57142857142857
"Chennai Super Kings","Dwayne Bravo",2021,"Delhi Capitals",79,3,52,"All",26.3333333333333,9.11538461538461
"Chennai Super Kings","Dwayne Bravo",2021,"Kolkata Knight Riders",29,1,24,"All",29,7.25
"Chennai Super Kings","Dwayne Bravo",2021,"Mumbai Indians",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Dwayne Bravo",2021,"Punjab Kings",42,1,24,"All",42,10.5
"Chennai Super Kings","Dwayne Bravo",2021,"Rajasthan Royals",28,1,18,"All",28,9.33333333333333
"Chennai Super Kings","Dwayne Bravo",2021,"Royal Challengers Bangalore",43,3,36,"All",14.3333333333333,7.16666666666667
"Chennai Super Kings","Dwayne Bravo",2021,"Sunrisers Hyderabad",17,2,24,"All",8.5,4.25
"Chennai Super Kings","Dwayne Bravo",2022,"Delhi Capitals",24,2,16,"All",12,9
"Chennai Super Kings","Dwayne Bravo",2022,"Gujarat Titans",23,3,24,"All",7.66666666666667,5.75
"Chennai Super Kings","Dwayne Bravo",2022,"Kolkata Knight Riders",20,3,24,"All",6.66666666666667,5
"Chennai Super Kings","Dwayne Bravo",2022,"Lucknow Super Giants",35,1,24,"All",35,8.75
"Chennai Super Kings","Dwayne Bravo",2022,"Mumbai Indians",52,2,36,"All",26,8.66666666666667
"Chennai Super Kings","Dwayne Bravo",2022,"Punjab Kings",74,3,42,"All",24.6666666666667,10.5714285714286
"Chennai Super Kings","Dwayne Bravo",2022,"Royal Challengers Bangalore",42,1,24,"All",42,10.5
"Chennai Super Kings","Dwayne Bravo",2022,"Sunrisers Hyderabad",29,1,16,"All",29,10.875
"Chennai Super Kings","Dwayne Smith",2014,"Delhi Capitals",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Dwayne Smith",2014,"Punjab Kings",61,2,30,"All",30.5,12.2
"Chennai Super Kings","Dwayne Smith",2014,"Sunrisers Hyderabad",11,1,12,"All",11,5.5
"Chennai Super Kings","Dwayne Smith",2015,"Mumbai Indians",17,1,12,"All",17,8.5
"Chennai Super Kings","Faf du Plessis",2012,"Deccan Chargers",16,0,6,"All",Inf,16
"Chennai Super Kings","Harbhajan Singh",2018,"Delhi Capitals",50,0,36,"All",Inf,8.33333333333333
"Chennai Super Kings","Harbhajan Singh",2018,"Kolkata Knight Riders",31,2,30,"All",15.5,6.2
"Chennai Super Kings","Harbhajan Singh",2018,"Mumbai Indians",34,1,35,"All",34,5.82857142857143
"Chennai Super Kings","Harbhajan Singh",2018,"Punjab Kings",54,1,30,"All",54,10.8
"Chennai Super Kings","Harbhajan Singh",2018,"Rajasthan Royals",29,1,12,"All",29,14.5
"Chennai Super Kings","Harbhajan Singh",2018,"Royal Challengers Bangalore",46,2,36,"All",23,7.66666666666667
"Chennai Super Kings","Harbhajan Singh",2018,"Sunrisers Hyderabad",26,0,12,"All",Inf,13
"Chennai Super Kings","Harbhajan Singh",2019,"Delhi Capitals",89,3,72,"All",29.6666666666667,7.41666666666667
"Chennai Super Kings","Harbhajan Singh",2019,"Kolkata Knight Riders",15,2,24,"All",7.5,3.75
"Chennai Super Kings","Harbhajan Singh",2019,"Mumbai Indians",75,1,72,"All",75,6.25
"Chennai Super Kings","Harbhajan Singh",2019,"Punjab Kings",74,5,48,"All",14.8,9.25
"Chennai Super Kings","Harbhajan Singh",2019,"Royal Challengers Bangalore",20,3,24,"All",6.66666666666667,5
"Chennai Super Kings","Harbhajan Singh",2019,"Sunrisers Hyderabad",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Imran Tahir",2018,"Kolkata Knight Riders",26,0,24,"All",Inf,6.5
"Chennai Super Kings","Imran Tahir",2018,"Mumbai Indians",49,1,28,"All",49,10.5
"Chennai Super Kings","Imran Tahir",2018,"Punjab Kings",34,2,24,"All",17,8.5
"Chennai Super Kings","Imran Tahir",2018,"Rajasthan Royals",44,1,24,"All",44,11
"Chennai Super Kings","Imran Tahir",2018,"Royal Challengers Bangalore",35,2,24,"All",17.5,8.75
"Chennai Super Kings","Imran Tahir",2019,"Delhi Capitals",60,6,56,"All",10,6.42857142857143
"Chennai Super Kings","Imran Tahir",2019,"Kolkata Knight Riders",48,6,48,"All",8,6
"Chennai Super Kings","Imran Tahir",2019,"Mumbai Indians",118,6,90,"All",19.6666666666667,7.86666666666667
"Chennai Super Kings","Imran Tahir",2019,"Punjab Kings",56,0,48,"All",Inf,7
"Chennai Super Kings","Imran Tahir",2019,"Rajasthan Royals",51,2,48,"All",25.5,6.375
"Chennai Super Kings","Imran Tahir",2019,"Royal Challengers Bangalore",40,4,48,"All",10,5
"Chennai Super Kings","Imran Tahir",2019,"Sunrisers Hyderabad",58,2,48,"All",29,7.25
"Chennai Super Kings","Imran Tahir",2020,"Mumbai Indians",22,0,18,"All",Inf,7.33333333333333
"Chennai Super Kings","Imran Tahir",2020,"Punjab Kings",24,1,24,"All",24,6
"Chennai Super Kings","Imran Tahir",2020,"Royal Challengers Bangalore",30,0,24,"All",Inf,7.5
"Chennai Super Kings","Imran Tahir",2021,"Royal Challengers Bangalore",16,2,24,"All",8,4
"Chennai Super Kings","Ishwar Pandey",2014,"Delhi Capitals",49,2,42,"All",24.5,7
"Chennai Super Kings","Ishwar Pandey",2014,"Kolkata Knight Riders",51,1,36,"All",51,8.5
"Chennai Super Kings","Ishwar Pandey",2014,"Mumbai Indians",80,1,66,"All",80,7.27272727272727
"Chennai Super Kings","Ishwar Pandey",2014,"Punjab Kings",76,1,48,"All",76,9.5
"Chennai Super Kings","Ishwar Pandey",2014,"Rajasthan Royals",40,1,42,"All",40,5.71428571428571
"Chennai Super Kings","Ishwar Pandey",2014,"Sunrisers Hyderabad",22,0,18,"All",Inf,7.33333333333333
"Chennai Super Kings","Ishwar Pandey",2015,"Delhi Capitals",57,3,48,"All",19,7.125
"Chennai Super Kings","Ishwar Pandey",2015,"Kolkata Knight Riders",18,1,12,"All",18,9
"Chennai Super Kings","Ishwar Pandey",2015,"Mumbai Indians",22,1,18,"All",22,7.33333333333333
"Chennai Super Kings","Ishwar Pandey",2015,"Punjab Kings",39,2,30,"All",19.5,7.8
"Chennai Super Kings","Ishwar Pandey",2015,"Rajasthan Royals",12,0,12,"All",Inf,6
"Chennai Super Kings","Ishwar Pandey",2015,"Royal Challengers Bangalore",49,3,48,"All",16.3333333333333,6.125
"Chennai Super Kings","Ishwar Pandey",2015,"Sunrisers Hyderabad",26,1,18,"All",26,8.66666666666667
"Chennai Super Kings","Jacob Oram",2008,"Kolkata Knight Riders",32,3,24,"All",10.6666666666667,8
"Chennai Super Kings","Jacob Oram",2008,"Mumbai Indians",53,0,24,"All",Inf,13.25
"Chennai Super Kings","Jacob Oram",2008,"Punjab Kings",37,0,24,"All",Inf,9.25
"Chennai Super Kings","Jacob Oram",2008,"Royal Challengers Bangalore",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Jacob Oram",2009,"Deccan Chargers",28,0,18,"All",Inf,9.33333333333333
"Chennai Super Kings","Jacob Oram",2009,"Delhi Capitals",14,0,6,"All",Inf,14
"Chennai Super Kings","Jacob Oram",2009,"Mumbai Indians",30,1,24,"All",30,7.5
"Chennai Super Kings","Jacob Oram",2009,"Rajasthan Royals",35,2,30,"All",17.5,7
"Chennai Super Kings","Jacob Oram",2009,"Royal Challengers Bangalore",26,2,15,"All",13,10.4
"Chennai Super Kings","Jason Holder",2013,"Delhi Capitals",39,0,24,"All",Inf,9.75
"Chennai Super Kings","Jason Holder",2013,"Rajasthan Royals",50,2,48,"All",25,6.25
