"Batting_Team","Striker","Runs","Dismissed","Balls","Bowling_Team","Stadium","Season","Average","Strike_Rate"
"Punjab Kings","Liam Livingstone",437,12,240,"All","All","All",36.4166666666667,182.083333333333
"Punjab Kings","Love Ablish",0,0,2,"All","All","All",NA,0
"Punjab Kings","Luke Pomersbach",251,7,207,"All","All","All",35.8571428571429,121.256038647343
"Punjab Kings","M Shahrukh Khan",270,14,222,"All","All","All",19.2857142857143,121.621621621622
"Punjab Kings","Mahela Jayawardene",837,23,594,"All","All","All",36.3913043478261,140.909090909091
"Punjab Kings","Manan Vohra",957,39,721,"All","All","All",24.5384615384615,132.732316227462
"Punjab Kings","Mandeep Singh",1073,47,875,"All","All","All",22.8297872340426,122.628571428571
"Punjab Kings","Manoj Tiwary",47,3,44,"All","All","All",15.6666666666667,106.818181818182
"Punjab Kings","Manpreet Gony",45,3,25,"All","All","All",15,180
"Punjab Kings","Manvinder Bisla",218,10,178,"All","All","All",21.8,122.47191011236
"Punjab Kings","Marcus Stoinis",262,11,208,"All","All","All",23.8181818181818,125.961538461538
"Punjab Kings","Martin Guptill",132,6,88,"All","All","All",22,150
"Punjab Kings","Mayank Agarwal",1513,57,1073,"All","All","All",26.5438596491228,141.006523765144
"Punjab Kings","Mitchell Johnson",92,9,100,"All","All","All",10.2222222222222,92
"Punjab Kings","Mohammad Kaif",28,3,30,"All","All","All",9.33333333333333,93.3333333333333
"Punjab Kings","Mohammed Shami",16,3,22,"All","All","All",5.33333333333333,72.7272727272727
"Punjab Kings","Mohit Sharma",93,11,89,"All","All","All",8.45454545454546,104.494382022472
"Punjab Kings","Moises Henriques",31,2,32,"All","All","All",15.5,96.875
"Punjab Kings","Mujeeb Ur Rahman",11,3,14,"All","All","All",3.66666666666667,78.5714285714286
"Punjab Kings","Murali Vijay",704,24,592,"All","All","All",29.3333333333333,118.918918918919
"Punjab Kings","Murugan Ashwin",22,4,33,"All","All","All",5.5,66.6666666666667
"Punjab Kings","Nathan Ellis",18,2,18,"All","All","All",9,100
"Punjab Kings","Nathan Rimmington",1,0,1,"All","All","All",Inf,100
"Punjab Kings","Nicholas Pooran",606,26,391,"All","All","All",23.3076923076923,154.987212276215
"Punjab Kings","Nikhil Naik",23,2,31,"All","All","All",11.5,74.1935483870968
"Punjab Kings","Nitin Saini",140,10,141,"All","All","All",14,99.290780141844
"Punjab Kings","Odean Smith",51,3,44,"All","All","All",17,115.909090909091
"Punjab Kings","Paras Dogra",15,2,24,"All","All","All",7.5,62.5
"Punjab Kings","Pardeep Sahu",19,1,13,"All","All","All",19,146.153846153846
"Punjab Kings","Parvinder Awana",5,2,14,"All","All","All",2.5,35.7142857142857
"Punjab Kings","Paul Valthaty",499,20,406,"All","All","All",24.95,122.906403940887
"Punjab Kings","Piyush Chawla",401,29,355,"All","All","All",13.8275862068966,112.957746478873
"Punjab Kings","Prabhsimran Singh",64,6,66,"All","All","All",10.6666666666667,96.969696969697
"Punjab Kings","Praveen Kumar",109,12,100,"All","All","All",9.08333333333333,109
"Punjab Kings","Prerak Mankad",4,0,1,"All","All","All",Inf,400
"Punjab Kings","Rahul Chahar",77,6,68,"All","All","All",12.8333333333333,113.235294117647
"Punjab Kings","Rahul Tewatia",19,1,11,"All","All","All",19,172.727272727273
"Punjab Kings","Raj Bawa",11,2,14,"All","All","All",5.5,78.5714285714286
"Punjab Kings","Rajagopal Sathish",109,5,77,"All","All","All",21.8,141.558441558442
"Punjab Kings","Ramesh Powar",56,2,51,"All","All","All",28,109.803921568627
"Punjab Kings","Ramnaresh Sarwan",73,4,75,"All","All","All",18.25,97.3333333333333
"Punjab Kings","Ravi Bishnoi",8,2,16,"All","All","All",4,50
"Punjab Kings","Ravi Bopara",386,13,333,"All","All","All",29.6923076923077,115.915915915916
"Punjab Kings","Ravichandran Ashwin",144,13,99,"All","All","All",11.0769230769231,145.454545454545
"Punjab Kings","Reetinder Sodhi",4,0,2,"All","All","All",Inf,200
"Punjab Kings","Rishi Dhawan",169,6,154,"All","All","All",28.1666666666667,109.74025974026
"Punjab Kings","Rusty Theron",2,2,5,"All","All","All",1,40
"Punjab Kings","Ryan Harris",51,7,55,"All","All","All",7.28571428571429,92.7272727272727
"Punjab Kings","Ryan McLaren",90,3,96,"All","All","All",30,93.75
"Punjab Kings","Sam Curran",95,4,55,"All","All","All",23.75,172.727272727273
"Punjab Kings","Sandeep Sharma",26,1,35,"All","All","All",26,74.2857142857143
"Punjab Kings","Sarfaraz Khan",213,8,176,"All","All","All",26.625,121.022727272727
"Punjab Kings","Shalabh Srivastava",5,1,5,"All","All","All",5,100
"Punjab Kings","Shardul Thakur",7,0,6,"All","All","All",Inf,116.666666666667
"Punjab Kings","Shaun Marsh",2477,62,1866,"All","All","All",39.9516129032258,132.743837084673
"Punjab Kings","Sheldon Cottrell",0,1,2,"All","All","All",0,0
"Punjab Kings","Shikhar Dhawan",460,12,375,"All","All","All",38.3333333333333,122.666666666667
"Punjab Kings","Shivam Sharma",5,1,3,"All","All","All",5,166.666666666667
"Punjab Kings","Siddharth Chitnis",75,4,71,"All","All","All",18.75,105.633802816901
"Punjab Kings","Simon Katich",241,10,186,"All","All","All",24.1,129.569892473118
"Punjab Kings","Sreesanth",32,1,42,"All","All","All",32,76.1904761904762
"Punjab Kings","Sunny Singh",43,4,31,"All","All","All",10.75,138.709677419355
"Punjab Kings","Sunny Sohal",119,10,101,"All","All","All",11.9,117.821782178218
"Punjab Kings","Swapnil Singh",12,3,20,"All","All","All",4,60
"Punjab Kings","Tanmay Srivastava",8,1,11,"All","All","All",8,72.7272727272727
"Punjab Kings","Taruwar Kohli",1,1,4,"All","All","All",1,25
"Punjab Kings","Thisara Perera",12,2,15,"All","All","All",6,80
"Punjab Kings","Uday Kaul",0,0,1,"All","All","All",NA,0
"Punjab Kings","Vaibhav Arora",5,2,13,"All","All","All",2.5,38.4615384615385
"Punjab Kings","Varun Aaron",4,1,10,"All","All","All",4,40
"Punjab Kings","Vikram Singh",4,2,3,"All","All","All",2,133.333333333333
"Punjab Kings","Vikramjeet Malik",6,1,5,"All","All","All",6,120
"Punjab Kings","Virender Sehwag",554,25,399,"All","All","All",22.16,138.847117794486
"Punjab Kings","Wilkin Mota",56,6,75,"All","All","All",9.33333333333333,74.6666666666667
"Punjab Kings","Wriddhiman Saha",1115,45,845,"All","All","All",24.7777777777778,131.952662721893
"Punjab Kings","Yusuf Abdulla",0,0,1,"All","All","All",NA,0
"Punjab Kings","Yuvraj Singh",959,43,750,"All","All","All",22.3023255813953,127.866666666667
"Rajasthan Royals","Aaron Finch",21,1,21,"All","All","All",21,100
"Rajasthan Royals","Abhishek Jhunjhunwala",183,9,166,"All","All","All",20.3333333333333,110.240963855422
"Rajasthan Royals","Abhishek Nayar",43,3,47,"All","All","All",14.3333333333333,91.4893617021277
"Rajasthan Royals","Abhishek Raut",194,9,167,"All","All","All",21.5555555555556,116.167664670659
"Rajasthan Royals","Adam Voges",181,4,143,"All","All","All",45.25,126.573426573427
"Rajasthan Royals","Aditya Dole",34,2,22,"All","All","All",17,154.545454545455
"Rajasthan Royals","Ajinkya Rahane",2810,82,2291,"All","All","All",34.2682926829268,122.653862941947
"Rajasthan Royals","Ajit Chandila",4,0,7,"All","All","All",Inf,57.1428571428571
"Rajasthan Royals","Amit Paunikar",49,5,58,"All","All","All",9.8,84.4827586206897
"Rajasthan Royals","Amit Singh",2,4,10,"All","All","All",0.5,20
"Rajasthan Royals","Amit Uniyal",4,1,7,"All","All","All",4,57.1428571428571
"Rajasthan Royals","Andrew Tye",6,1,6,"All","All","All",6,100
"Rajasthan Royals","Ankeet Chavan",12,2,11,"All","All","All",6,109.090909090909
"Rajasthan Royals","Ankit Rajpoot",9,1,10,"All","All","All",9,90
"Rajasthan Royals","Ankit Sharma",41,3,36,"All","All","All",13.6666666666667,113.888888888889
"Rajasthan Royals","Anuj Rawat",0,1,1,"All","All","All",0,0
"Rajasthan Royals","Anureet Singh",3,0,4,"All","All","All",Inf,75
"Rajasthan Royals","Ashok Menaria",401,21,356,"All","All","All",19.0952380952381,112.640449438202
"Rajasthan Royals","Ashton Turner",3,3,10,"All","All","All",1,30
"Rajasthan Royals","Ben Cutting",8,1,6,"All","All","All",8,133.333333333333
"Rajasthan Royals","Ben Laughlin",1,1,4,"All","All","All",1,25
"Rajasthan Royals","Ben Stokes",604,26,463,"All","All","All",23.2307692307692,130.453563714903
"Rajasthan Royals","Brad Hodge",639,18,465,"All","All","All",35.5,137.41935483871
"Rajasthan Royals","Brad Hogg",15,2,16,"All","All","All",7.5,93.75
"Rajasthan Royals","Chetan Sakariya",16,5,25,"All","All","All",3.2,64
"Rajasthan Royals","Chris Morris",143,7,95,"All","All","All",20.4285714285714,150.526315789474
"Rajasthan Royals","D'Arcy Short",115,7,99,"All","All","All",16.4285714285714,116.161616161616
"Rajasthan Royals","Damien Martyn",19,1,24,"All","All","All",19,79.1666666666667
"Rajasthan Royals","Darren Lehmann",18,2,18,"All","All","All",9,100
"Rajasthan Royals","Daryl Mitchell",33,2,44,"All","All","All",16.5,75
"Rajasthan Royals","David Miller",124,5,113,"All","All","All",24.8,109.734513274336
"Rajasthan Royals","Deepak Hooda",151,9,95,"All","All","All",16.7777777777778,158.947368421053
"Rajasthan Royals","Devdutt Padikkal",376,17,306,"All","All","All",22.1176470588235,122.875816993464
"Rajasthan Royals","Dhawal Kulkarni",50,3,46,"All","All","All",16.6666666666667,108.695652173913
"Rajasthan Royals","Dimitri Mascarenhas",60,6,57,"All","All","All",10,105.263157894737
"Rajasthan Royals","Dinesh Salunkhe",33,2,24,"All","All","All",16.5,137.5
"Rajasthan Royals","Dishant Yagnik",170,10,137,"All","All","All",17,124.087591240876
"Rajasthan Royals","Evin Lewis",151,5,93,"All","All","All",30.2,162.365591397849
"Rajasthan Royals","Faiz Fazal",183,10,173,"All","All","All",18.3,105.780346820809
"Rajasthan Royals","Glenn Phillips",26,2,33,"All","All","All",13,78.7878787878788
"Rajasthan Royals","Graeme Smith",697,22,617,"All","All","All",31.6818181818182,112.965964343598
"Rajasthan Royals","Heinrich Klaasen",57,3,47,"All","All","All",19,121.276595744681
"Rajasthan Royals","Ish Sodhi",7,2,17,"All","All","All",3.5,41.1764705882353
"Rajasthan Royals","Jacob Oram",0,1,3,"All","All","All",0,0
"Rajasthan Royals","James Faulkner",382,17,260,"All","All","All",22.4705882352941,146.923076923077
"Rajasthan Royals","James Neesham",31,2,27,"All","All","All",15.5,114.814814814815
"Rajasthan Royals","Jaydev Unadkat",100,8,83,"All","All","All",12.5,120.481927710843
"Rajasthan Royals","Jofra Archer",195,13,124,"All","All","All",15,157.258064516129
"Rajasthan Royals","Johan Botha",335,11,292,"All","All","All",30.4545454545455,114.72602739726
"Rajasthan Royals","Jos Buttler",2304,50,1530,"All","All","All",46.08,150.588235294118
"Rajasthan Royals","Kamran Akmal",128,5,78,"All","All","All",25.6,164.102564102564
"Rajasthan Royals","Kamran Khan",3,1,5,"All","All","All",3,60
"Rajasthan Royals","Kane Richardson",1,1,2,"All","All","All",1,50
"Rajasthan Royals","Kartik Tyagi",6,2,10,"All","All","All",3,60
"Rajasthan Royals","Karun Nair",527,23,395,"All","All","All",22.9130434782609,133.417721518987
"Rajasthan Royals","Kevon Cooper",116,9,68,"All","All","All",12.8888888888889,170.588235294118
"Rajasthan Royals","Krishnappa Gowtham",144,12,83,"All","All","All",12,173.493975903614
"Rajasthan Royals","Kuldeep Sen",0,0,3,"All","All","All",NA,0
"Rajasthan Royals","Kuldip Yadav",0,0,4,"All","All","All",NA,0
"Rajasthan Royals","Kusal Perera",14,2,13,"All","All","All",7,107.692307692308
"Rajasthan Royals","Lee Carseldine",81,4,68,"All","All","All",20.25,119.117647058824
"Rajasthan Royals","Liam Livingstone",112,8,89,"All","All","All",14,125.842696629213
"Rajasthan Royals","Mahesh Rawat",50,4,58,"All","All","All",12.5,86.2068965517241
"Rajasthan Royals","Mahipal Lomror",181,8,151,"All","All","All",22.625,119.867549668874
"Rajasthan Royals","Manan Vohra",42,4,39,"All","All","All",10.5,107.692307692308
"Rajasthan Royals","Michael Lumb",278,11,192,"All","All","All",25.2727272727273,144.791666666667
"Rajasthan Royals","Mohammad Kaif",176,11,171,"All","All","All",16,102.923976608187
"Rajasthan Royals","Morne Morkel",17,2,24,"All","All","All",8.5,70.8333333333333
"Rajasthan Royals","Munaf Patel",41,4,34,"All","All","All",10.25,120.588235294118
"Rajasthan Royals","Mustafizur Rahman",8,0,14,"All","All","All",Inf,57.1428571428571
"Rajasthan Royals","Naman Ojha",545,19,429,"All","All","All",28.6842105263158,127.039627039627
"Rajasthan Royals","Nathan Coulter-Nile",1,0,2,"All","All","All",Inf,50
"Rajasthan Royals","Navdeep Saini",2,1,2,"All","All","All",2,100
"Rajasthan Royals","Nayan Doshi",0,1,13,"All","All","All",0,0
"Rajasthan Royals","Niraj Patel",117,4,117,"All","All","All",29.25,100
"Rajasthan Royals","Obed McCoy",8,1,5,"All","All","All",8,160
"Rajasthan Royals","Owais Shah",365,11,279,"All","All","All",33.1818181818182,130.824372759857
"Rajasthan Royals","Pankaj Singh",5,0,8,"All","All","All",Inf,62.5
"Rajasthan Royals","Paras Dogra",107,8,106,"All","All","All",13.375,100.943396226415
"Rajasthan Royals","Paul Valthaty",6,2,12,"All","All","All",3,50
"Rajasthan Royals","Pinal Shah",5,1,5,"All","All","All",5,100
"Rajasthan Royals","Prashant Chopra",8,1,6,"All","All","All",8,133.333333333333
"Rajasthan Royals","Prasidh Krishna",6,1,12,"All","All","All",6,50
"Rajasthan Royals","Pravin Tambe",11,2,20,"All","All","All",5.5,55
"Rajasthan Royals","Rahul Dravid",1276,43,1151,"All","All","All",29.6744186046512,110.860121633362
"Rajasthan Royals","Rahul Shukla",1,0,2,"All","All","All",Inf,50
"Rajasthan Royals","Rahul Tewatia",426,17,343,"All","All","All",25.0588235294118,124.198250728863
"Rajasthan Royals","Rahul Tripathi",367,15,285,"All","All","All",24.4666666666667,128.771929824561
"Rajasthan Royals","Rajat Bhatia",67,6,54,"All","All","All",11.1666666666667,124.074074074074
"Rajasthan Royals","Rassie van der Dussen",22,2,24,"All","All","All",11,91.6666666666667
"Rajasthan Royals","Ravichandran Ashwin",191,7,135,"All","All","All",27.2857142857143,141.481481481481
"Rajasthan Royals","Ravindra Jadeja",430,18,369,"All","All","All",23.8888888888889,116.531165311653
"Rajasthan Royals","Riyan Parag",522,30,418,"All","All","All",17.4,124.88038277512
"Rajasthan Royals","Rob Quiney",103,7,102,"All","All","All",14.7142857142857,100.980392156863
"Rajasthan Royals","Robin Uthappa",196,12,164,"All","All","All",16.3333333333333,119.512195121951
"Rajasthan Royals","Ross Taylor",181,5,152,"All","All","All",36.2,119.078947368421
"Rajasthan Royals","Rusty Theron",1,0,1,"All","All","All",Inf,100
"Rajasthan Royals","Sachin Baby",3,1,7,"All","All","All",3,42.8571428571429
"Rajasthan Royals","Sanju Samson",2849,95,2066,"All","All","All",29.9894736842105,137.899322362052
"Rajasthan Royals","Shane Harwood",9,0,14,"All","All","All",Inf,64.2857142857143
"Rajasthan Royals","Shane Warne",198,18,214,"All","All","All",11,92.5233644859813
"Rajasthan Royals","Shane Watson",2372,65,1679,"All","All","All",36.4923076923077,141.274568195354
"Rajasthan Royals","Shaun Tait",23,3,26,"All","All","All",7.66666666666667,88.4615384615385
"Rajasthan Royals","Shimron Hetmyer",314,7,204,"All","All","All",44.8571428571429,153.921568627451
"Rajasthan Royals","Shivam Dube",230,8,193,"All","All","All",28.75,119.170984455959
"Rajasthan Royals","Shreevats Goswami",69,5,67,"All","All","All",13.8,102.985074626866
"Rajasthan Royals","Shreyas Gopal",157,12,135,"All","All","All",13.0833333333333,116.296296296296
"Rajasthan Royals","Siddharth Chitnis",6,1,8,"All","All","All",6,75
"Rajasthan Royals","Siddharth Trivedi",42,7,59,"All","All","All",6,71.1864406779661
"Rajasthan Royals","Sohail Tanvir",36,3,29,"All","All","All",12,124.137931034483
"Rajasthan Royals","Sreesanth",1,1,4,"All","All","All",1,25
"Rajasthan Royals","Steven Smith",1070,35,843,"All","All","All",30.5714285714286,126.927639383155
"Rajasthan Royals","Stuart Binny",731,36,563,"All","All","All",20.3055555555556,129.840142095915
"Rajasthan Royals","Sumit Narwal",14,2,12,"All","All","All",7,116.666666666667
"Rajasthan Royals","Swapnil Asnodkar",423,19,339,"All","All","All",22.2631578947368,124.778761061947
"Rajasthan Royals","Tabraiz Shamsi",2,0,4,"All","All","All",Inf,50
"Rajasthan Royals","Taruwar Kohli",10,2,15,"All","All","All",5,66.6666666666667
"Rajasthan Royals","Tim Southee",17,2,13,"All","All","All",8.5,130.769230769231
"Rajasthan Royals","Tom Curran",83,1,62,"All","All","All",83,133.870967741935
"Rajasthan Royals","Trent Boult",40,2,29,"All","All","All",20,137.931034482759
"Rajasthan Royals","Tyron Henderson",11,2,16,"All","All","All",5.5,68.75
"Rajasthan Royals","Unmukt Chand",2,1,9,"All","All","All",2,22.2222222222222
"Rajasthan Royals","Varun Aaron",4,1,17,"All","All","All",4,23.5294117647059
"Rajasthan Royals","Vikramjeet Malik",1,0,2,"All","All","All",Inf,50
"Rajasthan Royals","Yashasvi Jaiswal",547,23,406,"All","All","All",23.7826086956522,134.729064039409
"Rajasthan Royals","Younis Khan",3,1,7,"All","All","All",3,42.8571428571429
"Rajasthan Royals","Yusuf Pathan",1011,38,626,"All","All","All",26.6052631578947,161.501597444089
"Rajasthan Royals","Yuzvendra Chahal",5,1,8,"All","All","All",5,62.5
"Rising Pune Supergiants","Adam Zampa",5,2,8,"All","All","All",2.5,62.5
"Rising Pune Supergiants","Ajinkya Rahane",862,26,702,"All","All","All",33.1538461538462,122.792022792023
"Rising Pune Supergiants","Albie Morkel",16,1,9,"All","All","All",16,177.777777777778
"Rising Pune Supergiants","Ankit Sharma",28,1,18,"All","All","All",28,155.555555555556
"Rising Pune Supergiants","Ashok Dinda",7,1,7,"All","All","All",7,100
"Rising Pune Supergiants","Ben Stokes",316,10,221,"All","All","All",31.6,142.986425339367
"Rising Pune Supergiants","Dan Christian",79,5,49,"All","All","All",15.8,161.224489795918
"Rising Pune Supergiants","Deepak Chahar",14,1,6,"All","All","All",14,233.333333333333
"Rising Pune Supergiants","Faf du Plessis",214,7,169,"All","All","All",30.5714285714286,126.627218934911
"Rising Pune Supergiants","George Bailey",84,4,98,"All","All","All",21,85.7142857142857
"Rising Pune Supergiants","Imran Tahir",0,0,2,"All","All","All",NA,0
"Rising Pune Supergiants","Irfan Pathan",11,3,13,"All","All","All",3.66666666666667,84.6153846153846
"Rising Pune Supergiants","Jaydev Unadkat",2,0,5,"All","All","All",Inf,40
"Rising Pune Supergiants","Kevin Pietersen",73,2,61,"All","All","All",36.5,119.672131147541
"Rising Pune Supergiants","Lockie Ferguson",1,0,1,"All","All","All",Inf,100
"Rising Pune Supergiants","MS Dhoni",574,18,460,"All","All","All",31.8888888888889,124.782608695652
"Rising Pune Supergiants","Manoj Tiwary",324,10,236,"All","All","All",32.4,137.28813559322
"Rising Pune Supergiants","Mayank Agarwal",26,3,27,"All","All","All",8.66666666666667,96.2962962962963
"Rising Pune Supergiants","Mitchell Marsh",7,1,11,"All","All","All",7,63.6363636363636
"Rising Pune Supergiants","Murugan Ashwin",0,1,1,"All","All","All",0,0
"Rising Pune Supergiants","Peter Handscomb",6,1,12,"All","All","All",6,50
"Rising Pune Supergiants","Rahul Chahar",3,0,2,"All","All","All",Inf,150
"Rising Pune Supergiants","Rahul Tripathi",391,14,267,"All","All","All",27.9285714285714,146.441947565543
"Rising Pune Supergiants","Rajat Bhatia",50,2,37,"All","All","All",25,135.135135135135
"Rising Pune Supergiants","Ravichandran Ashwin",41,2,38,"All","All","All",20.5,107.894736842105
"Rising Pune Supergiants","Saurabh Tiwary",170,7,141,"All","All","All",24.2857142857143,120.567375886525
"Rising Pune Supergiants","Shardul Thakur",0,3,3,"All","All","All",0,0
"Rising Pune Supergiants","Steven Smith",742,18,563,"All","All","All",41.2222222222222,131.793960923623
"Rising Pune Supergiants","Thisara Perera",150,7,93,"All","All","All",21.4285714285714,161.290322580645
"Rising Pune Supergiants","Usman Khawaja",127,6,100,"All","All","All",21.1666666666667,127
"Rising Pune Supergiants","Washington Sundar",9,1,12,"All","All","All",9,75
"Royal Challengers Bangalore","AB de Villiers",4491,109,2831,"All","All","All",41.2018348623853,158.636524196397
"Royal Challengers Bangalore","Aaron Finch",268,12,241,"All","All","All",22.3333333333333,111.203319502075
"Royal Challengers Bangalore","Abdur Razzak",0,0,2,"All","All","All",NA,0
"Royal Challengers Bangalore","Abhimanyu Mithun",34,5,26,"All","All","All",6.8,130.769230769231
"Royal Challengers Bangalore","Abhinav Mukund",19,1,21,"All","All","All",19,90.4761904761905
"Royal Challengers Bangalore","Abu Nechim",14,1,6,"All","All","All",14,233.333333333333
"Royal Challengers Bangalore","Adam Milne",7,2,12,"All","All","All",3.5,58.3333333333333
"Royal Challengers Bangalore","Akash Deep",0,1,2,"All","All","All",0,0
"Royal Challengers Bangalore","Akshdeep Nath",61,5,57,"All","All","All",12.2,107.017543859649
"Royal Challengers Bangalore","Albie Morkel",45,3,41,"All","All","All",15,109.756097560976
"Royal Challengers Bangalore","Andrew McDonald",47,3,37,"All","All","All",15.6666666666667,127.027027027027
"Royal Challengers Bangalore","Aniket Choudhary",25,1,20,"All","All","All",25,125
"Royal Challengers Bangalore","Anil Kumble",35,3,47,"All","All","All",11.6666666666667,74.468085106383
"Royal Challengers Bangalore","Anuj Rawat",129,8,118,"All","All","All",16.125,109.322033898305
"Royal Challengers Bangalore","Arun Karthik",48,5,46,"All","All","All",9.6,104.347826086957
"Royal Challengers Bangalore","Asad Pathan",39,5,23,"All","All","All",7.8,169.565217391304
"Royal Challengers Bangalore","Ashley Noffke",9,1,10,"All","All","All",9,90
"Royal Challengers Bangalore","Ashok Dinda",4,1,12,"All","All","All",4,33.3333333333333
"Royal Challengers Bangalore","Balachandra Akhil",63,5,46,"All","All","All",12.6,136.95652173913
"Royal Challengers Bangalore","Bharat Chipli",20,3,28,"All","All","All",6.66666666666667,71.4285714285714
"Royal Challengers Bangalore","Brendon McCullum",127,6,88,"All","All","All",21.1666666666667,144.318181818182
"Royal Challengers Bangalore","Cameron White",162,9,135,"All","All","All",18,120
"Royal Challengers Bangalore","Charl Langeveldt",8,1,8,"All","All","All",8,100
"Royal Challengers Bangalore","Cheteshwar Pujara",143,10,152,"All","All","All",14.3,94.0789473684211
"Royal Challengers Bangalore","Chris Gayle",3163,73,2071,"All","All","All",43.3287671232877,152.728150651859
"Royal Challengers Bangalore","Chris Jordan",3,1,4,"All","All","All",3,75
"Royal Challengers Bangalore","Chris Morris",34,4,21,"All","All","All",8.5,161.904761904762
"Royal Challengers Bangalore","Chris Woakes",17,2,19,"All","All","All",8.5,89.4736842105263
"Royal Challengers Bangalore","Colin de Grandhomme",177,8,133,"All","All","All",22.125,133.082706766917
"Royal Challengers Bangalore","Corey Anderson",17,3,22,"All","All","All",5.66666666666667,77.2727272727273
"Royal Challengers Bangalore","Dale Steyn",16,6,27,"All","All","All",2.66666666666667,59.2592592592593
"Royal Challengers Bangalore","Dan Christian",20,8,39,"All","All","All",2.5,51.2820512820513
"Royal Challengers Bangalore","Daniel Sams",6,1,6,"All","All","All",6,100
"Royal Challengers Bangalore","Daniel Vettori",54,5,54,"All","All","All",10.8,100
"Royal Challengers Bangalore","Daren Sammy",13,2,18,"All","All","All",6.5,72.2222222222222
"Royal Challengers Bangalore","David Wiese",127,4,90,"All","All","All",31.75,141.111111111111
"Royal Challengers Bangalore","David Willey",18,2,30,"All","All","All",9,60
"Royal Challengers Bangalore","Devdutt Padikkal",884,28,707,"All","All","All",31.5714285714286,125.035360678925
"Royal Challengers Bangalore","Devraj Patil",13,2,13,"All","All","All",6.5,100
"Royal Challengers Bangalore","Dillon du Preez",10,1,13,"All","All","All",10,76.9230769230769
"Royal Challengers Bangalore","Dinesh Karthik",471,17,297,"All","All","All",27.7058823529412,158.585858585859
"Royal Challengers Bangalore","Eoin Morgan",35,3,30,"All","All","All",11.6666666666667,116.666666666667
"Royal Challengers Bangalore","Faf du Plessis",468,15,367,"All","All","All",31.2,127.520435967302
"Royal Challengers Bangalore","George Garton",2,1,4,"All","All","All",2,50
"Royal Challengers Bangalore","Glenn Maxwell",814,23,534,"All","All","All",35.3913043478261,152.434456928839
"Royal Challengers Bangalore","Gurkeerat Singh Mann",169,3,150,"All","All","All",56.3333333333333,112.666666666667
"Royal Challengers Bangalore","Harshal Patel",149,17,119,"All","All","All",8.76470588235294,125.210084033613
"Royal Challengers Bangalore","Heinrich Klaasen",9,2,10,"All","All","All",4.5,90
"Royal Challengers Bangalore","Iqbal Abdulla",62,2,52,"All","All","All",31,119.230769230769
"Royal Challengers Bangalore","Isuru Udana",15,3,11,"All","All","All",5,136.363636363636
"Royal Challengers Bangalore","Jacques Kallis",1132,36,1009,"All","All","All",31.4444444444444,112.19028741328
"Royal Challengers Bangalore","Jagadeesh Arunkumar",23,3,23,"All","All","All",7.66666666666667,100
"Royal Challengers Bangalore","Jamaluddin Syed Mohammad",29,2,26,"All","All","All",14.5,111.538461538462
"Royal Challengers Bangalore","Jaydev Unadkat",2,0,2,"All","All","All",Inf,100
"Royal Challengers Bangalore","Jesse Ryder",56,5,49,"All","All","All",11.2,114.285714285714
"Royal Challengers Bangalore","Johan van der Wath",18,2,16,"All","All","All",9,112.5
"Royal Challengers Bangalore","Josh Hazlewood",18,0,26,"All","All","All",Inf,69.2307692307692
"Royal Challengers Bangalore","Josh Philippe",78,4,77,"All","All","All",19.5,101.298701298701
"Royal Challengers Bangalore","KL Rahul",417,11,287,"All","All","All",37.9090909090909,145.296167247387
"Royal Challengers Bangalore","KP Appanna",2,1,4,"All","All","All",2,50
"Royal Challengers Bangalore","Kane Richardson",1,0,1,"All","All","All",Inf,100
"Royal Challengers Bangalore","Karn Sharma",1,1,3,"All","All","All",1,33.3333333333333
"Royal Challengers Bangalore","Karun Nair",9,2,12,"All","All","All",4.5,75
"Royal Challengers Bangalore","Kedar Jadhav",309,12,218,"All","All","All",25.75,141.743119266055
"Royal Challengers Bangalore","Kevin Pietersen",329,10,242,"All","All","All",32.9,135.95041322314
"Royal Challengers Bangalore","Kyle Jamieson",65,4,55,"All","All","All",16.25,118.181818181818
"Royal Challengers Bangalore","Luke Pomersbach",51,4,39,"All","All","All",12.75,130.769230769231
"Royal Challengers Bangalore","Mahipal Lomror",86,5,57,"All","All","All",17.2,150.877192982456
"Royal Challengers Bangalore","Manan Vohra",55,4,47,"All","All","All",13.75,117.021276595745
"Royal Challengers Bangalore","Mandeep Singh",597,26,463,"All","All","All",22.9615384615385,128.941684665227
"Royal Challengers Bangalore","Manish Pandey",417,14,344,"All","All","All",29.7857142857143,121.220930232558
"Royal Challengers Bangalore","Manvinder Bisla",37,2,30,"All","All","All",18.5,123.333333333333
"Royal Challengers Bangalore","Marcus Stoinis",211,4,156,"All","All","All",52.75,135.25641025641
"Royal Challengers Bangalore","Mark Boucher",388,13,303,"All","All","All",29.8461538461538,128.052805280528
"Royal Challengers Bangalore","Mayank Agarwal",433,23,340,"All","All","All",18.8260869565217,127.352941176471
"Royal Challengers Bangalore","Misbah-ul-Haq",117,7,81,"All","All","All",16.7142857142857,144.444444444444
"Royal Challengers Bangalore","Mitchell Starc",96,7,98,"All","All","All",13.7142857142857,97.9591836734694
"Royal Challengers Bangalore","Moeen Ali",309,15,195,"All","All","All",20.6,158.461538461538
"Royal Challengers Bangalore","Mohammad Kaif",55,4,49,"All","All","All",13.75,112.244897959184
