"Bowler","Season","Batting_Team","Stadium","Runs","Wickets","Balls","Bowling_Team","Striker","Average","Economy"
"Aaron Finch",2010,"Kolkata Knight Riders","Eden Gardens",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Mumbai Indians","Feroz Shah Kotla",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Chennai Super Kings","MA Chidambaram Stadium",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Mumbai Indians","Wankhede Stadium",11,1,12,"All","All",11,5.5
"Aaron Finch",2013,"Royal Challengers Bangalore","M Chinnaswamy Stadium",29,0,6,"All","All",Inf,29
"Aavishkar Salvi",2009,"Chennai Super Kings","Kingsmead",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Mumbai Indians","SuperSport Park",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2009,"Punjab Kings","Newlands",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Rajasthan Royals","OUTsurance Oval",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Royal Challengers Bangalore","New Wanderers Stadium",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2011,"Deccan Chargers","Rajiv Gandhi International Stadium",26,1,24,"All","All",26,6.5
"Aavishkar Salvi",2011,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",40,2,24,"All","All",20,10
"Abdul Samad",2020,"Chennai Super Kings","Dubai International Cricket Stadium",41,1,24,"All","All",41,10.25
"Abdul Samad",2020,"Mumbai Indians","Sharjah Cricket Stadium",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2020,"Punjab Kings","Dubai International Cricket Stadium",28,0,6,"All","All",Inf,28
"Abdul Samad",2021,"Punjab Kings","Sharjah Cricket Stadium",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Lucknow Super Giants","Dr DY Patil Sports Academy",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Rajasthan Royals","Sawai Mansingh Stadium",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Mumbai Indians","St George's Park",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Delhi Capitals","Feroz Shah Kotla",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Chennai Super Kings","M Chinnaswamy Stadium",35,1,24,"All","All",35,8.75
"Abhimanyu Mithun",2011,"Chennai Super Kings","MA Chidambaram Stadium",22,0,12,"All","All",Inf,11
"Abhimanyu Mithun",2011,"Chennai Super Kings","Wankhede Stadium",32,1,18,"All","All",32,10.6666666666667
"Abhimanyu Mithun",2011,"Delhi Capitals","Feroz Shah Kotla",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","M Chinnaswamy Stadium",21,1,18,"All","All",21,7
"Abhimanyu Mithun",2011,"Kochi Tuskers Kerala","Nehru Stadium",19,0,6,"All","All",Inf,19
"Abhimanyu Mithun",2011,"Kolkata Knight Riders","M Chinnaswamy Stadium",14,0,12,"All","All",Inf,7
"Abhimanyu Mithun",2011,"Mumbai Indians","M Chinnaswamy Stadium",31,0,18,"All","All",Inf,10.3333333333333
"Abhimanyu Mithun",2011,"Mumbai Indians","MA Chidambaram Stadium",26,0,12,"All","All",Inf,13
"Abhimanyu Mithun",2011,"Pune Warriors","M Chinnaswamy Stadium",26,0,24,"All","All",Inf,6.5
"Abhimanyu Mithun",2011,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2011,"Punjab Kings","M Chinnaswamy Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2012,"Deccan Chargers","M Chinnaswamy Stadium",33,0,18,"All","All",Inf,11
"Abhimanyu Mithun",2013,"Kolkata Knight Riders","JSCA International Stadium Complex",37,1,24,"All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Chennai Super Kings","MA Chidambaram Stadium",18,0,12,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"Deccan Chargers","Sardar Patel Stadium",16,0,6,"All","All",Inf,16
"Abhishek Jhunjhunwala",2010,"Delhi Capitals","Sardar Patel Stadium",2,0,1,"All","All",Inf,12
"Abhishek Jhunjhunwala",2010,"Mumbai Indians","Brabourne Stadium",27,0,12,"All","All",Inf,13.5
"Abhishek Jhunjhunwala",2010,"Mumbai Indians","Sawai Mansingh Stadium",6,0,6,"All","All",Inf,6
"Abhishek Jhunjhunwala",2011,"Delhi Capitals","Dr DY Patil Sports Academy",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Punjab Kings","Punjab Cricket Association Stadium",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Chennai Super Kings","MA Chidambaram Stadium",13,1,18,"All","All",13,4.33333333333333
"Abhishek Jhunjhunwala",2012,"Punjab Kings","Punjab Cricket Association Stadium",13,0,6,"All","All",Inf,13
"Abhishek Jhunjhunwala",2012,"Punjab Kings","Rajiv Gandhi International Stadium",12,0,12,"All","All",Inf,6
"Abhishek Nayar",2008,"Chennai Super Kings","MA Chidambaram Stadium",14,0,6,"All","All",Inf,14
"Abhishek Nayar",2008,"Deccan Chargers","Dr DY Patil Sports Academy",22,0,6,"All","All",Inf,22
"Abhishek Nayar",2008,"Deccan Chargers","Rajiv Gandhi International Stadium",18,1,18,"All","All",18,6
"Abhishek Nayar",2008,"Rajasthan Royals","Sawai Mansingh Stadium",4,0,6,"All","All",Inf,4
"Abhishek Nayar",2008,"Royal Challengers Bangalore","Wankhede Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2009,"Delhi Capitals","SuperSport Park",25,0,12,"All","All",Inf,12.5
"Abhishek Nayar",2009,"Kolkata Knight Riders","Buffalo Park",20,1,18,"All","All",20,6.66666666666667
"Abhishek Nayar",2009,"Kolkata Knight Riders","St George's Park",13,3,18,"All","All",4.33333333333333,4.33333333333333
"Abhishek Nayar",2009,"Royal Challengers Bangalore","New Wanderers Stadium",26,0,24,"All","All",Inf,6.5
"Abhishek Nayar",2011,"Chennai Super Kings","Punjab Cricket Association Stadium",24,0,12,"All","All",Inf,12
"Abhishek Nayar",2011,"Deccan Chargers","Rajiv Gandhi International Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2011,"Delhi Capitals","Feroz Shah Kotla",22,1,12,"All","All",22,11
"Abhishek Nayar",2011,"Pune Warriors","Dr DY Patil Sports Academy",27,1,19,"All","All",27,8.52631578947368
"Abhishek Nayar",2011,"Rajasthan Royals","Punjab Cricket Association Stadium",3,0,6,"All","All",Inf,3
"Abhishek Nayar",2011,"Royal Challengers Bangalore","M Chinnaswamy Stadium",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2012,"Royal Challengers Bangalore","M Chinnaswamy Stadium",16,0,6,"All","All",Inf,16
"Abhishek Nayar",2013,"Chennai Super Kings","MA Chidambaram Stadium",21,1,18,"All","All",21,7
"Abhishek Nayar",2013,"Chennai Super Kings","Subrata Roy Sahara Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Abhishek Nayar",2013,"Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",15,1,12,"All","All",15,7.5
"Abhishek Raut",2009,"Deccan Chargers","De Beers Diamond Oval",13,0,6,"All","All",Inf,13
"Abhishek Raut",2009,"Deccan Chargers","St George's Park",7,0,6,"All","All",Inf,7
"Abhishek Raut",2009,"Delhi Capitals","OUTsurance Oval",10,0,6,"All","All",Inf,10
"Abhishek Raut",2009,"Royal Challengers Bangalore","SuperSport Park",6,0,6,"All","All",Inf,6
"Abhishek Raut",2011,"Punjab Kings","Punjab Cricket Association Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2019,"Delhi Capitals","Rajiv Gandhi International Stadium",10,1,6,"All","All",10,10
"Abhishek Sharma",2019,"Punjab Kings","Rajiv Gandhi International Stadium",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Chennai Super Kings","Dubai International Cricket Stadium",4,0,6,"All","All",Inf,4
"Abhishek Sharma",2020,"Delhi Capitals","Zayed Cricket Stadium",34,0,24,"All","All",Inf,8.5
"Abhishek Sharma",2020,"Kolkata Knight Riders","Zayed Cricket Stadium",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Punjab Kings","Dubai International Cricket Stadium",15,1,6,"All","All",15,15
"Abhishek Sharma",2020,"Rajasthan Royals","Dubai International Cricket Stadium",11,0,6,"All","All",Inf,11
"Abhishek Sharma",2020,"Royal Challengers Bangalore","Dubai International Cricket Stadium",16,1,12,"All","All",16,8
"Abhishek Sharma",2021,"Chennai Super Kings","Sharjah Cricket Stadium",9,0,12,"All","All",Inf,4.5
"Abhishek Sharma",2021,"Delhi Capitals","MA Chidambaram Stadium",14,0,6,"All","All",Inf,14
"Abhishek Sharma",2021,"Mumbai Indians","MA Chidambaram Stadium",5,0,6,"All","All",Inf,5
"Abhishek Sharma",2021,"Mumbai Indians","Zayed Cricket Stadium",4,2,6,"All","All",2,4
"Abhishek Sharma",2021,"Punjab Kings","MA Chidambaram Stadium",24,2,24,"All","All",12,6
"Abhishek Sharma",2021,"Rajasthan Royals","Dubai International Cricket Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2022,"Mumbai Indians","Wankhede Stadium",10,0,6,"All","All",Inf,10
"Abhishek Sharma",2022,"Rajasthan Royals","Maharashtra Cricket Association Stadium",15,0,6,"All","All",Inf,15
"Abhishek Sharma",2022,"Royal Challengers Bangalore","Wankhede Stadium",13,0,12,"All","All",Inf,6.5
"Abrar Kazi",2011,"Rajasthan Royals","Sawai Mansingh Stadium",21,0,12,"All","All",Inf,10.5
"Abu Nechim",2010,"Chennai Super Kings","MA Chidambaram Stadium",26,0,12,"All","All",Inf,13
"Abu Nechim",2011,"Chennai Super Kings","Wankhede Stadium",19,0,12,"All","All",Inf,9.5
"Abu Nechim",2011,"Deccan Chargers","Rajiv Gandhi International Stadium",27,0,24,"All","All",Inf,6.75
"Abu Nechim",2011,"Kolkata Knight Riders","Eden Gardens",32,2,24,"All","All",16,8
"Abu Nechim",2011,"Pune Warriors","Wankhede Stadium",13,2,18,"All","All",6.5,4.33333333333333
"Abu Nechim",2011,"Punjab Kings","Wankhede Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Abu Nechim",2011,"Royal Challengers Bangalore","MA Chidambaram Stadium",56,1,24,"All","All",56,14
"Abu Nechim",2012,"Chennai Super Kings","MA Chidambaram Stadium",17,0,12,"All","All",Inf,8.5
"Abu Nechim",2013,"Kolkata Knight Riders","Wankhede Stadium",18,1,18,"All","All",18,6
"Abu Nechim",2013,"Pune Warriors","Subrata Roy Sahara Stadium",27,2,24,"All","All",13.5,6.75
"Abu Nechim",2014,"Chennai Super Kings","JSCA International Stadium Complex",18,1,24,"All","All",18,4.5
"Abu Nechim",2014,"Delhi Capitals","M Chinnaswamy Stadium",40,1,24,"All","All",40,10
"Abu Nechim",2014,"Kolkata Knight Riders","Eden Gardens",33,1,24,"All","All",33,8.25
"Abu Nechim",2014,"Sunrisers Hyderabad","Rajiv Gandhi International Stadium",22,0,14,"All","All",Inf,9.42857142857143
"Abu Nechim",2015,"Kolkata Knight Riders","Eden Gardens",28,1,24,"All","All",28,7
"Abu Nechim",2015,"Mumbai Indians","M Chinnaswamy Stadium",59,0,24,"All","All",Inf,14.75
"Abu Nechim",2015,"Sunrisers Hyderabad","M Chinnaswamy Stadium",41,0,24,"All","All",Inf,10.25
"Adam Gilchrist",2013,"Mumbai Indians","Himachal Pradesh Cricket Association Stadium",0,1,1,"All","All",0,0
"Adam Milne",2016,"Sunrisers Hyderabad","M Chinnaswamy Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Gujarat Lions","Saurashtra Cricket Association Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Mumbai Indians","Wankhede Stadium",29,0,12,"All","All",Inf,14.5
"Adam Milne",2017,"Rising Pune Supergiants","M Chinnaswamy Stadium",27,2,24,"All","All",13.5,6.75
"Adam Milne",2017,"Rising Pune Supergiants","Maharashtra Cricket Association Stadium",35,0,24,"All","All",Inf,8.75
"Adam Milne",2021,"Chennai Super Kings","Dubai International Cricket Stadium",21,3,24,"All","All",7,5.25
"Adam Milne",2021,"Kolkata Knight Riders","Zayed Cricket Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Adam Milne",2021,"Royal Challengers Bangalore","Dubai International Cricket Stadium",48,1,24,"All","All",48,12
"Adam Milne",2021,"Sunrisers Hyderabad","MA Chidambaram Stadium",33,0,18,"All","All",Inf,11
"Adam Milne",2022,"Kolkata Knight Riders","Wankhede Stadium",19,0,15,"All","All",Inf,7.6
"Adam Voges",2010,"Chennai Super Kings","Sardar Patel Stadium",8,0,6,"All","All",Inf,8
"Adam Voges",2010,"Deccan Chargers","Sardar Patel Stadium",9,0,12,"All","All",Inf,4.5
"Adam Voges",2010,"Delhi Capitals","Feroz Shah Kotla",9,0,6,"All","All",Inf,9
"Adam Voges",2010,"Kolkata Knight Riders","Eden Gardens",16,0,6,"All","All",Inf,16
"Adam Voges",2010,"Kolkata Knight Riders","Sardar Patel Stadium",5,0,6,"All","All",Inf,5
"Adam Voges",2010,"Punjab Kings","Punjab Cricket Association Stadium",12,0,12,"All","All",Inf,6
"Adam Voges",2010,"Royal Challengers Bangalore","Sawai Mansingh Stadium",17,0,6,"All","All",Inf,17
"Adam Zampa",2016,"Delhi Capitals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",21,3,24,"All","All",7,5.25
"Adam Zampa",2016,"Kolkata Knight Riders","Eden Gardens",8,0,6,"All","All",Inf,8
"Adam Zampa",2016,"Punjab Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",32,1,24,"All","All",32,8
"Adam Zampa",2016,"Royal Challengers Bangalore","M Chinnaswamy Stadium",35,2,24,"All","All",17.5,8.75
"Adam Zampa",2016,"Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",19,6,24,"All","All",3.16666666666667,4.75
"Adam Zampa",2017,"Delhi Capitals","Feroz Shah Kotla",29,1,24,"All","All",29,7.25
"Adam Zampa",2017,"Delhi Capitals","Maharashtra Cricket Association Stadium",45,1,24,"All","All",45,11.25
"Adam Zampa",2017,"Mumbai Indians","Maharashtra Cricket Association Stadium",26,1,18,"All","All",26,8.66666666666667
"Adam Zampa",2017,"Mumbai Indians","Rajiv Gandhi International Stadium",32,2,24,"All","All",16,8
"Adam Zampa",2017,"Mumbai Indians","Wankhede Stadium",9,0,6,"All","All",Inf,9
"Adam Zampa",2017,"Punjab Kings","Maharashtra Cricket Association Stadium",22,2,23,"All","All",11,5.73913043478261
"Adam Zampa",2020,"Mumbai Indians","Dubai International Cricket Stadium",53,1,24,"All","All",53,13.25
"Adam Zampa",2020,"Rajasthan Royals","Zayed Cricket Stadium",27,0,18,"All","All",Inf,9
"Adam Zampa",2020,"Sunrisers Hyderabad","Sheikh Zayed Stadium",12,1,24,"All","All",12,3
"Adil Rashid",2021,"Rajasthan Royals","Dubai International Cricket Stadium",35,0,18,"All","All",Inf,11.6666666666667
"Aditya Dole",2010,"Deccan Chargers","Vidarbha Cricket Association Stadium",42,2,24,"All","All",21,10.5
"Aditya Dole",2010,"Mumbai Indians","Sawai Mansingh Stadium",34,1,18,"All","All",34,11.3333333333333
"Aditya Dole",2010,"Punjab Kings","Sawai Mansingh Stadium",36,2,24,"All","All",18,9
"Aiden Markram",2021,"Mumbai Indians","Zayed Cricket Stadium",18,0,18,"All","All",Inf,6
"Aiden Markram",2021,"Royal Challengers Bangalore","Sharjah Cricket Stadium",5,0,6,"All","All",Inf,5
"Aiden Markram",2022,"Chennai Super Kings","Dr DY Patil Sports Academy",8,1,6,"All","All",8,8
"Aiden Markram",2022,"Chennai Super Kings","Maharashtra Cricket Association Stadium",36,0,18,"All","All",Inf,12
"Aiden Markram",2022,"Delhi Capitals","Brabourne Stadium",11,0,6,"All","All",Inf,11
"Aiden Markram",2022,"Gujarat Titans","Dr DY Patil Sports Academy",9,0,6,"All","All",Inf,9
"Ajantha Mendis",2008,"Punjab Kings","Eden Gardens",24,1,24,"All","All",24,6
"Ajantha Mendis",2009,"Chennai Super Kings","SuperSport Park",38,0,24,"All","All",Inf,9.5
"Ajantha Mendis",2009,"Mumbai Indians","St George's Park",39,0,24,"All","All",Inf,9.75
"Ajantha Mendis",2009,"Rajasthan Royals","Newlands",19,2,24,"All","All",9.5,4.75
"Ajantha Mendis",2009,"Royal Challengers Bangalore","SuperSport Park",21,1,24,"All","All",21,5.25
"Ajantha Mendis",2010,"Delhi Capitals","Eden Gardens",22,2,24,"All","All",11,5.5
"Ajantha Mendis",2010,"Royal Challengers Bangalore","M Chinnaswamy Stadium",44,0,24,"All","All",Inf,11
"Ajantha Mendis",2013,"Mumbai Indians","Subrata Roy Sahara Stadium",15,1,24,"All","All",15,3.75
"Ajantha Mendis",2013,"Punjab Kings","Punjab Cricket Association Stadium",38,1,24,"All","All",38,9.5
"Ajantha Mendis",2013,"Royal Challengers Bangalore","Subrata Roy Sahara Stadium",25,0,24,"All","All",Inf,6.25
"Ajinkya Rahane",2009,"Punjab Kings","SuperSport Park",5,1,6,"All","All",5,5
"Ajit Agarkar",2008,"Chennai Super Kings","Eden Gardens",14,0,12,"All","All",Inf,7
"Ajit Agarkar",2008,"Chennai Super Kings","MA Chidambaram Stadium",19,1,18,"All","All",19,6.33333333333333
"Ajit Agarkar",2008,"Deccan Chargers","Eden Gardens",19,2,12,"All","All",9.5,9.5
"Ajit Agarkar",2008,"Mumbai Indians","Eden Gardens",23,1,24,"All","All",23,5.75
"Ajit Agarkar",2008,"Mumbai Indians","Wankhede Stadium",5,0,6,"All","All",Inf,5
"Ajit Agarkar",2008,"Punjab Kings","Punjab Cricket Association Stadium",26,0,18,"All","All",Inf,8.66666666666667
"Ajit Agarkar",2008,"Rajasthan Royals","Eden Gardens",30,0,18,"All","All",Inf,10
"Ajit Agarkar",2008,"Rajasthan Royals","Sawai Mansingh Stadium",46,1,24,"All","All",46,11.5
"Ajit Agarkar",2008,"Royal Challengers Bangalore","M Chinnaswamy Stadium",25,3,24,"All","All",8.33333333333333,6.25
"Ajit Agarkar",2009,"Chennai Super Kings","SuperSport Park",45,0,24,"All","All",Inf,11.25
"Ajit Agarkar",2009,"Deccan Chargers","New Wanderers Stadium",41,0,24,"All","All",Inf,10.25
"Ajit Agarkar",2009,"Deccan Chargers","Newlands",17,0,6,"All","All",Inf,17
"Ajit Agarkar",2009,"Delhi Capitals","Kingsmead",24,1,18,"All","All",24,8
"Ajit Agarkar",2009,"Delhi Capitals","New Wanderers Stadium",19,0,18,"All","All",Inf,6.33333333333333
"Ajit Agarkar",2009,"Mumbai Indians","Buffalo Park",12,1,6,"All","All",12,12
"Ajit Agarkar",2009,"Punjab Kings","St George's Park",29,1,24,"All","All",29,7.25
"Ajit Agarkar",2009,"Rajasthan Royals","Kingsmead",15,2,24,"All","All",7.5,3.75
"Ajit Agarkar",2009,"Rajasthan Royals","Newlands",14,0,6,"All","All",Inf,14
"Ajit Agarkar",2009,"Royal Challengers Bangalore","Kingsmead",23,0,12,"All","All",Inf,11.5
"Ajit Agarkar",2009,"Royal Challengers Bangalore","SuperSport Park",45,1,24,"All","All",45,11.25
"Ajit Agarkar",2010,"Chennai Super Kings","MA Chidambaram Stadium",14,0,12,"All","All",Inf,7
"Ajit Agarkar",2010,"Deccan Chargers","Eden Gardens",31,1,24,"All","All",31,7.75
"Ajit Agarkar",2010,"Delhi Capitals","Eden Gardens",36,1,24,"All","All",36,9
"Ajit Agarkar",2010,"Delhi Capitals","Feroz Shah Kotla",26,0,12,"All","All",Inf,13
"Ajit Agarkar",2010,"Punjab Kings","Eden Gardens",35,0,18,"All","All",Inf,11.6666666666667
"Ajit Agarkar",2010,"Punjab Kings","Punjab Cricket Association Stadium",32,2,24,"All","All",16,8
"Ajit Agarkar",2010,"Royal Challengers Bangalore","M Chinnaswamy Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Ajit Agarkar",2011,"Chennai Super Kings","MA Chidambaram Stadium",49,1,24,"All","All",49,12.25
"Ajit Agarkar",2011,"Deccan Chargers","Rajiv Gandhi International Stadium",29,2,24,"All","All",14.5,7.25
"Ajit Agarkar",2011,"Kochi Tuskers Kerala","Feroz Shah Kotla",18,0,18,"All","All",Inf,6
"Ajit Agarkar",2011,"Kochi Tuskers Kerala","Nehru Stadium",23,2,24,"All","All",11.5,5.75
"Ajit Agarkar",2011,"Kolkata Knight Riders","Feroz Shah Kotla",34,1,24,"All","All",34,8.5
"Ajit Agarkar",2011,"Mumbai Indians","Wankhede Stadium",31,0,24,"All","All",Inf,7.75
"Ajit Agarkar",2011,"Punjab Kings","Feroz Shah Kotla",47,2,24,"All","All",23.5,11.75
"Ajit Agarkar",2012,"Deccan Chargers","Feroz Shah Kotla",42,0,18,"All","All",Inf,14
"Ajit Agarkar",2012,"Mumbai Indians","Feroz Shah Kotla",32,1,24,"All","All",32,8
"Ajit Agarkar",2012,"Mumbai Indians","Wankhede Stadium",27,2,20,"All","All",13.5,8.1
"Ajit Agarkar",2012,"Rajasthan Royals","Feroz Shah Kotla",33,0,24,"All","All",Inf,8.25
"Ajit Agarkar",2013,"Chennai Super Kings","Feroz Shah Kotla",29,0,24,"All","All",Inf,7.25
"Ajit Agarkar",2013,"Mumbai Indians","Feroz Shah Kotla",37,0,18,"All","All",Inf,12.3333333333333
"Ajit Agarkar",2013,"Punjab Kings","Feroz Shah Kotla",4,0,6,"All","All",Inf,4
"Ajit Agarkar",2013,"Rajasthan Royals","Sawai Mansingh Stadium",22,0,12,"All","All",Inf,11
"Ajit Chandila",2012,"Deccan Chargers","Rajiv Gandhi International Stadium",20,1,24,"All","All",20,5
"Ajit Chandila",2012,"Mumbai Indians","Sawai Mansingh Stadium",24,0,12,"All","All",Inf,12
"Ajit Chandila",2012,"Pune Warriors","Sawai Mansingh Stadium",13,4,24,"All","All",3.25,3.25
"Ajit Chandila",2012,"Royal Challengers Bangalore","Sawai Mansingh Stadium",29,0,24,"All","All",Inf,7.25
"Ajit Chandila",2013,"Chennai Super Kings","MA Chidambaram Stadium",16,1,18,"All","All",16,5.33333333333333
"Ajit Chandila",2013,"Mumbai Indians","Sawai Mansingh Stadium",6,2,12,"All","All",3,3
"Ajit Chandila",2013,"Pune Warriors","Sawai Mansingh Stadium",23,0,12,"All","All",Inf,11.5
"Ajit Chandila",2013,"Punjab Kings","Punjab Cricket Association Stadium",24,1,24,"All","All",24,6
"Ajit Chandila",2013,"Punjab Kings","Sawai Mansingh Stadium",14,0,18,"All","All",Inf,4.66666666666667
"Ajit Chandila",2013,"Royal Challengers Bangalore","M Chinnaswamy Stadium",21,0,24,"All","All",Inf,5.25
"Ajit Chandila",2013,"Royal Challengers Bangalore","Sawai Mansingh Stadium",39,0,24,"All","All",Inf,9.75
"Ajit Chandila",2013,"Sunrisers Hyderabad","Sawai Mansingh Stadium",13,2,18,"All","All",6.5,4.33333333333333
"Akash Deep",2022,"Chennai Super Kings","Dr DY Patil Sports Academy",58,0,24,"All","All",Inf,14.5
"Akash Deep",2022,"Kolkata Knight Riders","Dr DY Patil Sports Academy",45,3,23,"All","All",15,11.7391304347826
"Akash Deep",2022,"Mumbai Indians","Maharashtra Cricket Association Stadium",20,1,24,"All","All",20,5
"Akash Deep",2022,"Punjab Kings","Dr DY Patil Sports Academy",38,1,18,"All","All",38,12.6666666666667
"Akash Deep",2022,"Rajasthan Royals","Wankhede Stadium",44,0,24,"All","All",Inf,11
"Akash Singh",2021,"Chennai Super Kings","Zayed Cricket Stadium",39,0,24,"All","All",Inf,9.75
"Akila Dananjaya",2018,"Delhi Capitals","Wankhede Stadium",47,0,24,"All","All",Inf,11.75
"Albie Morkel",2008,"Deccan Chargers","MA Chidambaram Stadium",26,1,24,"All","All",26,6.5
"Albie Morkel",2008,"Deccan Chargers","Rajiv Gandhi International Stadium",37,2,24,"All","All",18.5,9.25
"Albie Morkel",2008,"Delhi Capitals","Feroz Shah Kotla",35,2,24,"All","All",17.5,8.75
"Albie Morkel",2008,"Delhi Capitals","MA Chidambaram Stadium",40,0,24,"All","All",Inf,10
"Albie Morkel",2008,"Kolkata Knight Riders","Eden Gardens",25,0,24,"All","All",Inf,6.25
"Albie Morkel",2008,"Mumbai Indians","Wankhede Stadium",44,0,18,"All","All",Inf,14.6666666666667
"Albie Morkel",2008,"Punjab Kings","MA Chidambaram Stadium",25,1,24,"All","All",25,6.25
"Albie Morkel",2008,"Punjab Kings","Wankhede Stadium",27,2,24,"All","All",13.5,6.75
"Albie Morkel",2008,"Rajasthan Royals","Dr DY Patil Sports Academy",25,2,24,"All","All",12.5,6.25
"Albie Morkel",2008,"Rajasthan Royals","MA Chidambaram Stadium",35,2,24,"All","All",17.5,8.75
"Albie Morkel",2008,"Rajasthan Royals","Sawai Mansingh Stadium",10,0,6,"All","All",Inf,10
"Albie Morkel",2008,"Royal Challengers Bangalore","M Chinnaswamy Stadium",38,1,24,"All","All",38,9.5
"Albie Morkel",2008,"Royal Challengers Bangalore","MA Chidambaram Stadium",32,4,24,"All","All",8,8
"Albie Morkel",2009,"Deccan Chargers","Buffalo Park",24,2,18,"All","All",12,8
"Albie Morkel",2009,"Deccan Chargers","Kingsmead",25,0,18,"All","All",Inf,8.33333333333333
"Albie Morkel",2009,"Delhi Capitals","Kingsmead",41,1,24,"All","All",41,10.25
"Albie Morkel",2009,"Delhi Capitals","New Wanderers Stadium",32,1,24,"All","All",32,8
"Albie Morkel",2009,"Kolkata Knight Riders","SuperSport Park",39,0,18,"All","All",Inf,13
"Albie Morkel",2009,"Mumbai Indians","St George's Park",31,1,24,"All","All",31,7.75
"Albie Morkel",2009,"Punjab Kings","SuperSport Park",36,1,18,"All","All",36,12
"Albie Morkel",2009,"Rajasthan Royals","De Beers Diamond Oval",24,1,18,"All","All",24,8
"Albie Morkel",2009,"Rajasthan Royals","SuperSport Park",21,2,24,"All","All",10.5,5.25
"Albie Morkel",2009,"Royal Challengers Bangalore","Kingsmead",13,2,24,"All","All",6.5,3.25
"Albie Morkel",2009,"Royal Challengers Bangalore","New Wanderers Stadium",26,1,18,"All","All",26,8.66666666666667
"Albie Morkel",2009,"Royal Challengers Bangalore","St George's Park",12,1,12,"All","All",12,6
"Albie Morkel",2010,"Deccan Chargers","Dr DY Patil Sports Academy",15,1,18,"All","All",15,5
"Albie Morkel",2010,"Deccan Chargers","MA Chidambaram Stadium",41,0,24,"All","All",Inf,10.25
"Albie Morkel",2010,"Delhi Capitals","Feroz Shah Kotla",26,0,18,"All","All",Inf,8.66666666666667
"Albie Morkel",2010,"Delhi Capitals","MA Chidambaram Stadium",16,0,16,"All","All",Inf,6
"Albie Morkel",2010,"Kolkata Knight Riders","Eden Gardens",6,1,12,"All","All",6,3
"Albie Morkel",2010,"Kolkata Knight Riders","MA Chidambaram Stadium",14,0,12,"All","All",Inf,7
"Albie Morkel",2010,"Mumbai Indians","Brabourne Stadium",26,0,24,"All","All",Inf,6.5
"Albie Morkel",2010,"Mumbai Indians","Dr DY Patil Sports Academy",20,1,18,"All","All",20,6.66666666666667
"Albie Morkel",2010,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",48,1,24,"All","All",48,12
"Albie Morkel",2010,"Punjab Kings","MA Chidambaram Stadium",23,2,24,"All","All",11.5,5.75
"Albie Morkel",2010,"Rajasthan Royals","MA Chidambaram Stadium",56,2,24,"All","All",28,14
"Albie Morkel",2010,"Rajasthan Royals","Sardar Patel Stadium",46,2,24,"All","All",23,11.5
