"Batting_Team","Striker","Stadium","Runs","Dismissed","Balls","Bowling_Team","Season","Average","Strike_Rate"
"Chennai Super Kings","Abhinav Mukund","MA Chidambaram Stadium",0,1,1,"All","All",0,0
"Chennai Super Kings","Albie Morkel","Buffalo Park",4,0,5,"All","All",Inf,80
"Chennai Super Kings","Albie Morkel","Dr DY Patil Sports Academy",35,3,23,"All","All",11.6666666666667,152.173913043478
"Chennai Super Kings","Albie Morkel","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2,0,3,"All","All",Inf,66.6666666666667
"Chennai Super Kings","Albie Morkel","Eden Gardens",40,1,40,"All","All",40,100
"Chennai Super Kings","Albie Morkel","Feroz Shah Kotla",32,2,21,"All","All",16,152.380952380952
"Chennai Super Kings","Albie Morkel","Himachal Pradesh Cricket Association Stadium",28,1,16,"All","All",28,175
"Chennai Super Kings","Albie Morkel","Kingsmead",35,2,28,"All","All",17.5,125
"Chennai Super Kings","Albie Morkel","M Chinnaswamy Stadium",24,2,28,"All","All",12,85.7142857142857
"Chennai Super Kings","Albie Morkel","MA Chidambaram Stadium",413,17,275,"All","All",24.2941176470588,150.181818181818
"Chennai Super Kings","Albie Morkel","Nehru Stadium",9,0,4,"All","All",Inf,225
"Chennai Super Kings","Albie Morkel","New Wanderers Stadium",26,1,21,"All","All",26,123.809523809524
"Chennai Super Kings","Albie Morkel","Rajiv Gandhi International Stadium",12,0,12,"All","All",Inf,100
"Chennai Super Kings","Albie Morkel","Sardar Patel Stadium",28,1,12,"All","All",28,233.333333333333
"Chennai Super Kings","Albie Morkel","Sawai Mansingh Stadium",65,1,43,"All","All",65,151.162790697674
"Chennai Super Kings","Albie Morkel","St George's Park",5,1,3,"All","All",5,166.666666666667
"Chennai Super Kings","Albie Morkel","Subrata Roy Sahara Stadium",3,0,3,"All","All",Inf,100
"Chennai Super Kings","Albie Morkel","SuperSport Park",27,0,13,"All","All",Inf,207.692307692308
"Chennai Super Kings","Albie Morkel","Wankhede Stadium",39,3,21,"All","All",13,185.714285714286
"Chennai Super Kings","Ambati Rayudu","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",20,0,20,"All","All",Inf,100
"Chennai Super Kings","Ambati Rayudu","Arun Jaitley Stadium",72,0,27,"All","All",Inf,266.666666666667
"Chennai Super Kings","Ambati Rayudu","Brabourne Stadium",43,3,47,"All","All",14.3333333333333,91.4893617021277
"Chennai Super Kings","Ambati Rayudu","Dr DY Patil Sports Academy",72,3,68,"All","All",24,105.882352941176
"Chennai Super Kings","Ambati Rayudu","Dubai International Cricket Stadium",228,7,184,"All","All",32.5714285714286,123.913043478261
"Chennai Super Kings","Ambati Rayudu","Eden Gardens",26,2,28,"All","All",13,92.8571428571429
"Chennai Super Kings","Ambati Rayudu","Feroz Shah Kotla",55,2,34,"All","All",27.5,161.764705882353
"Chennai Super Kings","Ambati Rayudu","M Chinnaswamy Stadium",111,2,82,"All","All",55.5,135.365853658537
"Chennai Super Kings","Ambati Rayudu","MA Chidambaram Stadium",178,6,189,"All","All",29.6666666666667,94.1798941798942
"Chennai Super Kings","Ambati Rayudu","Maharashtra Cricket Association Stadium",288,7,196,"All","All",41.1428571428571,146.938775510204
"Chennai Super Kings","Ambati Rayudu","Punjab Cricket Association IS Bindra Stadium",50,2,37,"All","All",25,135.135135135135
"Chennai Super Kings","Ambati Rayudu","Rajiv Gandhi International Stadium",105,2,62,"All","All",52.5,169.354838709677
"Chennai Super Kings","Ambati Rayudu","Sawai Mansingh Stadium",69,2,56,"All","All",34.5,123.214285714286
"Chennai Super Kings","Ambati Rayudu","Sharjah Cricket Stadium",96,2,63,"All","All",48,152.380952380952
"Chennai Super Kings","Ambati Rayudu","Wankhede Stadium",205,10,151,"All","All",20.5,135.761589403974
"Chennai Super Kings","Ambati Rayudu","Zayed Cricket Stadium",156,5,137,"All","All",31.2,113.868613138686
"Chennai Super Kings","Andrew Flintoff","Kingsmead",16,1,17,"All","All",16,94.1176470588235
"Chennai Super Kings","Andrew Flintoff","Newlands",24,1,23,"All","All",24,104.347826086957
"Chennai Super Kings","Andrew Flintoff","St George's Park",22,0,13,"All","All",Inf,169.230769230769
"Chennai Super Kings","Ankit Rajpoot","MA Chidambaram Stadium",2,0,6,"All","All",Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik","Sardar Patel Stadium",3,0,5,"All","All",Inf,60
"Chennai Super Kings","Ashish Nehra","Eden Gardens",1,0,4,"All","All",Inf,25
"Chennai Super Kings","Ashish Nehra","M Chinnaswamy Stadium",0,0,1,"All","All",NA,0
"Chennai Super Kings","Ashish Nehra","MA Chidambaram Stadium",0,0,1,"All","All",NA,0
"Chennai Super Kings","Ashish Nehra","Wankhede Stadium",0,1,1,"All","All",0,0
"Chennai Super Kings","Ben Laughlin","MA Chidambaram Stadium",0,1,1,"All","All",0,0
"Chennai Super Kings","Ben Laughlin","Wankhede Stadium",4,0,8,"All","All",Inf,50
"Chennai Super Kings","Brendon McCullum","Barabati Stadium",33,1,29,"All","All",33,113.793103448276
"Chennai Super Kings","Brendon McCullum","Brabourne Stadium",14,1,11,"All","All",14,127.272727272727
"Chennai Super Kings","Brendon McCullum","Dubai International Cricket Stadium",77,1,63,"All","All",77,122.222222222222
"Chennai Super Kings","Brendon McCullum","Eden Gardens",60,2,36,"All","All",30,166.666666666667
"Chennai Super Kings","Brendon McCullum","Feroz Shah Kotla",32,1,35,"All","All",32,91.4285714285714
"Chennai Super Kings","Brendon McCullum","JSCA International Stadium Complex",81,3,56,"All","All",27,144.642857142857
"Chennai Super Kings","Brendon McCullum","M Chinnaswamy Stadium",4,1,6,"All","All",4,66.6666666666667
"Chennai Super Kings","Brendon McCullum","MA Chidambaram Stadium",313,6,203,"All","All",52.1666666666667,154.187192118227
"Chennai Super Kings","Brendon McCullum","Punjab Cricket Association Stadium",6,1,6,"All","All",6,100
"Chennai Super Kings","Brendon McCullum","Rajiv Gandhi International Stadium",12,1,5,"All","All",12,240
"Chennai Super Kings","Brendon McCullum","Sardar Patel Stadium",12,1,7,"All","All",12,171.428571428571
"Chennai Super Kings","Brendon McCullum","Shaheed Veer Narayan Singh International Stadium",11,1,21,"All","All",11,52.3809523809524
"Chennai Super Kings","Brendon McCullum","Sharjah Cricket Stadium",40,1,33,"All","All",40,121.212121212121
"Chennai Super Kings","Brendon McCullum","Sheikh Zayed Stadium",76,2,55,"All","All",38,138.181818181818
"Chennai Super Kings","Brendon McCullum","Wankhede Stadium",70,3,47,"All","All",23.3333333333333,148.936170212766
"Chennai Super Kings","Chamara Kapugedera","Dr DY Patil Sports Academy",8,1,12,"All","All",8,66.6666666666667
"Chennai Super Kings","Chamara Kapugedera","Feroz Shah Kotla",8,1,9,"All","All",8,88.8888888888889
"Chennai Super Kings","Chamara Kapugedera","Wankhede Stadium",0,1,2,"All","All",0,0
"Chennai Super Kings","Chris Jordan","Brabourne Stadium",5,1,5,"All","All",5,100
"Chennai Super Kings","Chris Jordan","Dr DY Patil Sports Academy",6,0,3,"All","All",Inf,200
"Chennai Super Kings","Chris Morris","Eden Gardens",0,1,1,"All","All",0,0
"Chennai Super Kings","Chris Morris","MA Chidambaram Stadium",13,0,11,"All","All",Inf,118.181818181818
"Chennai Super Kings","Chris Morris","Wankhede Stadium",1,1,4,"All","All",1,25
"Chennai Super Kings","David Hussey","Brabourne Stadium",40,0,29,"All","All",Inf,137.931034482759
"Chennai Super Kings","David Hussey","JSCA International Stadium Complex",75,1,62,"All","All",75,120.967741935484
"Chennai Super Kings","David Hussey","Wankhede Stadium",1,1,3,"All","All",1,33.3333333333333
"Chennai Super Kings","Deepak Chahar","Dubai International Cricket Stadium",7,0,7,"All","All",Inf,100
"Chennai Super Kings","Deepak Chahar","Feroz Shah Kotla",1,0,2,"All","All",Inf,50
"Chennai Super Kings","Deepak Chahar","MA Chidambaram Stadium",0,1,2,"All","All",0,0
"Chennai Super Kings","Deepak Chahar","Maharashtra Cricket Association Stadium",39,1,20,"All","All",39,195
"Chennai Super Kings","Deepak Chahar","Sharjah Cricket Stadium",0,1,5,"All","All",0,0
"Chennai Super Kings","Deepak Chahar","Wankhede Stadium",17,3,14,"All","All",5.66666666666667,121.428571428571
"Chennai Super Kings","Deepak Chahar","Zayed Cricket Stadium",1,0,1,"All","All",Inf,100
"Chennai Super Kings","Devon Conway","Brabourne Stadium",16,1,14,"All","All",16,114.285714285714
"Chennai Super Kings","Devon Conway","Dr DY Patil Sports Academy",87,1,49,"All","All",87,177.551020408163
"Chennai Super Kings","Devon Conway","Maharashtra Cricket Association Stadium",141,1,92,"All","All",141,153.260869565217
"Chennai Super Kings","Devon Conway","Wankhede Stadium",8,3,18,"All","All",2.66666666666667,44.4444444444444
"Chennai Super Kings","Dhruv Shorey","MA Chidambaram Stadium",5,1,8,"All","All",5,62.5
"Chennai Super Kings","Dhruv Shorey","Maharashtra Cricket Association Stadium",8,1,9,"All","All",8,88.8888888888889
"Chennai Super Kings","Doug Bollinger","MA Chidambaram Stadium",19,1,18,"All","All",19,105.555555555556
"Chennai Super Kings","Doug Bollinger","Vidarbha Cricket Association Stadium",2,0,3,"All","All",Inf,66.6666666666667
"Chennai Super Kings","Doug Bollinger","Wankhede Stadium",0,0,1,"All","All",NA,0
"Chennai Super Kings","Dwaine Pretorius","Brabourne Stadium",8,2,5,"All","All",4,160
"Chennai Super Kings","Dwaine Pretorius","Dr DY Patil Sports Academy",22,1,14,"All","All",22,157.142857142857
"Chennai Super Kings","Dwaine Pretorius","Maharashtra Cricket Association Stadium",13,1,8,"All","All",13,162.5
"Chennai Super Kings","Dwaine Pretorius","Wankhede Stadium",1,0,1,"All","All",Inf,100
"Chennai Super Kings","Dwayne Bravo","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",0,0,1,"All","All",NA,0
"Chennai Super Kings","Dwayne Bravo","Brabourne Stadium",1,1,2,"All","All",1,50
"Chennai Super Kings","Dwayne Bravo","Dr DY Patil Sports Academy",10,0,7,"All","All",Inf,142.857142857143
"Chennai Super Kings","Dwayne Bravo","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",43,0,18,"All","All",Inf,238.888888888889
"Chennai Super Kings","Dwayne Bravo","Dubai International Cricket Stadium",34,3,16,"All","All",11.3333333333333,212.5
"Chennai Super Kings","Dwayne Bravo","Eden Gardens",72,3,65,"All","All",24,110.769230769231
"Chennai Super Kings","Dwayne Bravo","Feroz Shah Kotla",30,3,38,"All","All",10,78.9473684210526
"Chennai Super Kings","Dwayne Bravo","Himachal Pradesh Cricket Association Stadium",48,1,43,"All","All",48,111.627906976744
"Chennai Super Kings","Dwayne Bravo","JSCA International Stadium Complex",0,1,1,"All","All",0,0
"Chennai Super Kings","Dwayne Bravo","M Chinnaswamy Stadium",73,4,43,"All","All",18.25,169.767441860465
"Chennai Super Kings","Dwayne Bravo","MA Chidambaram Stadium",299,13,218,"All","All",23,137.155963302752
"Chennai Super Kings","Dwayne Bravo","Maharashtra Cricket Association Stadium",38,1,34,"All","All",38,111.764705882353
"Chennai Super Kings","Dwayne Bravo","Punjab Cricket Association IS Bindra Stadium",2,0,2,"All","All",Inf,100
"Chennai Super Kings","Dwayne Bravo","Rajiv Gandhi International Stadium",40,1,35,"All","All",40,114.285714285714
"Chennai Super Kings","Dwayne Bravo","Sardar Patel Stadium",62,0,36,"All","All",Inf,172.222222222222
"Chennai Super Kings","Dwayne Bravo","Sawai Mansingh Stadium",34,1,27,"All","All",34,125.925925925926
"Chennai Super Kings","Dwayne Bravo","Shaheed Veer Narayan Singh International Stadium",8,1,8,"All","All",8,100
"Chennai Super Kings","Dwayne Bravo","Sheikh Zayed Stadium",8,0,3,"All","All",Inf,266.666666666667
"Chennai Super Kings","Dwayne Bravo","Subrata Roy Sahara Stadium",5,0,2,"All","All",Inf,250
"Chennai Super Kings","Dwayne Bravo","Wankhede Stadium",197,7,133,"All","All",28.1428571428571,148.12030075188
"Chennai Super Kings","Dwayne Smith","Barabati Stadium",4,1,4,"All","All",4,100
"Chennai Super Kings","Dwayne Smith","Brabourne Stadium",24,1,20,"All","All",24,120
"Chennai Super Kings","Dwayne Smith","Dubai International Cricket Stadium",79,2,50,"All","All",39.5,158
"Chennai Super Kings","Dwayne Smith","Eden Gardens",62,3,55,"All","All",20.6666666666667,112.727272727273
"Chennai Super Kings","Dwayne Smith","Feroz Shah Kotla",79,1,51,"All","All",79,154.901960784314
"Chennai Super Kings","Dwayne Smith","JSCA International Stadium Complex",133,5,101,"All","All",26.6,131.683168316832
"Chennai Super Kings","Dwayne Smith","M Chinnaswamy Stadium",73,2,46,"All","All",36.5,158.695652173913
"Chennai Super Kings","Dwayne Smith","MA Chidambaram Stadium",145,7,139,"All","All",20.7142857142857,104.31654676259
"Chennai Super Kings","Dwayne Smith","Rajiv Gandhi International Stadium",21,1,19,"All","All",21,110.526315789474
"Chennai Super Kings","Dwayne Smith","Sardar Patel Stadium",40,1,29,"All","All",40,137.931034482759
"Chennai Super Kings","Dwayne Smith","Shaheed Veer Narayan Singh International Stadium",18,1,24,"All","All",18,75
"Chennai Super Kings","Dwayne Smith","Sharjah Cricket Stadium",66,1,46,"All","All",66,143.478260869565
"Chennai Super Kings","Dwayne Smith","Sheikh Zayed Stadium",95,2,71,"All","All",47.5,133.802816901408
"Chennai Super Kings","Dwayne Smith","Wankhede Stadium",126,4,96,"All","All",31.5,131.25
"Chennai Super Kings","Faf du Plessis","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",50,1,39,"All","All",50,128.205128205128
"Chennai Super Kings","Faf du Plessis","Arun Jaitley Stadium",106,2,66,"All","All",53,160.606060606061
"Chennai Super Kings","Faf du Plessis","Barabati Stadium",52,1,25,"All","All",52,208
"Chennai Super Kings","Faf du Plessis","Brabourne Stadium",35,1,20,"All","All",35,175
"Chennai Super Kings","Faf du Plessis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",39,1,25,"All","All",39,156
