"Bowler","Season","Bowling_Team","Stadium","Runs","Wickets","Balls","Batting_Team","Striker","Average","Economy"
"Aaron Finch",2010,"Rajasthan Royals","Eden Gardens",5,0,7,"All","All",Inf,4.28571428571429
"Aaron Finch",2011,"Delhi Capitals","Feroz Shah Kotla",13,0,12,"All","All",Inf,6.5
"Aaron Finch",2013,"Pune Warriors","M Chinnaswamy Stadium",29,0,6,"All","All",Inf,29
"Aaron Finch",2013,"Pune Warriors","MA Chidambaram Stadium",9,0,6,"All","All",Inf,9
"Aaron Finch",2013,"Pune Warriors","Wankhede Stadium",11,1,12,"All","All",11,5.5
"Aavishkar Salvi",2009,"Delhi Capitals","Kingsmead",41,0,18,"All","All",Inf,13.6666666666667
"Aavishkar Salvi",2009,"Delhi Capitals","New Wanderers Stadium",30,0,24,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Delhi Capitals","Newlands",17,1,12,"All","All",17,8.5
"Aavishkar Salvi",2009,"Delhi Capitals","OUTsurance Oval",19,2,24,"All","All",9.5,4.75
"Aavishkar Salvi",2009,"Delhi Capitals","SuperSport Park",27,1,24,"All","All",27,6.75
"Aavishkar Salvi",2011,"Delhi Capitals","Himachal Pradesh Cricket Association Stadium",40,2,24,"All","All",20,10
"Aavishkar Salvi",2011,"Delhi Capitals","Rajiv Gandhi International Stadium",26,1,24,"All","All",26,6.5
"Abdul Samad",2020,"Sunrisers Hyderabad","Dubai International Cricket Stadium",69,1,30,"All","All",69,13.8
"Abdul Samad",2020,"Sunrisers Hyderabad","Sharjah Cricket Stadium",27,0,12,"All","All",Inf,13.5
"Abdul Samad",2021,"Sunrisers Hyderabad","Sharjah Cricket Stadium",9,1,6,"All","All",9,9
"Abdul Samad",2022,"Sunrisers Hyderabad","Dr DY Patil Sports Academy",8,0,6,"All","All",Inf,8
"Abdur Razzak",2008,"Royal Challengers Bangalore","Sawai Mansingh Stadium",29,0,12,"All","All",Inf,14.5
"Abhimanyu Mithun",2009,"Royal Challengers Bangalore","St George's Park",42,0,24,"All","All",Inf,10.5
"Abhimanyu Mithun",2010,"Royal Challengers Bangalore","Feroz Shah Kotla",39,1,18,"All","All",39,13
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Feroz Shah Kotla",37,2,24,"All","All",18.5,9.25
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Himachal Pradesh Cricket Association Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","M Chinnaswamy Stadium",156,2,114,"All","All",78,8.21052631578947
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","MA Chidambaram Stadium",48,0,24,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Nehru Stadium",19,0,6,"All","All",Inf,19
"Abhimanyu Mithun",2011,"Royal Challengers Bangalore","Wankhede Stadium",32,1,18,"All","All",32,10.6666666666667
"Abhimanyu Mithun",2012,"Royal Challengers Bangalore","M Chinnaswamy Stadium",33,0,18,"All","All",Inf,11
"Abhimanyu Mithun",2013,"Royal Challengers Bangalore","JSCA International Stadium Complex",37,1,24,"All","All",37,9.25
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Brabourne Stadium",27,0,12,"All","All",Inf,13.5
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","MA Chidambaram Stadium",18,0,12,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Sardar Patel Stadium",18,0,7,"All","All",Inf,15.4285714285714
"Abhishek Jhunjhunwala",2010,"Rajasthan Royals","Sawai Mansingh Stadium",6,0,6,"All","All",Inf,6
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Dr DY Patil Sports Academy",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2011,"Pune Warriors","Punjab Cricket Association Stadium",11,0,6,"All","All",Inf,11
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","MA Chidambaram Stadium",13,1,18,"All","All",13,4.33333333333333
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Punjab Cricket Association Stadium",13,0,6,"All","All",Inf,13
"Abhishek Jhunjhunwala",2012,"Deccan Chargers","Rajiv Gandhi International Stadium",12,0,12,"All","All",Inf,6
"Abhishek Nayar",2008,"Mumbai Indians","Dr DY Patil Sports Academy",22,0,6,"All","All",Inf,22
"Abhishek Nayar",2008,"Mumbai Indians","MA Chidambaram Stadium",14,0,6,"All","All",Inf,14
"Abhishek Nayar",2008,"Mumbai Indians","Rajiv Gandhi International Stadium",18,1,18,"All","All",18,6
"Abhishek Nayar",2008,"Mumbai Indians","Sawai Mansingh Stadium",4,0,6,"All","All",Inf,4
"Abhishek Nayar",2008,"Mumbai Indians","Wankhede Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2009,"Mumbai Indians","Buffalo Park",20,1,18,"All","All",20,6.66666666666667
"Abhishek Nayar",2009,"Mumbai Indians","New Wanderers Stadium",26,0,24,"All","All",Inf,6.5
"Abhishek Nayar",2009,"Mumbai Indians","St George's Park",13,3,18,"All","All",4.33333333333333,4.33333333333333
"Abhishek Nayar",2009,"Mumbai Indians","SuperSport Park",25,0,12,"All","All",Inf,12.5
"Abhishek Nayar",2011,"Punjab Kings","Dr DY Patil Sports Academy",27,1,19,"All","All",27,8.52631578947368
"Abhishek Nayar",2011,"Punjab Kings","Feroz Shah Kotla",22,1,12,"All","All",22,11
"Abhishek Nayar",2011,"Punjab Kings","M Chinnaswamy Stadium",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2011,"Punjab Kings","Punjab Cricket Association Stadium",27,0,18,"All","All",Inf,9
"Abhishek Nayar",2011,"Punjab Kings","Rajiv Gandhi International Stadium",10,0,6,"All","All",Inf,10
"Abhishek Nayar",2012,"Punjab Kings","M Chinnaswamy Stadium",16,0,6,"All","All",Inf,16
"Abhishek Nayar",2013,"Pune Warriors","MA Chidambaram Stadium",21,1,18,"All","All",21,7
"Abhishek Nayar",2013,"Pune Warriors","Shaheed Veer Narayan Singh International Stadium",15,1,12,"All","All",15,7.5
"Abhishek Nayar",2013,"Pune Warriors","Subrata Roy Sahara Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Abhishek Raut",2009,"Rajasthan Royals","De Beers Diamond Oval",13,0,6,"All","All",Inf,13
"Abhishek Raut",2009,"Rajasthan Royals","OUTsurance Oval",10,0,6,"All","All",Inf,10
"Abhishek Raut",2009,"Rajasthan Royals","St George's Park",7,0,6,"All","All",Inf,7
"Abhishek Raut",2009,"Rajasthan Royals","SuperSport Park",6,0,6,"All","All",Inf,6
"Abhishek Raut",2011,"Rajasthan Royals","Punjab Cricket Association Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2019,"Sunrisers Hyderabad","Rajiv Gandhi International Stadium",21,1,12,"All","All",21,10.5
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Dubai International Cricket Stadium",46,2,30,"All","All",23,9.2
"Abhishek Sharma",2020,"Sunrisers Hyderabad","Zayed Cricket Stadium",45,0,30,"All","All",Inf,9
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Dubai International Cricket Stadium",8,0,6,"All","All",Inf,8
"Abhishek Sharma",2021,"Sunrisers Hyderabad","MA Chidambaram Stadium",43,2,36,"All","All",21.5,7.16666666666667
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Sharjah Cricket Stadium",9,0,12,"All","All",Inf,4.5
"Abhishek Sharma",2021,"Sunrisers Hyderabad","Zayed Cricket Stadium",4,2,6,"All","All",2,4
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",15,0,6,"All","All",Inf,15
"Abhishek Sharma",2022,"Sunrisers Hyderabad","Wankhede Stadium",23,0,18,"All","All",Inf,7.66666666666667
"Abrar Kazi",2011,"Royal Challengers Bangalore","Sawai Mansingh Stadium",21,0,12,"All","All",Inf,10.5
"Abu Nechim",2010,"Mumbai Indians","MA Chidambaram Stadium",26,0,12,"All","All",Inf,13
"Abu Nechim",2011,"Mumbai Indians","Eden Gardens",32,2,24,"All","All",16,8
"Abu Nechim",2011,"Mumbai Indians","MA Chidambaram Stadium",56,1,24,"All","All",56,14
"Abu Nechim",2011,"Mumbai Indians","Rajiv Gandhi International Stadium",27,0,24,"All","All",Inf,6.75
"Abu Nechim",2011,"Mumbai Indians","Wankhede Stadium",54,2,48,"All","All",27,6.75
"Abu Nechim",2012,"Mumbai Indians","MA Chidambaram Stadium",17,0,12,"All","All",Inf,8.5
"Abu Nechim",2013,"Mumbai Indians","Subrata Roy Sahara Stadium",27,2,24,"All","All",13.5,6.75
"Abu Nechim",2013,"Mumbai Indians","Wankhede Stadium",18,1,18,"All","All",18,6
"Abu Nechim",2014,"Royal Challengers Bangalore","Eden Gardens",33,1,24,"All","All",33,8.25
"Abu Nechim",2014,"Royal Challengers Bangalore","JSCA International Stadium Complex",18,1,24,"All","All",18,4.5
"Abu Nechim",2014,"Royal Challengers Bangalore","M Chinnaswamy Stadium",40,1,24,"All","All",40,10
"Abu Nechim",2014,"Royal Challengers Bangalore","Rajiv Gandhi International Stadium",22,0,14,"All","All",Inf,9.42857142857143
"Abu Nechim",2015,"Royal Challengers Bangalore","Eden Gardens",28,1,24,"All","All",28,7
"Abu Nechim",2015,"Royal Challengers Bangalore","M Chinnaswamy Stadium",100,0,48,"All","All",Inf,12.5
"Adam Gilchrist",2013,"Punjab Kings","Himachal Pradesh Cricket Association Stadium",0,1,1,"All","All",0,0
"Adam Milne",2016,"Royal Challengers Bangalore","M Chinnaswamy Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Royal Challengers Bangalore","M Chinnaswamy Stadium",27,2,24,"All","All",13.5,6.75
"Adam Milne",2017,"Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",35,0,24,"All","All",Inf,8.75
"Adam Milne",2017,"Royal Challengers Bangalore","Saurashtra Cricket Association Stadium",43,1,24,"All","All",43,10.75
"Adam Milne",2017,"Royal Challengers Bangalore","Wankhede Stadium",29,0,12,"All","All",Inf,14.5
"Adam Milne",2021,"Mumbai Indians","Dubai International Cricket Stadium",69,4,48,"All","All",17.25,8.625
"Adam Milne",2021,"Mumbai Indians","MA Chidambaram Stadium",33,0,18,"All","All",Inf,11
"Adam Milne",2021,"Mumbai Indians","Zayed Cricket Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Adam Milne",2022,"Chennai Super Kings","Wankhede Stadium",19,0,15,"All","All",Inf,7.6
"Adam Voges",2010,"Rajasthan Royals","Eden Gardens",16,0,6,"All","All",Inf,16
"Adam Voges",2010,"Rajasthan Royals","Feroz Shah Kotla",9,0,6,"All","All",Inf,9
"Adam Voges",2010,"Rajasthan Royals","Punjab Cricket Association Stadium",12,0,12,"All","All",Inf,6
"Adam Voges",2010,"Rajasthan Royals","Sardar Patel Stadium",22,0,24,"All","All",Inf,5.5
"Adam Voges",2010,"Rajasthan Royals","Sawai Mansingh Stadium",17,0,6,"All","All",Inf,17
"Adam Zampa",2016,"Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",72,10,72,"All","All",7.2,6
"Adam Zampa",2016,"Rising Pune Supergiants","Eden Gardens",8,0,6,"All","All",Inf,8
"Adam Zampa",2016,"Rising Pune Supergiants","M Chinnaswamy Stadium",35,2,24,"All","All",17.5,8.75
"Adam Zampa",2017,"Rising Pune Supergiants","Feroz Shah Kotla",29,1,24,"All","All",29,7.25
"Adam Zampa",2017,"Rising Pune Supergiants","Maharashtra Cricket Association Stadium",93,4,65,"All","All",23.25,8.58461538461538
"Adam Zampa",2017,"Rising Pune Supergiants","Rajiv Gandhi International Stadium",32,2,24,"All","All",16,8
"Adam Zampa",2017,"Rising Pune Supergiants","Wankhede Stadium",9,0,6,"All","All",Inf,9
"Adam Zampa",2020,"Royal Challengers Bangalore","Dubai International Cricket Stadium",53,1,24,"All","All",53,13.25
"Adam Zampa",2020,"Royal Challengers Bangalore","Sheikh Zayed Stadium",12,1,24,"All","All",12,3
"Adam Zampa",2020,"Royal Challengers Bangalore","Zayed Cricket Stadium",27,0,18,"All","All",Inf,9
"Adil Rashid",2021,"Punjab Kings","Dubai International Cricket Stadium",35,0,18,"All","All",Inf,11.6666666666667
"Aditya Dole",2010,"Rajasthan Royals","Sawai Mansingh Stadium",70,3,42,"All","All",23.3333333333333,10
"Aditya Dole",2010,"Rajasthan Royals","Vidarbha Cricket Association Stadium",42,2,24,"All","All",21,10.5
"Aiden Markram",2021,"Punjab Kings","Sharjah Cricket Stadium",5,0,6,"All","All",Inf,5
"Aiden Markram",2021,"Punjab Kings","Zayed Cricket Stadium",18,0,18,"All","All",Inf,6
"Aiden Markram",2022,"Sunrisers Hyderabad","Brabourne Stadium",11,0,6,"All","All",Inf,11
"Aiden Markram",2022,"Sunrisers Hyderabad","Dr DY Patil Sports Academy",17,1,12,"All","All",17,8.5
"Aiden Markram",2022,"Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",36,0,18,"All","All",Inf,12
"Ajantha Mendis",2008,"Kolkata Knight Riders","Eden Gardens",24,1,24,"All","All",24,6
"Ajantha Mendis",2009,"Kolkata Knight Riders","Newlands",19,2,24,"All","All",9.5,4.75
"Ajantha Mendis",2009,"Kolkata Knight Riders","St George's Park",39,0,24,"All","All",Inf,9.75
"Ajantha Mendis",2009,"Kolkata Knight Riders","SuperSport Park",59,1,48,"All","All",59,7.375
"Ajantha Mendis",2010,"Kolkata Knight Riders","Eden Gardens",22,2,24,"All","All",11,5.5
"Ajantha Mendis",2010,"Kolkata Knight Riders","M Chinnaswamy Stadium",44,0,24,"All","All",Inf,11
"Ajantha Mendis",2013,"Pune Warriors","Punjab Cricket Association Stadium",38,1,24,"All","All",38,9.5
"Ajantha Mendis",2013,"Pune Warriors","Subrata Roy Sahara Stadium",40,1,48,"All","All",40,5
"Ajinkya Rahane",2009,"Mumbai Indians","SuperSport Park",5,1,6,"All","All",5,5
"Ajit Agarkar",2008,"Kolkata Knight Riders","Eden Gardens",86,3,66,"All","All",28.6666666666667,7.81818181818182
"Ajit Agarkar",2008,"Kolkata Knight Riders","M Chinnaswamy Stadium",25,3,24,"All","All",8.33333333333333,6.25
"Ajit Agarkar",2008,"Kolkata Knight Riders","MA Chidambaram Stadium",19,1,18,"All","All",19,6.33333333333333
"Ajit Agarkar",2008,"Kolkata Knight Riders","Punjab Cricket Association Stadium",26,0,18,"All","All",Inf,8.66666666666667
"Ajit Agarkar",2008,"Kolkata Knight Riders","Sawai Mansingh Stadium",46,1,24,"All","All",46,11.5
"Ajit Agarkar",2008,"Kolkata Knight Riders","Wankhede Stadium",5,0,6,"All","All",Inf,5
"Ajit Agarkar",2009,"Kolkata Knight Riders","Buffalo Park",12,1,6,"All","All",12,12
"Ajit Agarkar",2009,"Kolkata Knight Riders","Kingsmead",62,3,54,"All","All",20.6666666666667,6.88888888888889
"Ajit Agarkar",2009,"Kolkata Knight Riders","New Wanderers Stadium",60,0,42,"All","All",Inf,8.57142857142857
"Ajit Agarkar",2009,"Kolkata Knight Riders","Newlands",31,0,12,"All","All",Inf,15.5
"Ajit Agarkar",2009,"Kolkata Knight Riders","St George's Park",29,1,24,"All","All",29,7.25
"Ajit Agarkar",2009,"Kolkata Knight Riders","SuperSport Park",90,1,48,"All","All",90,11.25
"Ajit Agarkar",2010,"Kolkata Knight Riders","Eden Gardens",102,2,66,"All","All",51,9.27272727272727
"Ajit Agarkar",2010,"Kolkata Knight Riders","Feroz Shah Kotla",26,0,12,"All","All",Inf,13
"Ajit Agarkar",2010,"Kolkata Knight Riders","M Chinnaswamy Stadium",29,0,18,"All","All",Inf,9.66666666666667
"Ajit Agarkar",2010,"Kolkata Knight Riders","MA Chidambaram Stadium",14,0,12,"All","All",Inf,7
"Ajit Agarkar",2010,"Kolkata Knight Riders","Punjab Cricket Association Stadium",32,2,24,"All","All",16,8
"Ajit Agarkar",2011,"Delhi Capitals","Feroz Shah Kotla",99,3,66,"All","All",33,9
"Ajit Agarkar",2011,"Delhi Capitals","MA Chidambaram Stadium",49,1,24,"All","All",49,12.25
"Ajit Agarkar",2011,"Delhi Capitals","Nehru Stadium",23,2,24,"All","All",11.5,5.75
"Ajit Agarkar",2011,"Delhi Capitals","Rajiv Gandhi International Stadium",29,2,24,"All","All",14.5,7.25
"Ajit Agarkar",2011,"Delhi Capitals","Wankhede Stadium",31,0,24,"All","All",Inf,7.75
"Ajit Agarkar",2012,"Delhi Capitals","Feroz Shah Kotla",107,1,66,"All","All",107,9.72727272727273
"Ajit Agarkar",2012,"Delhi Capitals","Wankhede Stadium",27,2,20,"All","All",13.5,8.1
"Ajit Agarkar",2013,"Delhi Capitals","Feroz Shah Kotla",70,0,48,"All","All",Inf,8.75
"Ajit Agarkar",2013,"Delhi Capitals","Sawai Mansingh Stadium",22,0,12,"All","All",Inf,11
"Ajit Chandila",2012,"Rajasthan Royals","Rajiv Gandhi International Stadium",20,1,24,"All","All",20,5
"Ajit Chandila",2012,"Rajasthan Royals","Sawai Mansingh Stadium",66,4,60,"All","All",16.5,6.6
"Ajit Chandila",2013,"Rajasthan Royals","M Chinnaswamy Stadium",21,0,24,"All","All",Inf,5.25
"Ajit Chandila",2013,"Rajasthan Royals","MA Chidambaram Stadium",16,1,18,"All","All",16,5.33333333333333
"Ajit Chandila",2013,"Rajasthan Royals","Punjab Cricket Association Stadium",24,1,24,"All","All",24,6
"Ajit Chandila",2013,"Rajasthan Royals","Sawai Mansingh Stadium",95,4,84,"All","All",23.75,6.78571428571429
"Akash Deep",2022,"Royal Challengers Bangalore","Dr DY Patil Sports Academy",141,4,65,"All","All",35.25,13.0153846153846
"Akash Deep",2022,"Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",20,1,24,"All","All",20,5
"Akash Deep",2022,"Royal Challengers Bangalore","Wankhede Stadium",44,0,24,"All","All",Inf,11
"Akash Singh",2021,"Rajasthan Royals","Zayed Cricket Stadium",39,0,24,"All","All",Inf,9.75
"Akila Dananjaya",2018,"Mumbai Indians","Wankhede Stadium",47,0,24,"All","All",Inf,11.75
"Albie Morkel",2008,"Chennai Super Kings","Dr DY Patil Sports Academy",25,2,24,"All","All",12.5,6.25
"Albie Morkel",2008,"Chennai Super Kings","Eden Gardens",25,0,24,"All","All",Inf,6.25
"Albie Morkel",2008,"Chennai Super Kings","Feroz Shah Kotla",35,2,24,"All","All",17.5,8.75
"Albie Morkel",2008,"Chennai Super Kings","M Chinnaswamy Stadium",38,1,24,"All","All",38,9.5
"Albie Morkel",2008,"Chennai Super Kings","MA Chidambaram Stadium",158,8,120,"All","All",19.75,7.9
"Albie Morkel",2008,"Chennai Super Kings","Rajiv Gandhi International Stadium",37,2,24,"All","All",18.5,9.25
"Albie Morkel",2008,"Chennai Super Kings","Sawai Mansingh Stadium",10,0,6,"All","All",Inf,10
"Albie Morkel",2008,"Chennai Super Kings","Wankhede Stadium",71,2,42,"All","All",35.5,10.1428571428571
"Albie Morkel",2009,"Chennai Super Kings","Buffalo Park",24,2,18,"All","All",12,8
"Albie Morkel",2009,"Chennai Super Kings","De Beers Diamond Oval",24,1,18,"All","All",24,8
"Albie Morkel",2009,"Chennai Super Kings","Kingsmead",79,3,66,"All","All",26.3333333333333,7.18181818181818
"Albie Morkel",2009,"Chennai Super Kings","New Wanderers Stadium",58,2,42,"All","All",29,8.28571428571428
"Albie Morkel",2009,"Chennai Super Kings","St George's Park",43,2,36,"All","All",21.5,7.16666666666667
"Albie Morkel",2009,"Chennai Super Kings","SuperSport Park",96,3,60,"All","All",32,9.6
"Albie Morkel",2010,"Chennai Super Kings","Brabourne Stadium",26,0,24,"All","All",Inf,6.5
"Albie Morkel",2010,"Chennai Super Kings","Dr DY Patil Sports Academy",35,2,36,"All","All",17.5,5.83333333333333
"Albie Morkel",2010,"Chennai Super Kings","Eden Gardens",6,1,12,"All","All",6,3
"Albie Morkel",2010,"Chennai Super Kings","Feroz Shah Kotla",26,0,18,"All","All",Inf,8.66666666666667
"Albie Morkel",2010,"Chennai Super Kings","Himachal Pradesh Cricket Association Stadium",48,1,24,"All","All",48,12
"Albie Morkel",2010,"Chennai Super Kings","M Chinnaswamy Stadium",28,1,24,"All","All",28,7
"Albie Morkel",2010,"Chennai Super Kings","MA Chidambaram Stadium",190,4,124,"All","All",47.5,9.19354838709677
"Albie Morkel",2010,"Chennai Super Kings","Sardar Patel Stadium",46,2,24,"All","All",23,11.5
"Albie Morkel",2011,"Chennai Super Kings","Eden Gardens",14,0,12,"All","All",Inf,7
"Albie Morkel",2011,"Chennai Super Kings","M Chinnaswamy Stadium",16,1,12,"All","All",16,8
"Albie Morkel",2011,"Chennai Super Kings","MA Chidambaram Stadium",216,11,150,"All","All",19.6363636363636,8.64
"Albie Morkel",2011,"Chennai Super Kings","Nehru Stadium",17,0,12,"All","All",Inf,8.5
"Albie Morkel",2011,"Chennai Super Kings","Punjab Cricket Association Stadium",38,1,18,"All","All",38,12.6666666666667
"Albie Morkel",2011,"Chennai Super Kings","Sawai Mansingh Stadium",21,1,18,"All","All",21,7
"Albie Morkel",2011,"Chennai Super Kings","Wankhede Stadium",59,1,48,"All","All",59,7.375
"Albie Morkel",2012,"Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",20,0,12,"All","All",Inf,10
"Albie Morkel",2012,"Chennai Super Kings","Feroz Shah Kotla",24,0,12,"All","All",Inf,12
"Albie Morkel",2012,"Chennai Super Kings","Himachal Pradesh Cricket Association Stadium",28,1,21,"All","All",28,8
"Albie Morkel",2012,"Chennai Super Kings","M Chinnaswamy Stadium",31,2,24,"All","All",15.5,7.75
"Albie Morkel",2012,"Chennai Super Kings","MA Chidambaram Stadium",207,10,180,"All","All",20.7,6.9
"Albie Morkel",2012,"Chennai Super Kings","Sawai Mansingh Stadium",19,0,18,"All","All",Inf,6.33333333333333
"Albie Morkel",2012,"Chennai Super Kings","Subrata Roy Sahara Stadium",22,0,12,"All","All",Inf,11
"Albie Morkel",2012,"Chennai Super Kings","Wankhede Stadium",34,0,18,"All","All",Inf,11.3333333333333
"Albie Morkel",2013,"Chennai Super Kings","Eden Gardens",48,2,42,"All","All",24,6.85714285714286
"Albie Morkel",2013,"Chennai Super Kings","Feroz Shah Kotla",39,2,36,"All","All",19.5,6.5
"Albie Morkel",2013,"Chennai Super Kings","MA Chidambaram Stadium",52,3,48,"All","All",17.3333333333333,6.5
"Albie Morkel",2013,"Chennai Super Kings","Subrata Roy Sahara Stadium",20,0,18,"All","All",Inf,6.66666666666667
"Albie Morkel",2014,"Royal Challengers Bangalore","Dubai International Cricket Stadium",47,1,30,"All","All",47,9.4
"Albie Morkel",2014,"Royal Challengers Bangalore","M Chinnaswamy Stadium",40,1,36,"All","All",40,6.66666666666667
"Albie Morkel",2014,"Royal Challengers Bangalore","Sharjah Cricket Stadium",39,2,30,"All","All",19.5,7.8
"Albie Morkel",2015,"Delhi Capitals","Eden Gardens",25,1,18,"All","All",25,8.33333333333333
"Albie Morkel",2015,"Delhi Capitals","MA Chidambaram Stadium",28,0,18,"All","All",Inf,9.33333333333333
"Albie Morkel",2015,"Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",56,2,36,"All","All",28,9.33333333333333
"Albie Morkel",2016,"Rising Pune Supergiants","Maharashtra Cricket Association Stadium",66,2,30,"All","All",33,13.2
"Alfonso Thomas",2011,"Pune Warriors","Dr DY Patil Sports Academy",186,5,117,"All","All",37.2,9.53846153846154
"Alfonso Thomas",2011,"Pune Warriors","Feroz Shah Kotla",15,0,18,"All","All",Inf,5
"Alfonso Thomas",2011,"Pune Warriors","M Chinnaswamy Stadium",23,2,24,"All","All",11.5,5.75
"Alfonso Thomas",2011,"Pune Warriors","MA Chidambaram Stadium",29,2,24,"All","All",14.5,7.25
"Alfonso Thomas",2011,"Pune Warriors","Sawai Mansingh Stadium",28,1,24,"All","All",28,7
"Alfonso Thomas",2011,"Pune Warriors","Wankhede Stadium",16,1,24,"All","All",16,4
"Alfonso Thomas",2012,"Pune Warriors","Feroz Shah Kotla",22,3,24,"All","All",7.33333333333333,5.5
"Alfonso Thomas",2012,"Pune Warriors","Subrata Roy Sahara Stadium",87,0,60,"All","All",Inf,8.7
"Ali Murtaza",2010,"Mumbai Indians","Brabourne Stadium",64,3,48,"All","All",21.3333333333333,8
"Ali Murtaza",2010,"Mumbai Indians","Eden Gardens",27,0,24,"All","All",Inf,6.75
"Ali Murtaza",2011,"Mumbai Indians","Feroz Shah Kotla",21,1,24,"All","All",21,5.25
"Ali Murtaza",2011,"Mumbai Indians","M Chinnaswamy Stadium",26,0,24,"All","All",Inf,6.5
"Ali Murtaza",2011,"Mumbai Indians","Sawai Mansingh Stadium",15,0,24,"All","All",Inf,3.75
"Ali Murtaza",2011,"Mumbai Indians","Wankhede Stadium",55,2,48,"All","All",27.5,6.875
"Ali Murtaza",2012,"Pune Warriors","Subrata Roy Sahara Stadium",11,0,12,"All","All",Inf,5.5
"Ali Murtaza",2013,"Pune Warriors","JSCA International Stadium Complex",34,0,24,"All","All",Inf,8.5
"Ali Murtaza",2013,"Pune Warriors","M Chinnaswamy Stadium",45,0,12,"All","All",Inf,22.5
"Ali Murtaza",2013,"Pune Warriors","Subrata Roy Sahara Stadium",15,3,24,"All","All",5,3.75
"Alzarri Joseph",2019,"Mumbai Indians","Rajiv Gandhi International Stadium",12,6,22,"All","All",2,3.27272727272727
"Alzarri Joseph",2019,"Mumbai Indians","Wankhede Stadium",75,0,30,"All","All",Inf,15
"Alzarri Joseph",2022,"Gujarat Titans","Brabourne Stadium",83,2,48,"All","All",41.5,10.375
"Alzarri Joseph",2022,"Gujarat Titans","Dr DY Patil Sports Academy",56,1,42,"All","All",56,8
"Alzarri Joseph",2022,"Gujarat Titans","Eden Gardens",27,0,12,"All","All",Inf,13.5
"Alzarri Joseph",2022,"Gujarat Titans","Maharashtra Cricket Association Stadium",48,2,36,"All","All",24,8
"Alzarri Joseph",2022,"Gujarat Titans","Wankhede Stadium",50,2,42,"All","All",25,7.14285714285714
"Aman Hakim Khan",2022,"Kolkata Knight Riders","Brabourne Stadium",13,0,6,"All","All",Inf,13
"Amit Mishra",2008,"Delhi Capitals","Eden Gardens",13,0,18,"All","All",Inf,4.33333333333333
"Amit Mishra",2008,"Delhi Capitals","Feroz Shah Kotla",61,7,60,"All","All",8.71428571428571,6.1
"Amit Mishra",2008,"Delhi Capitals","Sawai Mansingh Stadium",27,2,17,"All","All",13.5,9.52941176470588
"Amit Mishra",2008,"Delhi Capitals","Wankhede Stadium",37,2,24,"All","All",18.5,9.25
"Amit Mishra",2009,"Delhi Capitals","Buffalo Park",20,0,24,"All","All",Inf,5
"Amit Mishra",2009,"Delhi Capitals","Kingsmead",57,0,42,"All","All",Inf,8.14285714285714
"Amit Mishra",2009,"Delhi Capitals","New Wanderers Stadium",38,3,42,"All","All",12.6666666666667,5.42857142857143
"Amit Mishra",2009,"Delhi Capitals","OUTsurance Oval",33,3,24,"All","All",11,8.25
"Amit Mishra",2009,"Delhi Capitals","St George's Park",19,1,24,"All","All",19,4.75
"Amit Mishra",2009,"Delhi Capitals","SuperSport Park",127,7,96,"All","All",18.1428571428571,7.9375
"Amit Mishra",2010,"Delhi Capitals","Barabati Stadium",12,1,18,"All","All",12,4
"Amit Mishra",2010,"Delhi Capitals","Brabourne Stadium",30,0,18,"All","All",Inf,10
"Amit Mishra",2010,"Delhi Capitals","Eden Gardens",41,0,24,"All","All",Inf,10.25
"Amit Mishra",2010,"Delhi Capitals","Feroz Shah Kotla",187,11,162,"All","All",17,6.92592592592593
"Amit Mishra",2010,"Delhi Capitals","M Chinnaswamy Stadium",23,2,24,"All","All",11.5,5.75
