"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Delhi Capitals","James Hopes","Wankhede Stadium",45,1,24,"All","All",45,11.25
"Delhi Capitals","James Neesham","Dubai International Cricket Stadium",26,0,12,"All","All",Inf,13
"Delhi Capitals","James Neesham","Punjab Cricket Association Stadium",14,0,6,"All","All",Inf,14
"Delhi Capitals","James Neesham","Sharjah Cricket Stadium",22,0,12,"All","All",Inf,11
"Delhi Capitals","James Neesham","Sheikh Zayed Stadium",29,1,24,"All","All",29,7.25
"Delhi Capitals","Jayant Yadav","Feroz Shah Kotla",74,1,72,"All","All",74,6.16666666666667
"Delhi Capitals","Jayant Yadav","M Chinnaswamy Stadium",2,0,6,"All","All",Inf,2
"Delhi Capitals","Jayant Yadav","Rajiv Gandhi International Stadium",48,1,36,"All","All",48,8
"Delhi Capitals","Jayant Yadav","Shaheed Veer Narayan Singh International Stadium",72,2,66,"All","All",36,6.54545454545454
"Delhi Capitals","Jaydev Unadkat","Dubai International Cricket Stadium",68,1,48,"All","All",68,8.5
"Delhi Capitals","Jaydev Unadkat","Feroz Shah Kotla",144,0,85,"All","All",Inf,10.1647058823529
"Delhi Capitals","Jaydev Unadkat","Punjab Cricket Association Stadium",3,1,12,"All","All",3,1.5
"Delhi Capitals","Jaydev Unadkat","Sharjah Cricket Stadium",29,2,24,"All","All",14.5,7.25
"Delhi Capitals","Jaydev Unadkat","Sheikh Zayed Stadium",32,3,24,"All","All",10.6666666666667,8
"Delhi Capitals","Jaydev Unadkat","Wankhede Stadium",24,2,12,"All","All",12,12
"Delhi Capitals","Jean-Paul Duminy","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",17,4,18,"All","All",4.25,5.66666666666667
"Delhi Capitals","Jean-Paul Duminy","Dubai International Cricket Stadium",44,0,30,"All","All",Inf,8.8
"Delhi Capitals","Jean-Paul Duminy","Eden Gardens",16,0,6,"All","All",Inf,16
"Delhi Capitals","Jean-Paul Duminy","Feroz Shah Kotla",110,4,90,"All","All",27.5,7.33333333333333
"Delhi Capitals","Jean-Paul Duminy","M Chinnaswamy Stadium",25,0,24,"All","All",Inf,6.25
"Delhi Capitals","Jean-Paul Duminy","MA Chidambaram Stadium",15,1,12,"All","All",15,7.5
"Delhi Capitals","Jean-Paul Duminy","Maharashtra Cricket Association Stadium",16,2,12,"All","All",8,8
"Delhi Capitals","Jean-Paul Duminy","Punjab Cricket Association Stadium",15,0,12,"All","All",Inf,7.5
"Delhi Capitals","Jean-Paul Duminy","Rajiv Gandhi International Stadium",19,0,12,"All","All",Inf,9.5
"Delhi Capitals","Jean-Paul Duminy","Sardar Patel Stadium",25,1,18,"All","All",25,8.33333333333333
"Delhi Capitals","Jean-Paul Duminy","Saurashtra Cricket Association Stadium",14,0,12,"All","All",Inf,7
"Delhi Capitals","Jean-Paul Duminy","Shaheed Veer Narayan Singh International Stadium",25,1,18,"All","All",25,8.33333333333333
"Delhi Capitals","Jean-Paul Duminy","Sharjah Cricket Stadium",23,0,30,"All","All",Inf,4.6
"Delhi Capitals","Jean-Paul Duminy","Sheikh Zayed Stadium",26,0,24,"All","All",Inf,6.5
"Delhi Capitals","Jean-Paul Duminy","Wankhede Stadium",31,0,24,"All","All",Inf,7.75
"Delhi Capitals","Jeevan Mendis","Rajiv Gandhi International Stadium",16,1,18,"All","All",16,5.33333333333333
"Delhi Capitals","Jeevan Mendis","Wankhede Stadium",20,0,12,"All","All",Inf,10
"Delhi Capitals","Johan Botha","Eden Gardens",22,1,22,"All","All",22,6
"Delhi Capitals","Johan Botha","Feroz Shah Kotla",53,2,48,"All","All",26.5,6.625
"Delhi Capitals","Johan Botha","MA Chidambaram Stadium",23,0,12,"All","All",Inf,11.5
"Delhi Capitals","Johan Botha","Rajiv Gandhi International Stadium",11,2,18,"All","All",5.5,3.66666666666667
"Delhi Capitals","Junior Dala","Feroz Shah Kotla",34,0,18,"All","All",Inf,11.3333333333333
"Delhi Capitals","Kagiso Rabada","Dubai International Cricket Stadium",406,16,294,"All","All",25.375,8.28571428571428
"Delhi Capitals","Kagiso Rabada","Eden Gardens",62,4,44,"All","All",15.5,8.45454545454546
"Delhi Capitals","Kagiso Rabada","Feroz Shah Kotla",311,12,211,"All","All",25.9166666666667,8.8436018957346
"Delhi Capitals","Kagiso Rabada","M Chinnaswamy Stadium",21,4,24,"All","All",5.25,5.25
"Delhi Capitals","Kagiso Rabada","MA Chidambaram Stadium",50,1,36,"All","All",50,8.33333333333333
"Delhi Capitals","Kagiso Rabada","Narendra Modi Stadium",105,4,72,"All","All",26.25,8.75
"Delhi Capitals","Kagiso Rabada","Punjab Cricket Association IS Bindra Stadium",50,2,36,"All","All",25,8.33333333333333
"Delhi Capitals","Kagiso Rabada","Rajiv Gandhi International Stadium",22,4,23,"All","All",5.5,5.73913043478261
"Delhi Capitals","Kagiso Rabada","Sawai Mansingh Stadium",37,2,24,"All","All",18.5,9.25
"Delhi Capitals","Kagiso Rabada","Sharjah Cricket Stadium",203,8,136,"All","All",25.375,8.95588235294118
"Delhi Capitals","Kagiso Rabada","Sheikh Zayed Stadium",29,4,24,"All","All",7.25,7.25
"Delhi Capitals","Kagiso Rabada","Wankhede Stadium",126,6,96,"All","All",21,7.875
"Delhi Capitals","Kagiso Rabada","Zayed Cricket Stadium",138,9,120,"All","All",15.3333333333333,6.9
"Delhi Capitals","Kamlesh Nagarkoti","Brabourne Stadium",29,0,12,"All","All",Inf,14.5
"Delhi Capitals","Keemo Paul","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",81,3,42,"All","All",27,11.5714285714286
"Delhi Capitals","Keemo Paul","Eden Gardens",46,2,24,"All","All",23,11.5
"Delhi Capitals","Keemo Paul","Feroz Shah Kotla",72,0,55,"All","All",Inf,7.85454545454545
"Delhi Capitals","Keemo Paul","Rajiv Gandhi International Stadium",17,3,24,"All","All",5.66666666666667,4.25
"Delhi Capitals","Keemo Paul","Wankhede Stadium",21,1,18,"All","All",21,7
"Delhi Capitals","Kevin Pietersen","Feroz Shah Kotla",53,0,36,"All","All",Inf,8.83333333333333
"Delhi Capitals","Khaleel Ahmed","Brabourne Stadium",103,10,96,"All","All",10.3,6.4375
"Delhi Capitals","Khaleel Ahmed","Dr DY Patil Sports Academy",71,2,48,"All","All",35.5,8.875
"Delhi Capitals","Khaleel Ahmed","Maharashtra Cricket Association Stadium",34,2,24,"All","All",17,8.5
"Delhi Capitals","Khaleel Ahmed","Wankhede Stadium",107,2,67,"All","All",53.5,9.58208955223881
"Delhi Capitals","Kuldeep Yadav","Brabourne Stadium",117,10,96,"All","All",11.7,7.3125
"Delhi Capitals","Kuldeep Yadav","Dr DY Patil Sports Academy",108,4,76,"All","All",27,8.52631578947368
"Delhi Capitals","Kuldeep Yadav","Maharashtra Cricket Association Stadium",32,1,24,"All","All",32,8
"Delhi Capitals","Kuldeep Yadav","Wankhede Stadium",162,6,102,"All","All",27,9.52941176470588
"Delhi Capitals","Lalit Yadav","Brabourne Stadium",34,3,30,"All","All",11.3333333333333,6.8
"Delhi Capitals","Lalit Yadav","Dr DY Patil Sports Academy",27,1,30,"All","All",27,5.4
"Delhi Capitals","Lalit Yadav","MA Chidambaram Stadium",17,1,24,"All","All",17,4.25
"Delhi Capitals","Lalit Yadav","Narendra Modi Stadium",38,2,36,"All","All",19,6.33333333333333
"Delhi Capitals","Lalit Yadav","Sharjah Cricket Stadium",35,1,18,"All","All",35,11.6666666666667
"Delhi Capitals","Lalit Yadav","Wankhede Stadium",100,0,54,"All","All",Inf,11.1111111111111
"Delhi Capitals","Laxmi Shukla","Dubai International Cricket Stadium",21,0,12,"All","All",Inf,10.5
"Delhi Capitals","Laxmi Shukla","Feroz Shah Kotla",57,1,38,"All","All",57,9
"Delhi Capitals","Laxmi Shukla","Sharjah Cricket Stadium",5,0,6,"All","All",Inf,5
"Delhi Capitals","Liam Plunkett","Feroz Shah Kotla",146,3,108,"All","All",48.6666666666667,8.11111111111111
"Delhi Capitals","Liam Plunkett","Maharashtra Cricket Association Stadium",52,0,18,"All","All",Inf,17.3333333333333
"Delhi Capitals","Liam Plunkett","Rajiv Gandhi International Stadium",27,1,24,"All","All",27,6.75
"Delhi Capitals","Lukman Meriwala","Wankhede Stadium",32,1,18,"All","All",32,10.6666666666667
"Delhi Capitals","Manoj Tiwary","Kingsmead",11,0,6,"All","All",Inf,11
"Delhi Capitals","Manoj Tiwary","Sardar Patel Stadium",28,0,12,"All","All",Inf,14
"Delhi Capitals","Marcus Stoinis","Dubai International Cricket Stadium",98,4,67,"All","All",24.5,8.77611940298507
"Delhi Capitals","Marcus Stoinis","MA Chidambaram Stadium",32,1,24,"All","All",32,8
"Delhi Capitals","Marcus Stoinis","Narendra Modi Stadium",36,1,18,"All","All",36,12
"Delhi Capitals","Marcus Stoinis","Sharjah Cricket Stadium",73,3,42,"All","All",24.3333333333333,10.4285714285714
"Delhi Capitals","Marcus Stoinis","Sheikh Zayed Stadium",26,3,18,"All","All",8.66666666666667,8.66666666666667
"Delhi Capitals","Marcus Stoinis","Wankhede Stadium",41,0,18,"All","All",Inf,13.6666666666667
"Delhi Capitals","Marcus Stoinis","Zayed Cricket Stadium",94,3,58,"All","All",31.3333333333333,9.72413793103448
"Delhi Capitals","Marlon Samuels","Feroz Shah Kotla",34,0,18,"All","All",Inf,11.3333333333333
"Delhi Capitals","Mitchell Marsh","Brabourne Stadium",36,1,24,"All","All",36,9
"Delhi Capitals","Mitchell Marsh","Dr DY Patil Sports Academy",59,3,36,"All","All",19.6666666666667,9.83333333333333
"Delhi Capitals","Mitchell Marsh","Wankhede Stadium",7,0,12,"All","All",Inf,3.5
"Delhi Capitals","Mohammad Asif","Dr DY Patil Sports Academy",46,1,24,"All","All",46,11.5
"Delhi Capitals","Mohammad Asif","Feroz Shah Kotla",126,1,72,"All","All",126,10.5
"Delhi Capitals","Mohammad Asif","MA Chidambaram Stadium",34,1,24,"All","All",34,8.5
"Delhi Capitals","Mohammad Asif","Punjab Cricket Association Stadium",39,2,24,"All","All",19.5,9.75
"Delhi Capitals","Mohammad Asif","Rajiv Gandhi International Stadium",19,2,24,"All","All",9.5,4.75
"Delhi Capitals","Mohammad Asif","Wankhede Stadium",32,1,24,"All","All",32,8
"Delhi Capitals","Mohammed Shami","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",12,0,6,"All","All",Inf,12
"Delhi Capitals","Mohammed Shami","Dubai International Cricket Stadium",69,1,48,"All","All",69,8.625
"Delhi Capitals","Mohammed Shami","Eden Gardens",53,1,24,"All","All",53,13.25
"Delhi Capitals","Mohammed Shami","Feroz Shah Kotla",427,6,283,"All","All",71.1666666666667,9.0530035335689
"Delhi Capitals","Mohammed Shami","Green Park",36,1,24,"All","All",36,9
"Delhi Capitals","Mohammed Shami","M Chinnaswamy Stadium",65,3,48,"All","All",21.6666666666667,8.125
"Delhi Capitals","Mohammed Shami","Punjab Cricket Association IS Bindra Stadium",79,1,42,"All","All",79,11.2857142857143
"Delhi Capitals","Mohammed Shami","Punjab Cricket Association Stadium",26,1,18,"All","All",26,8.66666666666667
"Delhi Capitals","Mohammed Shami","Rajiv Gandhi International Stadium",26,1,18,"All","All",26,8.66666666666667
"Delhi Capitals","Mohammed Shami","Saurashtra Cricket Association Stadium",31,1,24,"All","All",31,7.75
"Delhi Capitals","Mohammed Shami","Sawai Mansingh Stadium",29,1,23,"All","All",29,7.56521739130435
"Delhi Capitals","Mohammed Shami","Sharjah Cricket Stadium",66,1,48,"All","All",66,8.25
"Delhi Capitals","Mohammed Shami","Sheikh Zayed Stadium",45,1,24,"All","All",45,11.25
"Delhi Capitals","Mohammed Shami","Wankhede Stadium",36,1,24,"All","All",36,9
"Delhi Capitals","Mohit Sharma","Dubai International Cricket Stadium",45,1,24,"All","All",45,11.25
"Delhi Capitals","Moises Henriques","Barabati Stadium",35,1,24,"All","All",35,8.75
"Delhi Capitals","Morne Morkel","Eden Gardens",18,3,18,"All","All",6,6
"Delhi Capitals","Morne Morkel","Feroz Shah Kotla",498,21,378,"All","All",23.7142857142857,7.90476190476191
"Delhi Capitals","Morne Morkel","Himachal Pradesh Cricket Association Stadium",64,6,72,"All","All",10.6666666666667,5.33333333333333
"Delhi Capitals","Morne Morkel","M Chinnaswamy Stadium",62,3,48,"All","All",20.6666666666667,7.75
"Delhi Capitals","Morne Morkel","MA Chidambaram Stadium",31,0,24,"All","All",Inf,7.75
"Delhi Capitals","Morne Morkel","Nehru Stadium",18,3,24,"All","All",6,4.5
"Delhi Capitals","Morne Morkel","Rajiv Gandhi International Stadium",69,1,48,"All","All",69,8.625
"Delhi Capitals","Morne Morkel","Sawai Mansingh Stadium",74,2,72,"All","All",37,6.16666666666667
"Delhi Capitals","Morne Morkel","Shaheed Veer Narayan Singh International Stadium",58,1,48,"All","All",58,7.25
"Delhi Capitals","Morne Morkel","Subrata Roy Sahara Stadium",107,1,72,"All","All",107,8.91666666666667
"Delhi Capitals","Morne Morkel","Wankhede Stadium",114,4,72,"All","All",28.5,9.5
"Delhi Capitals","Murali Vijay","Sheikh Zayed Stadium",13,0,6,"All","All",Inf,13
"Delhi Capitals","Mustafizur Rahman","Brabourne Stadium",49,1,48,"All","All",49,6.125
"Delhi Capitals","Mustafizur Rahman","Dr DY Patil Sports Academy",26,0,24,"All","All",Inf,6.5
"Delhi Capitals","Mustafizur Rahman","Maharashtra Cricket Association Stadium",23,3,24,"All","All",7.66666666666667,5.75
"Delhi Capitals","Mustafizur Rahman","Wankhede Stadium",146,4,96,"All","All",36.5,9.125
"Delhi Capitals","Nathan Coulter-Nile","Brabourne Stadium",38,1,24,"All","All",38,9.5
"Delhi Capitals","Nathan Coulter-Nile","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",47,1,42,"All","All",47,6.71428571428571
"Delhi Capitals","Nathan Coulter-Nile","Dubai International Cricket Stadium",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Nathan Coulter-Nile","Eden Gardens",32,0,24,"All","All",Inf,8
"Delhi Capitals","Nathan Coulter-Nile","Feroz Shah Kotla",158,6,117,"All","All",26.3333333333333,8.1025641025641
"Delhi Capitals","Nathan Coulter-Nile","MA Chidambaram Stadium",30,3,24,"All","All",10,7.5
"Delhi Capitals","Nathan Coulter-Nile","Maharashtra Cricket Association Stadium",14,0,18,"All","All",Inf,4.66666666666667
"Delhi Capitals","Nathan Coulter-Nile","Rajiv Gandhi International Stadium",25,2,24,"All","All",12.5,6.25
"Delhi Capitals","Nathan Coulter-Nile","Shaheed Veer Narayan Singh International Stadium",61,3,48,"All","All",20.3333333333333,7.625
"Delhi Capitals","Nathan Coulter-Nile","Wankhede Stadium",30,2,24,"All","All",15,7.5
"Delhi Capitals","Pat Cummins","Eden Gardens",22,0,18,"All","All",Inf,7.33333333333333
"Delhi Capitals","Pat Cummins","Feroz Shah Kotla",203,9,144,"All","All",22.5555555555556,8.45833333333333
"Delhi Capitals","Pat Cummins","Green Park",38,1,24,"All","All",38,9.5
"Delhi Capitals","Pat Cummins","M Chinnaswamy Stadium",29,1,24,"All","All",29,7.25
"Delhi Capitals","Pat Cummins","Maharashtra Cricket Association Stadium",24,2,19,"All","All",12,7.57894736842105
"Delhi Capitals","Pat Cummins","Rajiv Gandhi International Stadium",37,0,24,"All","All",Inf,9.25
"Delhi Capitals","Pat Cummins","Wankhede Stadium",20,2,24,"All","All",10,5
"Delhi Capitals","Paul Collingwood","Brabourne Stadium",27,0,24,"All","All",Inf,6.75
"Delhi Capitals","Paul Collingwood","Eden Gardens",19,0,12,"All","All",Inf,9.5
"Delhi Capitals","Paul Collingwood","Feroz Shah Kotla",55,5,53,"All","All",11,6.22641509433962
"Delhi Capitals","Pawan Negi","Feroz Shah Kotla",100,1,54,"All","All",100,11.1111111111111
"Delhi Capitals","Pawan Negi","M Chinnaswamy Stadium",26,0,18,"All","All",Inf,8.66666666666667
"Delhi Capitals","Pawan Negi","MA Chidambaram Stadium",33,1,24,"All","All",33,8.25
"Delhi Capitals","Pawan Negi","Sawai Mansingh Stadium",46,4,48,"All","All",11.5,5.75
"Delhi Capitals","Pawan Negi","Shaheed Veer Narayan Singh International Stadium",19,1,18,"All","All",19,6.33333333333333
"Delhi Capitals","Pawan Negi","Subrata Roy Sahara Stadium",40,1,48,"All","All",40,5
"Delhi Capitals","Pradeep Sangwan","Brabourne Stadium",35,2,24,"All","All",17.5,8.75
"Delhi Capitals","Pradeep Sangwan","Buffalo Park",18,0,24,"All","All",Inf,4.5
"Delhi Capitals","Pradeep Sangwan","Dr DY Patil Sports Academy",21,1,24,"All","All",21,5.25
"Delhi Capitals","Pradeep Sangwan","Eden Gardens",59,1,42,"All","All",59,8.42857142857143
"Delhi Capitals","Pradeep Sangwan","Feroz Shah Kotla",150,7,102,"All","All",21.4285714285714,8.82352941176471
"Delhi Capitals","Pradeep Sangwan","Kingsmead",75,8,72,"All","All",9.375,6.25
"Delhi Capitals","Pradeep Sangwan","M Chinnaswamy Stadium",83,1,42,"All","All",83,11.8571428571429
"Delhi Capitals","Pradeep Sangwan","MA Chidambaram Stadium",40,0,24,"All","All",Inf,10
"Delhi Capitals","Pradeep Sangwan","New Wanderers Stadium",73,2,36,"All","All",36.5,12.1666666666667
"Delhi Capitals","Pradeep Sangwan","Newlands",19,0,12,"All","All",Inf,9.5
"Delhi Capitals","Pradeep Sangwan","OUTsurance Oval",42,1,24,"All","All",42,10.5
"Delhi Capitals","Pradeep Sangwan","Punjab Cricket Association Stadium",32,1,24,"All","All",32,8
"Delhi Capitals","Pradeep Sangwan","Sardar Patel Stadium",20,1,24,"All","All",20,5
"Delhi Capitals","Pradeep Sangwan","Sawai Mansingh Stadium",33,0,24,"All","All",Inf,8.25
"Delhi Capitals","Pradeep Sangwan","St George's Park",32,1,24,"All","All",32,8
"Delhi Capitals","Pradeep Sangwan","SuperSport Park",101,3,88,"All","All",33.6666666666667,6.88636363636364
"Delhi Capitals","Praveen Dubey","Dubai International Cricket Stadium",58,0,36,"All","All",Inf,9.66666666666667
"Delhi Capitals","Praveen Dubey","Sheikh Zayed Stadium",14,0,12,"All","All",Inf,7
"Delhi Capitals","Rahul Sharma","Feroz Shah Kotla",32,0,18,"All","All",Inf,10.6666666666667
"Delhi Capitals","Rahul Sharma","Sharjah Cricket Stadium",33,1,18,"All","All",33,11
"Delhi Capitals","Rahul Shukla","Feroz Shah Kotla",13,1,6,"All","All",13,13
"Delhi Capitals","Rahul Shukla","M Chinnaswamy Stadium",41,1,24,"All","All",41,10.25
"Delhi Capitals","Rahul Shukla","Sardar Patel Stadium",44,0,24,"All","All",Inf,11
"Delhi Capitals","Rahul Tewatia","Eden Gardens",18,3,18,"All","All",6,6
"Delhi Capitals","Rahul Tewatia","Feroz Shah Kotla",47,1,42,"All","All",47,6.71428571428571
"Delhi Capitals","Rahul Tewatia","M Chinnaswamy Stadium",26,0,18,"All","All",Inf,8.66666666666667
"Delhi Capitals","Rahul Tewatia","Maharashtra Cricket Association Stadium",23,0,12,"All","All",Inf,11.5
"Delhi Capitals","Rahul Tewatia","Punjab Cricket Association IS Bindra Stadium",24,1,24,"All","All",24,6
"Delhi Capitals","Rahul Tewatia","Sawai Mansingh Stadium",29,0,24,"All","All",Inf,7.25
"Delhi Capitals","Rahul Tewatia","Wankhede Stadium",48,3,32,"All","All",16,9
"Delhi Capitals","Rajat Bhatia","Buffalo Park",15,3,24,"All","All",5,3.75
"Delhi Capitals","Rajat Bhatia","Dr DY Patil Sports Academy",22,1,12,"All","All",22,11
"Delhi Capitals","Rajat Bhatia","Eden Gardens",30,1,24,"All","All",30,7.5
"Delhi Capitals","Rajat Bhatia","Feroz Shah Kotla",173,4,132,"All","All",43.25,7.86363636363636
"Delhi Capitals","Rajat Bhatia","Kingsmead",50,4,40,"All","All",12.5,7.5
"Delhi Capitals","Rajat Bhatia","M Chinnaswamy Stadium",47,0,24,"All","All",Inf,11.75
"Delhi Capitals","Rajat Bhatia","MA Chidambaram Stadium",11,1,6,"All","All",11,11
"Delhi Capitals","Rajat Bhatia","New Wanderers Stadium",30,2,24,"All","All",15,7.5
"Delhi Capitals","Rajat Bhatia","OUTsurance Oval",22,0,18,"All","All",Inf,7.33333333333333
"Delhi Capitals","Rajat Bhatia","Punjab Cricket Association Stadium",5,0,6,"All","All",Inf,5
"Delhi Capitals","Rajat Bhatia","Rajiv Gandhi International Stadium",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Rajat Bhatia","SuperSport Park",29,1,24,"All","All",29,7.25
"Delhi Capitals","Ravichandran Ashwin","Dubai International Cricket Stadium",254,10,227,"All","All",25.4,6.7136563876652
"Delhi Capitals","Ravichandran Ashwin","MA Chidambaram Stadium",58,0,48,"All","All",Inf,7.25
"Delhi Capitals","Ravichandran Ashwin","Sharjah Cricket Stadium",170,6,125,"All","All",28.3333333333333,8.16
"Delhi Capitals","Ravichandran Ashwin","Sheikh Zayed Stadium",33,0,18,"All","All",Inf,11
"Delhi Capitals","Ravichandran Ashwin","Wankhede Stadium",89,1,66,"All","All",89,8.09090909090909
"Delhi Capitals","Ravichandran Ashwin","Zayed Cricket Stadium",118,3,90,"All","All",39.3333333333333,7.86666666666667
"Delhi Capitals","Ripal Patel","Dubai International Cricket Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Delhi Capitals","Roelof van der Merwe","Eden Gardens",28,2,18,"All","All",14,9.33333333333333
"Delhi Capitals","Roelof van der Merwe","Feroz Shah Kotla",98,3,114,"All","All",32.6666666666667,5.15789473684211
"Delhi Capitals","Roelof van der Merwe","MA Chidambaram Stadium",36,1,36,"All","All",36,6
"Delhi Capitals","Roelof van der Merwe","Nehru Stadium",20,3,23,"All","All",6.66666666666667,5.21739130434783
"Delhi Capitals","Roelof van der Merwe","Sawai Mansingh Stadium",41,1,24,"All","All",41,10.25
"Delhi Capitals","Rovman Powell","Brabourne Stadium",17,0,6,"All","All",Inf,17
"Delhi Capitals","Sandeep Lamichhane","Feroz Shah Kotla",219,10,162,"All","All",21.9,8.11111111111111
"Delhi Capitals","Sandeep Lamichhane","M Chinnaswamy Stadium",46,1,24,"All","All",46,11.5
"Delhi Capitals","Sandeep Lamichhane","Punjab Cricket Association IS Bindra Stadium",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Sarabjit Ladda","Barabati Stadium",20,1,12,"All","All",20,10
"Delhi Capitals","Sarabjit Ladda","Brabourne Stadium",14,0,6,"All","All",Inf,14
"Delhi Capitals","Sarabjit Ladda","Feroz Shah Kotla",81,3,48,"All","All",27,10.125
"Delhi Capitals","Sarabjit Ladda","Sardar Patel Stadium",28,0,24,"All","All",Inf,7
"Delhi Capitals","Shahbaz Nadeem","Dr DY Patil Sports Academy",39,2,24,"All","All",19.5,9.75
"Delhi Capitals","Shahbaz Nadeem","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",42,0,24,"All","All",Inf,10.5
"Delhi Capitals","Shahbaz Nadeem","Dubai International Cricket Stadium",53,2,42,"All","All",26.5,7.57142857142857
"Delhi Capitals","Shahbaz Nadeem","Eden Gardens",81,3,60,"All","All",27,8.1
"Delhi Capitals","Shahbaz Nadeem","Feroz Shah Kotla",551,15,452,"All","All",36.7333333333333,7.3141592920354
"Delhi Capitals","Shahbaz Nadeem","M Chinnaswamy Stadium",92,3,84,"All","All",30.6666666666667,6.57142857142857
"Delhi Capitals","Shahbaz Nadeem","MA Chidambaram Stadium",26,0,24,"All","All",Inf,6.5
"Delhi Capitals","Shahbaz Nadeem","Maharashtra Cricket Association Stadium",23,1,24,"All","All",23,5.75
"Delhi Capitals","Shahbaz Nadeem","Punjab Cricket Association IS Bindra Stadium",39,0,29,"All","All",Inf,8.06896551724138
"Delhi Capitals","Shahbaz Nadeem","Punjab Cricket Association Stadium",24,0,12,"All","All",Inf,12
"Delhi Capitals","Shahbaz Nadeem","Rajiv Gandhi International Stadium",46,0,36,"All","All",Inf,7.66666666666667
"Delhi Capitals","Shahbaz Nadeem","Sardar Patel Stadium",35,2,24,"All","All",17.5,8.75
"Delhi Capitals","Shahbaz Nadeem","Saurashtra Cricket Association Stadium",23,2,18,"All","All",11.5,7.66666666666667
"Delhi Capitals","Shahbaz Nadeem","Sawai Mansingh Stadium",92,2,72,"All","All",46,7.66666666666667
"Delhi Capitals","Shahbaz Nadeem","Shaheed Veer Narayan Singh International Stadium",71,1,72,"All","All",71,5.91666666666667
"Delhi Capitals","Shahbaz Nadeem","Sharjah Cricket Stadium",51,1,40,"All","All",51,7.65
"Delhi Capitals","Shahbaz Nadeem","Sheikh Zayed Stadium",29,1,18,"All","All",29,9.66666666666667
"Delhi Capitals","Shahbaz Nadeem","Subrata Roy Sahara Stadium",43,1,48,"All","All",43,5.375
"Delhi Capitals","Shahbaz Nadeem","Wankhede Stadium",120,4,102,"All","All",30,7.05882352941176
"Delhi Capitals","Shardul Thakur","Brabourne Stadium",141,4,76,"All","All",35.25,11.1315789473684
"Delhi Capitals","Shardul Thakur","Dr DY Patil Sports Academy",130,5,88,"All","All",26,8.86363636363636
"Delhi Capitals","Shardul Thakur","Maharashtra Cricket Association Stadium",42,0,24,"All","All",Inf,10.5
"Delhi Capitals","Shardul Thakur","Wankhede Stadium",160,6,102,"All","All",26.6666666666667,9.41176470588235
"Delhi Capitals","Sherfane Rutherford","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",11,0,6,"All","All",Inf,11
"Delhi Capitals","Sherfane Rutherford","Feroz Shah Kotla",13,1,17,"All","All",13,4.58823529411765
"Delhi Capitals","Sherfane Rutherford","MA Chidambaram Stadium",19,0,12,"All","All",Inf,9.5
"Delhi Capitals","Sherfane Rutherford","Sawai Mansingh Stadium",16,0,6,"All","All",Inf,16
"Delhi Capitals","Shoaib Malik","Dr DY Patil Sports Academy",6,1,6,"All","All",6,6
"Delhi Capitals","Shoaib Malik","Feroz Shah Kotla",36,0,18,"All","All",Inf,12
"Delhi Capitals","Shoaib Malik","MA Chidambaram Stadium",11,0,6,"All","All",Inf,11
"Delhi Capitals","Shoaib Malik","Punjab Cricket Association Stadium",32,1,21,"All","All",32,9.14285714285714
"Delhi Capitals","Siddarth Kaul","Feroz Shah Kotla",78,2,60,"All","All",39,7.8
"Delhi Capitals","Siddarth Kaul","Himachal Pradesh Cricket Association Stadium",39,0,24,"All","All",Inf,9.75
"Delhi Capitals","Siddarth Kaul","M Chinnaswamy Stadium",37,1,24,"All","All",37,9.25
"Delhi Capitals","Siddarth Kaul","MA Chidambaram Stadium",37,0,24,"All","All",Inf,9.25
"Delhi Capitals","Siddarth Kaul","Sardar Patel Stadium",34,0,18,"All","All",Inf,11.3333333333333
"Delhi Capitals","Siddarth Kaul","Sawai Mansingh Stadium",23,1,23,"All","All",23,6
"Delhi Capitals","Siddarth Kaul","Subrata Roy Sahara Stadium",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Siddarth Kaul","Wankhede Stadium",21,0,12,"All","All",Inf,10.5
"Delhi Capitals","Sridharan Sriram","Himachal Pradesh Cricket Association Stadium",25,0,6,"All","All",Inf,25
"Delhi Capitals","Sunny Gupta","MA Chidambaram Stadium",47,0,18,"All","All",Inf,15.6666666666667
"Delhi Capitals","Tillakaratne Dilshan","Feroz Shah Kotla",44,1,19,"All","All",44,13.8947368421053
"Delhi Capitals","Tillakaratne Dilshan","Kingsmead",8,0,12,"All","All",Inf,4
"Delhi Capitals","Tillakaratne Dilshan","M Chinnaswamy Stadium",3,1,6,"All","All",3,3
"Delhi Capitals","Tillakaratne Dilshan","MA Chidambaram Stadium",19,1,24,"All","All",19,4.75
